"PROFICIENCIA_LP_SAEB","TX_RESP_Q10f_num","TX_RESP_Q22a_num","TX_RESP_Q22b_num","TX_RESP_Q22c_num","TX_RESP_Q22e_num","TX_RESP_Q22f_num","TX_RESP_Q22h_num","TX_RESP_Q23a_num","TX_RESP_Q23b_num","TX_RESP_Q23c_num","TX_RESP_Q23g_num","TX_RESP_Q23h_num","TX_RESP_Q23i_num"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-0.771279757475021,-1.97504977057393,0.920193973787133,1.16796976260295,-1.26555039241955,0.162160816122061,-2.33069186060259,-0.396028515079666,-0.737209780774486,1.06351751360543,-1.08012344973464,-1.41567679459313,-0.331618266214036,0.947837392132814
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-1.62214565584821,0.813255787883383,0.920193973787133,0.134765741838802,1.16008785971792,1.09458550882391,0.822597127271503,0.616044356790591,0.958372715006831,1.06351751360543,1.08012344973464,-0.0643489452087785,-0.331618266214036,0.947837392132814
-0.075361715311296,-0.580896991345273,0.920193973787133,0.134765741838802,1.16008785971792,1.09458550882391,0.822597127271503,0.616044356790591,-0.737209780774486,-0.295421531557064,1.08012344973464,-0.0643489452087785,-0.331618266214036,-0.355439022049805
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1.53306359346359,0.813255787883383,-1.43141284811332,-1.9316422996895,-1.26555039241955,-0.770263876579788,-1.27959553131123,-2.42017425882018,0.958372715006831,1.06351751360543,-1.08012344973464,-1.41567679459313,-0.331618266214036,-2.96199185041504
1.56556060876011,0.813255787883383,-1.43141284811332,0.134765741838802,-0.052731266350815,-0.770263876579788,-0.228499202019862,0.616044356790591,-0.737209780774486,-0.295421531557064,-1.08012344973464,-0.0643489452087785,-0.331618266214036,-0.355439022049805
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1.13102847084693,0.813255787883383,0.920193973787133,0.134765741838802,-0.052731266350815,-0.770263876579788,-1.27959553131123,-0.396028515079666,-0.737209780774486,-0.295421531557064,0,-0.0643489452087785,-0.331618266214036,-0.355439022049805
-1.75631542320457,0.813255787883383,0.920193973787133,1.16796976260295,1.16008785971792,0.162160816122061,0.822597127271503,0.616044356790591,0.958372715006831,1.06351751360543,1.08012344973464,1.28697890417557,1.12750210512772,0.947837392132814
