"PROFICIENCIA_LP_SAEB","TX_RESP_Q10f_num","TX_RESP_Q21a_num","TX_RESP_Q21c_num","TX_RESP_Q22b_num","TX_RESP_Q23h_num","TX_RESP_Q19_num"
-1.37174121971844,1.00272716509857,-1.34164078649987,-2.37174179761856,-1.20266221209299,-2.8654343973845,-0.218217890235993
0.461292600563767,-0.267393910692952,-0.223606797749979,0.807401463019084,-1.20266221209299,-0.260494036125864,-0.218217890235993
-0.374332771899726,1.00272716509857,-0.223606797749979,-0.252312957193464,0.647587344973147,-0.260494036125864,-0.218217890235993
-1.72600657498713,NA,-0.223606797749979,0.807401463019084,-1.20266221209299,-0.260494036125864,-0.218217890235993
-0.962049518196209,1.00272716509857,-1.34164078649987,-1.31202737740601,-0.27753743355992,-0.260494036125864,-0.218217890235993
NA,NA,NA,NA,NA,NA,NA
-0.374295006698402,NA,NA,0.807401463019084,NA,NA,-0.218217890235993
NA,NA,NA,NA,NA,NA,NA
1.43520574166046,-0.267393910692952,2.01246117974981,0.807401463019084,0.647587344973147,-0.260494036125864,-0.218217890235993
-1.19799489798073,1.00272716509857,-0.223606797749979,-0.252312957193464,-1.20266221209299,-0.260494036125864,-0.218217890235993
-0.944412064598156,-0.267393910692952,-0.223606797749979,-1.31202737740601,0.647587344973147,-0.260494036125864,-0.218217890235993
-0.452466421478838,1.00272716509857,2.01246117974981,0.807401463019084,1.57271212350621,1.04197614450346,-0.218217890235993
-0.426183345871185,1.00272716509857,-0.223606797749979,0.807401463019084,1.57271212350621,1.04197614450346,-0.218217890235993
NA,NA,NA,NA,NA,NA,NA
0.00957106759530248,1.00272716509857,-0.223606797749979,-0.252312957193464,1.57271212350621,1.04197614450346,-0.218217890235993
-0.457595023423233,-0.267393910692952,-0.223606797749979,0.807401463019084,-1.20266221209299,-0.260494036125864,-0.218217890235993
1.03121449064548,-1.53751498648447,-0.223606797749979,0.807401463019084,-0.27753743355992,-0.260494036125864,-0.218217890235993
1.01899941912073,-1.53751498648447,-0.223606797749979,0.807401463019084,0.647587344973147,-0.260494036125864,-0.218217890235993
0.839225310375332,-0.267393910692952,-0.223606797749979,0.807401463019084,0.647587344973147,-0.260494036125864,-0.218217890235993
NA,NA,NA,NA,NA,NA,NA
1.67387596737288,-1.53751498648447,2.01246117974981,-0.252312957193464,0.647587344973147,1.04197614450346,4.36435780471985
NA,NA,NA,NA,NA,NA,NA
-0.646071411502459,-0.267393910692952,-0.223606797749979,-0.252312957193464,-0.27753743355992,-1.56296421675518,-0.218217890235993
NA,NA,NA,NA,NA,NA,NA
1.4984141761245,-0.267393910692952,-0.223606797749979,0.807401463019084,-0.27753743355992,1.04197614450346,-0.218217890235993
0.508989288056773,-1.53751498648447,-1.34164078649987,-1.31202737740601,-0.27753743355992,1.04197614450346,-0.218217890235993
0.456360194839261,1.00272716509857,0.894427190999916,-1.31202737740601,-1.20266221209299,1.04197614450346,-0.218217890235993
