"PROFICIENCIA_MT_SAEB","TX_RESP_Q21b_num","TX_RESP_Q21c_num","TX_RESP_Q21e_num","TX_RESP_Q22b_num","TX_RESP_Q22c_num","TX_RESP_Q22e_num","TX_RESP_Q19_num"
1.01061530554663,0.335991046874226,0.967511243604198,0.48807110086925,-0.121987509118567,0.928190961784514,0.25,-0.563918357472361
-1.55206547980606,-1.27676597812206,-0.0806259369670167,0.48807110086925,-0.121987509118567,NA,1.25,2.59402444437286
-0.69295224055023,1.14236955937237,0.967511243604198,0.48807110086925,-2.07378765501563,0.928190961784514,1.25,-0.563918357472361
1.32427419537054,0.335991046874226,-1.12876311753823,-2.68439105478088,0.853912563829966,-0.232047740446129,-0.75,-0.563918357472361
-1.14543736036187,NA,NA,NA,0.853912563829966,0.928190961784514,-0.75,NA
-1.1443717804867,-1.27676597812206,0.967511243604198,0.48807110086925,0.853912563829966,0.928190961784514,-0.75,1.01505304345025
0.199794844345055,NA,NA,NA,0.853912563829966,0.928190961784514,1.25,NA
-1.09641053674441,-1.27676597812206,-0.0806259369670167,0.48807110086925,0.853912563829966,0.928190961784514,1.25,-0.563918357472361
-0.753989459519774,NA,NA,NA,0.853912563829966,-0.232047740446129,0.25,-0.563918357472361
-0.346786392579145,NA,0.967511243604198,0.48807110086925,0.853912563829966,0.928190961784514,1.25,1.01505304345025
1.0286031592782,0.335991046874226,-1.12876311753823,0.48807110086925,-1.0978875820671,-1.39228644267677,-0.75,1.01505304345025
NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA
1.69086754934653,1.14236955937237,-0.0806259369670167,-1.09815997695581,-1.0978875820671,-0.232047740446129,0.25,-0.563918357472361
0.686883519370753,0.335991046874226,0.967511243604198,0.48807110086925,0.853912563829966,-1.39228644267677,-0.75,-0.563918357472361
0.48938493973776,-1.27676597812206,-0.0806259369670167,-1.09815997695581,-1.0978875820671,-1.39228644267677,-0.75,-0.563918357472361
0.384903524875333,1.14236955937237,-2.17690029810945,0.48807110086925,-0.121987509118567,-0.232047740446129,-1.75,-0.563918357472361
-0.0833137878226131,0.335991046874226,-0.0806259369670167,0.48807110086925,-1.0978875820671,-1.39228644267677,-0.75,-0.563918357472361
NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA
