ID_SAEB,ID_REGIAO,ID_UF,ID_MUNICIPIO,ID_AREA,ID_ESCOLA,IN_PUBLICA,ID_LOCALIZACAO,ID_TURMA,ID_SERIE,ID_ALUNO,IN_SITUACAO_CENSO,IN_PREENCHIMENTO_LP,IN_PREENCHIMENTO_MT,IN_PREENCHIMENTO_CH,IN_PREENCHIMENTO_CN,IN_PRESENCA_LP,IN_PRESENCA_MT,IN_PRESENCA_CH,IN_PRESENCA_CN,ID_CADERNO_LP,ID_BLOCO_1_LP,ID_BLOCO_2_LP,ID_CADERNO_MT,ID_BLOCO_1_MT,ID_BLOCO_2_MT,ID_CADERNO_CH,ID_BLOCO_1_CH,ID_BLOCO_2_CH,NU_BLOCO_1_ABERTA_CH,NU_BLOCO_2_ABERTA_CH,ID_CADERNO_CN,ID_BLOCO_1_CN,ID_BLOCO_2_CN,ID_BLOCO_3_CN,NU_BLOCO_1_ABERTA_CN,NU_BLOCO_2_ABERTA_CN,TX_RESP_BLOCO1_LP,TX_RESP_BLOCO2_LP,TX_RESP_BLOCO1_MT,TX_RESP_BLOCO2_MT,TX_RESP_BLOCO1_CH,TX_RESP_BLOCO2_CH,CO_CONCEITO_Q1_CH,CO_CONCEITO_Q2_CH,TX_RESP_BLOCO1_CN,TX_RESP_BLOCO2_CN,TX_RESP_BLOCO3_CN,CO_CONCEITO_Q1_CN,CO_CONCEITO_Q2_CN,IN_PROFICIENCIA_LP,IN_PROFICIENCIA_MT,IN_PROFICIENCIA_CH,IN_PROFICIENCIA_CN,IN_AMOSTRA,ESTRATO,ESTRATO_CIENCIAS,PESO_ALUNO_LP,PROFICIENCIA_LP,ERRO_PADRAO_LP,PROFICIENCIA_LP_SAEB,ERRO_PADRAO_LP_SAEB,PESO_ALUNO_MT,PROFICIENCIA_MT,ERRO_PADRAO_MT,PROFICIENCIA_MT_SAEB,ERRO_PADRAO_MT_SAEB,PESO_ALUNO_CH,PROFICIENCIA_CH,ERRO_PADRAO_CH,PROFICIENCIA_CH_SAEB,ERRO_PADRAO_CH_SAEB,PESO_ALUNO_CN,PROFICIENCIA_CN,ERRO_PADRAO_CN,PROFICIENCIA_CN_SAEB,ERRO_PADRAO_CN_SAEB,IN_PREENCHIMENTO_QUESTIONARIO,IN_INSE,INSE_ALUNO,NU_TIPO_NIVEL_INSE,PESO_ALUNO_INSE,TX_RESP_Q01,TX_RESP_Q02,TX_RESP_Q03,TX_RESP_Q04,TX_RESP_Q05a,TX_RESP_Q05b,TX_RESP_Q05c,TX_RESP_Q06,TX_RESP_Q07a,TX_RESP_Q07b,TX_RESP_Q07c,TX_RESP_Q07d,TX_RESP_Q07e,TX_RESP_Q08,TX_RESP_Q09,TX_RESP_Q10a,TX_RESP_Q10b,TX_RESP_Q10c,TX_RESP_Q10d,TX_RESP_Q10e,TX_RESP_Q10f,TX_RESP_Q11a,TX_RESP_Q11b,TX_RESP_Q11c,TX_RESP_Q12a,TX_RESP_Q12b,TX_RESP_Q12c,TX_RESP_Q12d,TX_RESP_Q12e,TX_RESP_Q12f,TX_RESP_Q12g,TX_RESP_Q13a,TX_RESP_Q13b,TX_RESP_Q13c,TX_RESP_Q13d,TX_RESP_Q13e,TX_RESP_Q13f,TX_RESP_Q13g,TX_RESP_Q13h,TX_RESP_Q13i,TX_RESP_Q14,TX_RESP_Q15a,TX_RESP_Q15b,TX_RESP_Q16,TX_RESP_Q17,TX_RESP_Q18,TX_RESP_Q19,TX_RESP_Q20,TX_RESP_Q21a,TX_RESP_Q21b,TX_RESP_Q21c,TX_RESP_Q21d,TX_RESP_Q21e,TX_RESP_Q22a,TX_RESP_Q22b,TX_RESP_Q22c,TX_RESP_Q22d,TX_RESP_Q22e,TX_RESP_Q22f,TX_RESP_Q22g,TX_RESP_Q22h,TX_RESP_Q23a,TX_RESP_Q23b,TX_RESP_Q23c,TX_RESP_Q23d,TX_RESP_Q23e,TX_RESP_Q23f,TX_RESP_Q23g,TX_RESP_Q23h,TX_RESP_Q23i,TX_RESP_Q24
2023,3,31,6324414,2,61425385,1,1,1550232,9,52565950,1,1,1,,,1,1,,,14,7,2,14,7,2,,,,,,,,,,,,BBABBCDDBACAB,ACDCDBCACADAC,CDBCBDCDBACAA,AACACBADAADBC,,,,,,,,,,1,1,,,0,632441421,,1.133333333300000,0.552272,0.343921,280.411512,18.947764,1.133333333300000,1.129797,0.305285,313.111365,17.063089,,,,,,,,,,,1,1,4.58,4,1.1724137931,B,C,A,A,A,A,A,B,B,B,A,A,A,D,F,C,B,C,C,C,C,B,B,B,B,A,C,C,B,A,D,B,B,B,A,B,A,B,B,A,A,B,.,A,B,B,A,A,B,B,C,A,D,B,A,A,B,C,B,B,B,B,B,B,C,A,B,C,B,B,C
2023,3,31,6324414,2,61425385,1,1,1550232,9,52565951,1,1,1,,,1,1,,,1,1,2,1,1,2,,,,,,,,,,,,BDDACDBADDADB,BCDBABACCABAD,AACBCDBABBCDA,AAABBCADAACCC,,,,,,,,,,1,1,,,0,632441421,,1.133333333300000,-0.423735,0.324279,226.640004,17.865621,1.133333333300000,-0.79573,0.525092,205.489179,29.348614,,,,,,,,,,,1,1,5.68,6,1.1724137931,A,C,A,A,A,A,B,C,B,B,.,.,B,D,F,C,C,C,C,C,C,B,B,B,B,C,D,C,A,D,D,B,B,B,B,A,A,B,B,B,A,B,A,D,B,A,A,A,D,D,D,A,D,C,B,B,B,B,B,B,B,A,B,B,C,C,B,D,B,B,C
2023,3,31,6324414,2,61425385,1,1,1550232,9,52565952,1,1,1,,,1,1,,,6,6,7,6,6,7,,,,,,,,,,,,ACDCABDDABCDD,BCDACADBDABCD,DBBDDAADDDDCC,ADDDCDCDBADAA,,,,,,,,,,1,1,,,0,632441421,,1.133333333300000,-0.013356,0.356226,249.249163,19.625688,1.133333333300000,0.329846,0.333549,268.400242,18.64283,,,,,,,,,,,1,1,6.29,7,1.1724137931,A,C,A,C,A,A,A,D,B,B,.,.,B,F,F,B,B,C,C,C,C,B,B,B,B,C,D,C,B,C,D,B,B,B,B,B,B,B,B,B,A,B,A,D,B,A,A,A,B,A,C,A,D,C,B,C,D,D,C,B,C,A,A,B,B,A,B,A,A,A,C
2023,3,31,6324414,2,61425385,1,1,1550232,9,52565953,1,1,1,,,1,1,,,20,6,2,20,6,2,,,,,,,,,,,,DCABCBDCABDAA,ABCDAACBCBCAC,DCBCAACCCDACB,AAAADCADABDBC,,,,,,,,,,1,1,,,0,632441421,,1.133333333300000,-0.510818,0.32302,221.842309,17.796258,1.133333333300000,0.581541,0.37378,282.468061,20.891434,,,,,,,,,,,1,1,5.49,5,1.1724137931,A,C,A,A,A,A,A,D,B,B,.,.,B,E,A,C,C,C,C,C,A,B,B,B,C,B,D,D,C,B,D,A,B,B,B,B,A,B,A,B,A,A,A,A,B,A,A,A,C,A,B,A,B,A,A,A,D,D,A,B,D,A,A,B,A,B,A,A,A,A,A
2023,3,31,6324414,2,61425385,1,1,1550232,9,52565954,1,1,1,,,1,1,,,3,3,4,3,3,4,,,,,,,,,,,,DDABABCBDBBBC,DBBCABABDBBCB,CACBBDCCCCCDA,AAAAADCCBDACA,,,,,,,,,,1,1,,,0,632441421,,1.133333333300000,0.445801,0.310749,274.545666,17.120207,1.133333333300000,0.765111,0.342563,292.728216,19.146644,,,,,,,,,,,1,1,5.06,5,1.1724137931,A,C,A,A,A,A,A,C,B,B,.,.,B,D,B,A,B,C,C,C,C,B,B,B,B,B,D,B,C,B,D,B,B,B,B,A,A,B,A,B,A,B,A,D,B,A,A,A,C,A,A,A,D,A,B,C,B,B,B,C,C,B,B,A,B,C,C,B,A,C,A
2023,3,31,6324414,2,61425385,1,1,1550232,9,52565955,1,1,1,,,1,1,,,2,2,3,2,2,3,,,,,,,,,,,,BCDACDBAACADB,BDCABCDBACABD,CBDAACADAADBD,ACCBDBACDABCD,,,,,,,,,,1,1,,,0,632441421,,1.133333333300000,-1.118608,0.505984,188.357114,27.87636,1.133333333300000,0.218193,0.409895,262.159696,22.909986,,,,,,,,,,,1,1,4.67,4,1.1724137931,A,B,A,A,A,A,A,B,B,B,A,A,A,F,F,B,C,C,C,C,B,B,B,B,B,A,C,B,B,B,D,B,B,B,A,A,A,B,B,B,A,B,A,D,A,A,A,A,D,B,C,D,A,C,C,B,C,C,C,B,A,B,C,C,B,D,C,C,C,A,C
2023,3,31,6324414,2,61425385,1,1,1550232,9,52565956,1,0,0,,,0,0,,,16,2,5,16,2,5,,,,,,,,,,,,.............,.............,.............,.............,,,,,,,,,,0,0,,,0,632441421,,,,,,,,,,,,,,,,,,,,,,0,0,,1,,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
2023,3,31,6324414,2,61425385,1,1,1550232,9,52565957,1,1,1,,,1,1,,,5,5,6,5,5,6,,,,,,,,,,,,ABBCCBDACCDBA,BBABBAAACABBD,BCCBACBDDDACB,ABDCADBBAAABC,,,,,,,,,,1,1,,,0,632441421,,1.133333333300000,-1.466553,0.480807,169.187654,26.489274,1.133333333300000,-0.346083,0.567709,230.620996,31.730578,,,,,,,,,,,1,1,4.68,4,1.1724137931,A,D,A,A,B,B,B,E,B,B,.,.,B,A,F,B,A,C,C,C,B,A,B,B,C,A,D,B,B,B,D,A,B,B,B,A,A,B,B,B,A,B,A,D,D,A,B,A,A,A,B,B,A,*,C,B,A,B,A,B,A,B,B,C,A,C,A,C,C,B,A
2023,3,31,6324414,2,61425385,1,1,1550232,9,52565958,1,1,1,,,1,1,,,2,2,3,2,2,3,,,,,,,,,,,,BCDCDCCACBDAC,DDDDABCBDCDDB,AAAACCADADDBA,CABBADBCCCADA,,,,,,,,,,1,1,,,0,632441421,,1.133333333300000,1.020131,0.366855,306.187437,20.211276,1.133333333300000,0.30068,0.368324,266.770086,20.586486,,,,,,,,,,,1,1,5.51,6,1.1724137931,B,B,A,A,A,A,A,D,B,B,A,A,B,C,C,B,C,C,C,C,C,A,B,B,C,A,D,C,C,B,D,B,B,B,B,B,A,B,B,B,B,B,A,D,C,A,A,A,B,A,C,A,D,B,A,C,C,C,B,B,A,B,B,B,B,C,B,B,B,B,C
2023,3,31,6324414,2,61425385,1,1,1550232,9,52565959,1,1,1,,,1,1,,,20,6,2,20,6,2,,,,,,,,,,,,DCDCCBDDAAADC,BCDDBCCACCDCC,DCDBDDABCAACC,ABCBDDABAACBC,,,,,,,,,,1,1,,,0,632441421,,1.133333333300000,0.863851,0.316749,297.577447,17.450768,1.133333333300000,-0.471326,0.475963,223.620874,26.60268,,,,,,,,,,,1,1,4.49,3,1.1724137931,B,C,A,C,A,A,A,C,B,B,A,A,B,F,F,A,C,B,C,C,A,A,B,B,B,A,B,B,B,B,D,B,B,A,B,A,A,A,B,B,B,B,A,C,C,A,A,A,B,A,C,B,D,B,D,*,C,D,C,B,D,B,C,C,B,D,C,B,B,B,D
