ID_SAEB,ID_REGIAO,ID_UF,ID_MUNICIPIO,ID_AREA,ID_ESCOLA,IN_PUBLICA,ID_LOCALIZACAO,ID_TURMA,ID_SERIE,ID_ALUNO,IN_SITUACAO_CENSO,IN_PREENCHIMENTO_LP,IN_PREENCHIMENTO_MT,IN_PRESENCA_LP,IN_PRESENCA_MT,ID_CADERNO_LP,ID_BLOCO_1_LP,ID_BLOCO_2_LP,ID_CADERNO_MT,ID_BLOCO_1_MT,ID_BLOCO_2_MT,TX_RESP_BLOCO1_LP,TX_RESP_BLOCO2_LP,TX_RESP_BLOCO1_MT,TX_RESP_BLOCO2_MT,IN_PROFICIENCIA_LP,IN_PROFICIENCIA_MT,IN_AMOSTRA,ESTRATO,PESO_ALUNO_LP,PROFICIENCIA_LP,ERRO_PADRAO_LP,PROFICIENCIA_LP_SAEB,ERRO_PADRAO_LP_SAEB,PESO_ALUNO_MT,PROFICIENCIA_MT,ERRO_PADRAO_MT,PROFICIENCIA_MT_SAEB,ERRO_PADRAO_MT_SAEB,IN_PREENCHIMENTO_QUESTIONARIO,IN_INSE,INSE_ALUNO,NU_TIPO_NIVEL_INSE,PESO_ALUNO_INSE,TX_RESP_Q01,TX_RESP_Q02,TX_RESP_Q03,TX_RESP_Q04,TX_RESP_Q05a,TX_RESP_Q05b,TX_RESP_Q05c,TX_RESP_Q06,TX_RESP_Q07a,TX_RESP_Q07b,TX_RESP_Q07c,TX_RESP_Q07d,TX_RESP_Q07e,TX_RESP_Q08,TX_RESP_Q09,TX_RESP_Q10a,TX_RESP_Q10b,TX_RESP_Q10c,TX_RESP_Q10d,TX_RESP_Q10e,TX_RESP_Q10f,TX_RESP_Q11a,TX_RESP_Q11b,TX_RESP_Q11c,TX_RESP_Q12a,TX_RESP_Q12b,TX_RESP_Q12c,TX_RESP_Q12d,TX_RESP_Q12e,TX_RESP_Q12f,TX_RESP_Q12g,TX_RESP_Q13a,TX_RESP_Q13b,TX_RESP_Q13c,TX_RESP_Q13d,TX_RESP_Q13e,TX_RESP_Q13f,TX_RESP_Q13g,TX_RESP_Q13h,TX_RESP_Q13i,TX_RESP_Q14,TX_RESP_Q15a,TX_RESP_Q15b,TX_RESP_Q16,TX_RESP_Q17,TX_RESP_Q18,TX_RESP_Q19,TX_RESP_Q20,TX_RESP_Q21a,TX_RESP_Q21b,TX_RESP_Q21c,TX_RESP_Q21d,TX_RESP_Q21e,TX_RESP_Q22a,TX_RESP_Q22b,TX_RESP_Q22c,TX_RESP_Q22d,TX_RESP_Q22e,TX_RESP_Q22f,TX_RESP_Q22g,TX_RESP_Q22h,TX_RESP_Q23a,TX_RESP_Q23b,TX_RESP_Q23c,TX_RESP_Q23d,TX_RESP_Q23e,TX_RESP_Q23f,TX_RESP_Q23g,TX_RESP_Q23h,TX_RESP_Q23i,TX_RESP_Q24,TX_RESP_Q25
2023,3,31,6325218,2,61399521,1,1,1494579,12,52460230,1,0,0,0,0,11,4,6,11,4,6,.............,.............,.............,.............,0,0,0,63252182112,,,,,,,,,,,0,0,,1,,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
2023,3,31,6325218,2,61399521,1,1,1494579,12,52460231,1,0,0,0,0,13,6,1,13,6,1,.............,.............,.............,.............,0,0,0,63252182112,,,,,,,,,,,0,0,,1,,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
2023,3,31,6325218,2,61399521,1,1,1494579,12,52460232,1,0,0,0,0,10,3,5,10,3,5,.............,.............,.............,.............,0,0,0,63252182112,,,,,,,,,,,0,0,,1,,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
2023,3,31,6325218,2,61399521,1,1,1494579,12,52460233,1,1,1,1,1,7,7,1,7,7,1,CDAAABDCDBCDC,BBBACEBACCBBC,BCBDEADBCAECA,CBDEABCADBDAA,1,1,0,63252182112,1.440000000000000,-0.214753,0.386467,238.153525,21.291767,1.440000000000000,-0.263199,0.684688,235.253576,38.268806,1,1,3.85,2,1.6363636364,A,D,A,C,A,A,A,D,B,B,.,.,B,A,A,A,A,A,A,A,A,B,B,B,B,A,B,C,B,A,D,B,B,A,A,A,A,B,A,A,A,A,A,A,D,A,A,A,A,A,A,D,A,B,C,C,C,D,.,B,C,C,C,C,C,C,C,C,C,C,B,A
2023,3,31,6325218,2,61399521,1,1,1494579,12,52460234,1,1,1,1,1,9,2,4,9,2,4,EEDDBDAACBCEB,BBEEDEABCBDDA,BBDCBDCCDCEAD,BDEABADACEEBC,1,1,0,63252182112,1.440000000000000,-0.17612,0.442586,240.281947,24.383551,1.440000000000000,0.402444,0.499309,272.457913,27.907542,1,1,4.11,3,1.6363636364,A,C,A,B,A,A,A,B,B,A,A,A,A,A,A,B,B,C,C,C,A,B,B,B,B,A,C,B,B,A,C,B,B,B,B,B,A,B,B,A,B,A,A,A,B,A,B,A,B,C,B,D,B,A,A,A,B,B,B,A,C,A,A,A,A,C,B,A,A,A,C,B
2023,3,31,6325218,2,61399521,1,1,1494579,12,52460235,1,1,1,1,1,12,5,7,12,5,7,EABCACDBBDDCA,CDCAABCADADCD,CCDDCAACCCDEB,CDBCECCABDDAA,1,1,0,63252182112,1.440000000000000,1.126691,0.383893,312.058186,21.149956,1.440000000000000,1.18178,0.402437,316.016816,22.493141,1,1,3.81,2,1.6363636364,A,C,A,C,A,A,A,B,A,B,B,A,A,D,D,B,C,C,C,C,B,B,B,B,B,A,C,B,B,A,C,A,B,B,B,B,A,A,A,A,B,A,A,A,B,A,B,A,C,C,B,C,B,A,A,A,C,C,C,B,B,B,C,B,B,B,B,B,A,A,C,A
2023,3,31,6325218,2,61399521,1,1,1494579,12,52460236,1,1,1,1,1,19,5,1,19,5,1,EABCABBBBAECA,AECCECDACEEDD,DCDBAAACABDEC,CBDCBBDBCEEAB,1,1,0,63252182112,1.440000000000000,0.945213,0.362116,302.059953,19.950188,1.440000000000000,1.594616,0.328649,339.091181,18.368958,1,1,4.53,4,1.6363636364,A,C,A,A,.,.,.,C,B,B,A,.,B,E,D,B,B,C,C,C,B,B,B,B,B,B,C,B,B,B,D,A,B,B,B,A,A,A,A,B,A,.,.,A,A,A,B,A,D,D,.,A,C,B,A,C,C,C,C,B,B,B,C,C,C,A,A,A,B,B,C,A
2023,3,31,6325218,2,61399521,1,1,1494579,12,52460237,1,1,1,1,1,2,2,3,2,2,3,ADDADDDABCCAB,ADDAAADCDBABD,ACDAEBACAADAD,BDDACADBDAABA,1,1,0,63252182112,1.440000000000000,-0.239355,0.499109,236.798118,27.497593,1.440000000000000,0.439112,0.525247,274.507373,29.357278,1,1,4.55,4,1.6363636364,B,C,A,D,A,A,A,C,B,B,.,.,B,C,F,C,B,C,A,C,C,B,B,B,B,B,C,B,B,A,D,B,B,A,A,B,A,B,B,A,A,A,B,A,B,A,A,A,B,D,C,A,C,A,A,A,A,A,A,A,A,A,A,B,A,A,A,A,A,A,B,A
2023,3,31,6325218,2,61399521,1,1,1494579,12,52460238,1,0,0,0,0,4,4,5,4,4,5,.............,.............,.............,.............,0,0,0,63252182112,,,,,,,,,,,0,0,,1,,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
2023,3,31,6325218,2,61399521,1,1,1494579,12,52460239,1,1,1,1,1,20,6,2,20,6,2,EECBEDDBAEDCC,AEADCADCBACEB,ECCECADABAADA,BADDDDBCCEDED,1,1,0,63252182112,1.440000000000000,0.714734,0.371761,289.36209,20.481564,1.440000000000000,1.030075,0.442413,307.537671,24.727492,1,1,4.75,4,1.6363636364,A,C,A,B,A,.,.,B,B,B,.,.,.,D,D,B,B,C,C,A,B,A,B,B,B,B,C,B,B,B,D,B,B,B,A,B,A,B,A,A,B,A,A,A,C,A,A,A,B,A,B,C,A,C,B,B,C,D,C,B,A,A,A,A,A,A,A,A,A,A,C,A
