ID_SAEB,ID_REGIAO,ID_UF,ID_MUNICIPIO,ID_AREA,ID_ESCOLA,IN_PUBLICA,ID_LOCALIZACAO,ID_TURMA,ID_SERIE,ID_ALUNO,IN_SITUACAO_CENSO,IN_PREENCHIMENTO_LP,IN_PREENCHIMENTO_MT,IN_PRESENCA_LP,IN_PRESENCA_MT,ID_CADERNO_LP,ID_BLOCO_1_LP,ID_BLOCO_2_LP,ID_CADERNO_MT,ID_BLOCO_1_MT,ID_BLOCO_2_MT,TX_RESP_BLOCO1_LP,TX_RESP_BLOCO2_LP,TX_RESP_BLOCO1_MT,TX_RESP_BLOCO2_MT,IN_PROFICIENCIA_LP,IN_PROFICIENCIA_MT,IN_AMOSTRA,ESTRATO,PESO_ALUNO_LP,PROFICIENCIA_LP,ERRO_PADRAO_LP,PROFICIENCIA_LP_SAEB,ERRO_PADRAO_LP_SAEB,PESO_ALUNO_MT,PROFICIENCIA_MT,ERRO_PADRAO_MT,PROFICIENCIA_MT_SAEB,ERRO_PADRAO_MT_SAEB,IN_PREENCHIMENTO_QUESTIONARIO,IN_INSE,INSE_ALUNO,NU_TIPO_NIVEL_INSE,PESO_ALUNO_INSE,TX_RESP_Q01,TX_RESP_Q02,TX_RESP_Q03,TX_RESP_Q04,TX_RESP_Q05a,TX_RESP_Q05b,TX_RESP_Q05c,TX_RESP_Q06,TX_RESP_Q07a,TX_RESP_Q07b,TX_RESP_Q07c,TX_RESP_Q07d,TX_RESP_Q07e,TX_RESP_Q08,TX_RESP_Q09,TX_RESP_Q10a,TX_RESP_Q10b,TX_RESP_Q10c,TX_RESP_Q10d,TX_RESP_Q10e,TX_RESP_Q10f,TX_RESP_Q11a,TX_RESP_Q11b,TX_RESP_Q11c,TX_RESP_Q12a,TX_RESP_Q12b,TX_RESP_Q12c,TX_RESP_Q12d,TX_RESP_Q12e,TX_RESP_Q12f,TX_RESP_Q12g,TX_RESP_Q13a,TX_RESP_Q13b,TX_RESP_Q13c,TX_RESP_Q13d,TX_RESP_Q13e,TX_RESP_Q13f,TX_RESP_Q13g,TX_RESP_Q13h,TX_RESP_Q13i,TX_RESP_Q14,TX_RESP_Q15a,TX_RESP_Q15b,TX_RESP_Q16,TX_RESP_Q17,TX_RESP_Q18,TX_RESP_Q19,TX_RESP_Q20,TX_RESP_Q21a,TX_RESP_Q21b,TX_RESP_Q21c,TX_RESP_Q21d,TX_RESP_Q21e,TX_RESP_Q22a,TX_RESP_Q22b,TX_RESP_Q22c,TX_RESP_Q22d,TX_RESP_Q22e,TX_RESP_Q22f,TX_RESP_Q22g,TX_RESP_Q22h,TX_RESP_Q23a,TX_RESP_Q23b,TX_RESP_Q23c,TX_RESP_Q23d,TX_RESP_Q23e,TX_RESP_Q23f,TX_RESP_Q23g,TX_RESP_Q23h,TX_RESP_Q23i,TX_RESP_Q24,TX_RESP_Q25
2023,3,31,6324479,1,61466120,1,1,1549731,12,52156698,1,1,1,1,1,6,6,7,6,6,7,EEBECEDBDBEBA,CDCAABBCCEAED,AACEAAAABABDB,BCABECCBDDBAE,1,1,0,63244792112,1.269230769200000,0.858473,0.378573,297.281154,20.85686,1.269230769200000,0.570562,0.526619,281.854419,29.433962,1,1,5.02,5,1375,B,B,A,E,A,A,A,B,B,.,.,.,B,D,B,B,B,C,C,C,B,B,B,B,B,A,D,C,C,B,C,B,B,B,B,A,A,B,B,B,C,A,A,E,A,A,A,A,C,A,D,D,C,B,B,B,B,C,C,B,B,B,B,B,B,B,C,C,B,B,C,A
2023,3,31,6324479,1,61466120,1,1,1549731,12,52156699,0,1,1,1,1,8,1,3,8,1,3,BEDCDECADACBD,AEBCBBAACBAEB,CAAABCDBADEAA,CCBBCBBCDBDCB,1,1,0,63244792112,,-0.359875,0.509402,230.158266,28.064669,,1.3283,0.402808,324.20616,22.513877,1,1,,1,,B,C,A,A,A,A,A,C,B,B,A,A,B,D,C,B,B,B,B,C,B,B,B,B,B,B,D,D,C,D,D,B,B,B,B,B,B,B,B,B,B,A,A,C,A,C,A,A,B,B,C,C,D,B,C,B,B,B,C,A,A,B,C,B,B,D,B,B,B,B,C,A
2023,3,31,6324479,1,61466120,1,1,1549731,12,52156700,1,0,0,0,0,11,4,6,11,4,6,.............,.............,.............,.............,0,0,0,63244792112,,,,,,,,,,,0,0,,1,,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
2023,3,31,6324479,1,61466120,1,1,1549731,12,52156701,1,0,0,0,0,12,5,7,12,5,7,.............,.............,.............,.............,0,0,0,63244792112,,,,,,,,,,,0,0,,1,,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
2023,3,31,6324479,1,61466120,1,1,1549731,12,52156950,1,1,1,1,1,16,2,5,16,2,5,EBADBCDCBDDBB,BCBCBCDAADECE,ADDECDACBEEAA,CEDCEAABAECCB,1,1,0,63244792112,1.269230769200000,0.556959,0.432482,280.669734,23.826888,1.269230769200000,1.291969,0.426145,322.175536,23.818236,1,1,4.7,4,1375,A,C,A,C,A,A,A,A,B,A,A,A,A,D,D,B,C,C,C,C,C,B,B,B,B,B,D,B,B,A,C,B,B,B,B,B,A,B,B,A,B,A,A,D,B,A,A,A,D,D,C,A,D,A,C,D,D,D,D,B,D,B,B,B,B,D,C,A,B,B,B,A
2023,3,31,6324479,1,61466120,1,1,1549731,12,52156951,1,1,1,1,1,21,7,3,21,7,3,CDAAABBCCBDAD,CEABAEDCBAABC,CDADECDBCDCDA,CADBDACCDDACB,1,1,0,63244792112,1.269230769200000,0.206763,0.377787,261.376259,20.813556,1.269230769200000,1.51579,0.389448,334.685413,21.767155,1,1,7.23,8,1375,A,C,A,C,A,A,A,C,B,B,A,A,B,F,E,A,A,B,B,C,A,B,B,B,B,C,D,D,D,D,D,B,B,B,B,B,B,B,B,B,C,A,A,D,C,C,B,A,B,A,B,C,C,B,B,C,C,D,C,A,B,B,B,B,B,A,B,C,B,B,C,A
2023,3,31,6324479,1,61466120,1,1,1549731,12,52156952,1,1,1,1,1,3,3,4,3,3,4,ADCCACBBBCEBD,BAAEDECCABAAD,DAACE.ABADBDD,EDCCAADBABBEA,1,1,0,63244792112,1.269230769200000,0.196156,0.368325,260.791884,20.292263,1.269230769200000,-0.752543,0.720099,207.903001,40.248009,1,1,6.29,7,1375,A,C,A,A,A,A,A,A,B,A,A,A,A,E,E,B,C,C,C,C,C,B,B,B,B,C,C,C,C,D,C,B,B,B,B,B,B,B,B,B,A,A,A,C,B,B,A,A,C,A,B,A,D,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,C,B
2023,3,31,6324479,1,61466120,1,1,1549731,12,52156953,1,1,1,1,1,1,1,2,1,1,2,AEECDABACEABE,AEEEDECDAABBB,CAEDBADCAEBAB,ABDEBAACBCEAD,1,1,0,63244792112,1.269230769200000,0.501798,0.361539,277.630729,19.918399,1.269230769200000,1.384923,0.3751,327.370951,20.965212,1,1,5.86,6,1375,B,B,A,F,A,A,A,E,B,B,.,.,B,C,E,A,C,C,C,C,B,B,B,B,B,C,D,D,B,B,D,B,B,B,B,B,A,B,B,B,A,A,A,F,B,C,A,A,B,A,D,A,D,B,D,C,C,D,C,A,B,B,B,C,B,D,C,C,C,B,A,A
2023,3,31,6324479,1,61466120,1,1,1549731,12,52156954,1,1,1,1,1,7,7,1,7,7,1,CDAAABADAEEEE,BEDCEEBDCAABC,DCDDBCDBBDACA,CBCCBAABAEDAC,1,1,0,63244792112,1.269230769200000,0.452441,0.344232,274.911486,18.964898,1.269230769200000,0.998951,0.584987,305.798078,32.696285,1,1,6.59,7,1375,A,C,A,B,A,A,A,B,B,B,.,.,.,E,E,B,B,A,A,A,A,B,B,B,B,C,D,D,C,B,D,B,B,B,B,B,B,B,B,B,A,A,A,A,A,C,B,A,A,*,B,B,B,A,D,C,C,D,D,B,B,C,D,C,C,C,B,D,B,D,C,A
2023,3,31,6324479,1,61466120,1,1,1549731,12,52156955,1,1,1,1,1,8,1,3,8,1,3,AEDCCCCACDBBD,BBDEDEACAADBC,DBCDBEDBDADEB,ADBBBACBBDACB,1,1,0,63244792112,1.269230769200000,0.645411,0.336848,285.542852,18.558089,1.269230769200000,1.550921,0.530522,336.648966,29.65211,1,1,6.05,7,1375,B,B,A,A,A,A,A,C,B,B,.,.,B,D,E,C,C,C,C,B,B,B,B,B,B,D,D,C,B,B,D,B,B,B,B,B,B,B,B,B,A,A,A,F,B,C,A,A,C,A,C,A,D,B,C,C,C,C,D,B,D,B,C,C,C,B,C,D,B,B,C,A
2023,3,31,6324479,1,61466120,1,1,1549731,12,52156956,1,1,1,1,1,14,7,2,14,7,2,CDCAABBDCBECC,CCCDCACCCCCEB,BDBBECDBCDBCA,ACDECABCCEDBD,1,1,0,63244792112,1.269230769200000,0.721002,0.384137,289.707415,21.163399,1.269230769200000,1.707463,0.326504,345.398463,18.249069,1,0,,1,,A,B,A,C,A,A,A,B,B,.,.,B,.,E,D,B,B,C,B,C,A,B,B,B,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,A,B,B,C,C,C,A,B,B,B,A,A,B,C,C,A,A,B,A
2023,3,31,6324479,1,61466120,1,1,1549731,12,52156957,1,0,0,0,0,2,2,3,2,2,3,.............,.............,.............,.............,0,0,0,63244792112,,,,,,,,,,,0,0,,1,,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
2023,3,31,6324479,1,61466120,1,1,1549731,12,52156958,1,1,1,1,1,9,2,4,9,2,4,EAECCABDDCABB,.AADE.DAABABD,DCDCCEDCCEABD,DDADACCBCDEBA,1,1,0,63244792112,1.269230769200000,-0.248192,0.443295,236.311258,24.422612,1.269230769200000,-0.014483,0.475427,249.154892,26.572722,1,1,4.59,4,1375,B,B,A,B,A,A,A,D,B,B,.,.,B,D,F,B,A,B,C,C,B,B,B,B,B,A,D,C,B,B,D,A,B,A,A,A,A,B,A,B,A,A,A,A,C,A,A,A,B,C,C,D,A,C,C,B,C,C,D,B,A,C,D,C,B,B,D,B,B,C,C,A
2023,3,31,6324479,1,61466120,1,1,1549731,12,52156959,1,1,1,1,1,15,1,4,15,1,4,CEDCDACACBEBD,EDBECDABDCCAD,DACDEADDACEEA,CBEEAECBCEBDC,1,1,0,63244792112,1.269230769200000,0.14796,0.347497,258.136604,19.144778,1.269230769200000,0.081148,0.650178,254.499932,36.339962,1,0,,1,,B,B,A,C,A,A,A,C,B,B,A,A,B,D,E,B,C,C,C,C,A,B,B,B,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,B,C,B,C,C,C,B,B,B,B,C,B,C,B,D,B,B,C,A
2023,3,31,6324479,1,61466120,1,1,1549731,12,52156960,1,1,1,1,1,2,2,3,2,2,3,EEAECABCDCCBB,DDBEDBDCBCDBC,AEDDBAACCEEBA,DABDAECDDCEBA,1,1,0,63244792112,1.269230769200000,1.901626,0.394974,354.751961,21.760446,1.269230769200000,1.314689,0.370969,323.44541,20.734321,1,1,5.38,5,1375,B,B,A,C,A,A,A,A,A,A,B,A,A,E,E,B,A,A,A,C,A,B,B,B,B,B,C,C,C,A,C,B,B,B,B,B,B,B,A,B,B,A,A,D,A,C,A,A,B,A,A,A,D,B,A,C,C,C,C,B,A,B,C,B,B,B,C,B,A,B,A,A
