"PROFICIENCIA_LP_SAEB","TX_RESP_Q21a_num","TX_RESP_Q21c_num","TX_RESP_Q22b_num","TX_RESP_Q22c_num","TX_RESP_Q22d_num","TX_RESP_Q22e_num","TX_RESP_Q22f_num","TX_RESP_Q23e_num","TX_RESP_Q23f_num"
-0.153798455049168,-1.41597670177164,-0.0766559509046973,0.762901501211937,0.607415739642055,0.697402730172351,0.913017328170553,0.497584580462402,-0.697095675727276,0.601985256244783
-0.151974893697514,-0.202282385967376,1.02207934539596,-0.201944515026689,-0.455561804731541,-0.413275691953986,-0.27667191762744,-0.572222267531762,-0.697095675727276,-1.01585011991307
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-0.150447999840661,-0.202282385967376,1.02207934539596,-1.16679053126531,-1.51853934910514,-1.52395411408032,-1.46636116342543,-1.64202911552593,-0.697095675727276,-1.01585011991307
-0.150343074196218,-0.202282385967376,-1.17539124720536,-0.201944515026689,-0.455561804731541,-0.413275691953986,-0.27667191762744,-1.64202911552593,-0.697095675727276,-1.01585011991307
-0.153542412373785,-0.202282385967376,1.02207934539596,-1.16679053126531,-0.455561804731541,-0.413275691953986,-0.27667191762744,0.497584580462402,-0.697095675727276,0.601985256244783
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-0.152872129575668,-0.202282385967376,-1.17539124720536,1.72774751745056,1.67039328401565,1.80808115229869,2.10270657396855,1.56739142845657,2.30041572990001,2.21982063240264
-0.152412059386032,1.01141192983688,1.02207934539596,1.72774751745056,1.67039328401565,-1.52395411408032,2.10270657396855,1.56739142845657,0.801660027086368,0.601985256244783
-0.152501154387065,1.01141192983688,1.02207934539596,0.762901501211937,0.607415739642055,-0.413275691953986,-0.27667191762744,-0.572222267531762,0.801660027086368,2.21982063240264
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6.40493454778019,1.01141192983688,-0.0766559509046973,0.762901501211937,-0.455561804731541,0.697402730172351,0.913017328170553,0.497584580462402,-0.697095675727276,0.601985256244783
