"metrica","valor"
"n_linhas","30"
"n_colunas_entrada","104"
"n_colunas_validas","26"
"n_degeneradas","78"
"n_somente_na","0"
"n_variancia_zero","78"
"n_near_zero_var","0"
"nzv_aplicado","nao"
