"PROFICIENCIA_MT_SAEB","TX_RESP_Q22h_num"
-0.0763364813476861,1.03384603225712
-0.128549826209753,1.03384603225712
0.301589442617894,1.03384603225712
2.37805238853993,-1.06565667940349
1.47007541131128,-2.11540803523379
1.12478645221867,-2.11540803523379
0.351333579358134,1.03384603225712
-1.24081575217942,1.03384603225712
0.491711891297569,-2.11540803523379
-0.026876829820516,-0.0159053235731864
-0.962127157656739,-0.0159053235731864
-0.158305195209076,1.03384603225712
NA,NA
-0.493280971995154,1.03384603225712
-0.629360123035526,-0.0159053235731864
1.88958824670071,1.03384603225712
-0.448524834105813,-1.06565667940349
-0.334830142847896,-1.06565667940349
0.854808069195461,-0.0159053235731864
0.89636141084947,-1.06565667940349
1.25585043977326,1.03384603225712
0.106034696038105,-1.06565667940349
-1.5633175286289,-0.0159053235731864
1.71770130303813,-0.0159053235731864
-0.658401119326226,1.03384603225712
-1.17017509138366,NA
-0.833313459861198,-0.0159053235731864
2.43537362837295,-0.0159053235731864
-0.443496888944466,-1.06565667940349
-0.697990257717989,-1.06565667940349
-0.594226785405847,-0.0159053235731864
0.0847466009193805,-0.0159053235731864
0.247801864273041,1.03384603225712
-0.168247651735386,-0.0159053235731864
-0.721132239086995,-2.11540803523379
-1.16492980054892,1.03384603225712
-0.533181760234863,-1.06565667940349
1.68570204941471,-2.11540803523379
-0.774152688142856,1.03384603225712
-0.378178237631205,1.03384603225712
-0.609420937901852,1.03384603225712
0.717747617165838,-0.0159053235731864
-0.681642208721014,-0.0159053235731864
-0.899333702207511,1.03384603225712
2.30400436751101,-0.0159053235731864
0.771797319940101,-1.06565667940349
-0.684333594961802,-1.06565667940349
-0.656796518641079,-0.0159053235731864
0.858573459316322,-1.06565667940349
0.262677961786138,-1.06565667940349
-0.882488626175301,1.03384603225712
-1.60880562475365,1.03384603225712
0.909527423111031,-0.0159053235731864
NA,NA
-0.442545955157573,-0.0159053235731864
0.985347865079943,-0.0159053235731864
0.446545024128853,-0.0159053235731864
0.828436098361891,NA
NA,1.03384603225712
-1.84116064533673,1.03384603225712
NA,NA
0.108515113146114,1.03384603225712
-2.08010986673959,NA
-0.144757219586759,-0.0159053235731864
-1.15281700407316,1.03384603225712
-0.0452386074982739,NA
0.117143802146601,-1.06565667940349
0.525223071309664,1.03384603225712
NA,NA
-1.06110081857519,1.03384603225712
NA,NA
NA,NA
0.183136879858035,-1.06565667940349
-0.508818714230854,-0.0159053235731864
0.805840669446658,-0.0159053235731864
0.38308672138954,1.03384603225712
