"PROFICIENCIA_MT_SAEB","TX_RESP_Q21c_num","TX_RESP_Q22b_num","TX_RESP_Q22g_num"
0.537187674733356,-0.905833312291327,-0.887317694967812,-1.47228930138398
NA,NA,NA,NA
-0.598193404914872,0.23292856601777,-0.887317694967812,-0.218116933538368
-0.412079413593942,-0.905833312291327,-0.887317694967812,-0.218116933538368
0.0891854786334487,1.37169044432687,-0.887317694967812,-0.218116933538368
0.319285585888677,-0.905833312291327,0.133097654245172,-1.47228930138398
0.484628327769844,0.23292856601777,-0.887317694967812,-0.218116933538368
1.45342285632839,0.23292856601777,-0.887317694967812,-0.218116933538368
-1.22569599140268,NA,NA,NA
0.118288680294944,0.23292856601777,-1.9077330441808,1.03605543430725
-1.15101197475406,0.23292856601777,1.15351300345816,1.03605543430725
-0.0532587861663181,0.23292856601777,1.15351300345816,-1.47228930138398
-0.524154778947945,1.37169044432687,NA,NA
-0.849016163926955,0.23292856601777,0.133097654245172,-0.218116933538368
1.26451589955737,NA,-0.887317694967812,1.03605543430725
0.414831657336139,0.23292856601777,0.133097654245172,-0.218116933538368
-0.426649049377949,-0.905833312291327,1.15351300345816,1.03605543430725
0.0462582540807679,1.37169044432687,-0.887317694967812,-0.218116933538368
0.336555756235668,0.23292856601777,-0.887317694967812,1.03605543430725
NA,NA,NA,NA
2.98072381744449,0.23292856601777,-0.887317694967812,-0.218116933538368
-0.564198120586084,0.23292856601777,1.15351300345816,1.03605543430725
NA,NA,NA,NA
1.02462075274554,-2.04459519060042,-0.887317694967812,-0.218116933538368
0.961190182588704,NA,-0.887317694967812,-0.218116933538368
0.146694838720182,0.23292856601777,-0.887317694967812,-0.218116933538368
2.01657692576872,-0.905833312291327,-1.9077330441808,-0.218116933538368
-0.617849317913397,0.23292856601777,-0.887317694967812,1.03605543430725
-1.794036588295,-0.905833312291327,1.15351300345816,1.03605543430725
1.50810945895988,-0.905833312291327,1.15351300345816,-0.218116933538368
-0.176578181160056,0.23292856601777,1.15351300345816,-0.218116933538368
-0.839716097656332,0.23292856601777,-1.9077330441808,1.03605543430725
-0.951616018088178,1.37169044432687,0.133097654245172,1.03605543430725
0.52882747195547,-0.905833312291327,0.133097654245172,-1.47228930138398
-1.00719237310685,1.37169044432687,-0.887317694967812,-0.218116933538368
-0.808509126404297,0.23292856601777,1.15351300345816,1.03605543430725
-1.81896675120659,1.37169044432687,1.15351300345816,1.03605543430725
-0.0673067956098803,NA,0.133097654245172,-1.47228930138398
NA,NA,NA,NA
-0.0236151524866204,NA,NA,NA
2.01068079927774,-0.905833312291327,0.133097654245172,-1.47228930138398
0.658696231498596,-2.04459519060042,0.133097654245172,-1.47228930138398
-0.706950983474967,0.23292856601777,0.133097654245172,1.03605543430725
0.498419419705194,-0.905833312291327,1.15351300345816,-0.218116933538368
0.846520754757865,0.23292856601777,1.15351300345816,-0.218116933538368
0.0711054029573066,-0.905833312291327,0.133097654245172,-0.218116933538368
-0.333261539026271,1.37169044432687,1.15351300345816,1.03605543430725
-0.349919249647399,1.37169044432687,1.15351300345816,1.03605543430725
-0.783510046709386,-0.905833312291327,1.15351300345816,-1.47228930138398
0.134310417086426,-0.905833312291327,-0.887317694967812,1.03605543430725
-0.240884406452337,1.37169044432687,0.133097654245172,-2.7264616692296
-0.15642883632455,1.37169044432687,1.15351300345816,1.03605543430725
-1.97003749709182,-2.04459519060042,1.15351300345816,1.03605543430725
