"PROFICIENCIA_MT_SAEB","TX_RESP_Q21a_num","TX_RESP_Q21c_num","TX_RESP_Q21d_num","TX_RESP_Q23d_num","TX_RESP_Q23e_num","TX_RESP_Q19_num"
-0.654016673299481,NA,NA,NA,0.382154126464088,-0.650154279447693,NA
-0.310707739605795,-1.64271269045707,-0.0344819993477844,-0.292582013044182,0.382154126464088,1.62538569861923,2.40535117721182
-1.93572816362816,-1.64271269045707,-1.96547396282372,-1.03733622806573,0.382154126464088,1.62538569861923,2.40535117721182
-0.400203911661677,-0.432292813278176,0.931013982390181,-1.03733622806573,NA,NA,-0.400891862868636
0.496493619111428,0.778127063900717,0.931013982390181,1.19692641699892,0.382154126464088,0.487615709585769,-0.400891862868636
-0.862144390757169,-0.432292813278176,-0.99997798108575,1.19692641699892,0.382154126464088,-0.650154279447693,-0.400891862868636
-0.939262400068735,NA,NA,NA,NA,1.62538569861923,NA
-0.142834775467465,-0.432292813278176,-0.99997798108575,1.19692641699892,0.382154126464088,0.487615709585769,2.40535117721182
-0.024970901997645,-0.432292813278176,0.931013982390181,0.452172201977372,NA,NA,-0.400891862868636
-1.14620761981448,0.778127063900717,0.931013982390181,1.19692641699892,0.382154126464088,1.62538569861923,-0.400891862868636
1.33108937070474,-1.64271269045707,0.931013982390181,-1.03733622806573,0.382154126464088,NA,-0.400891862868636
0.676143759294819,0.778127063900717,0.931013982390181,0.452172201977372,0.382154126464088,-0.650154279447693,-0.400891862868636
NA,NA,NA,NA,NA,NA,NA
0.797142044685266,NA,NA,NA,0.382154126464088,0.487615709585769,NA
0.561898303448051,0.778127063900717,-0.99997798108575,1.19692641699892,0.382154126464088,0.487615709585769,-0.400891862868636
-1.34182243068986,-0.432292813278176,-0.99997798108575,1.19692641699892,0.382154126464088,0.487615709585769,2.40535117721182
-1.32476210989149,-0.432292813278176,-0.0344819993477844,1.19692641699892,0.382154126464088,-0.650154279447693,-0.400891862868636
-0.0549980016894862,NA,NA,NA,-0.907616050352208,0.487615709585769,NA
NA,NA,NA,NA,NA,NA,NA
-0.567919071987858,-0.432292813278176,-0.0344819993477844,0.452172201977372,0.382154126464088,-0.650154279447693,-0.400891862868636
NA,NA,NA,NA,NA,NA,NA
-0.156966320951071,-0.432292813278176,0.931013982390181,1.19692641699892,-0.907616050352208,0.487615709585769,-0.400891862868636
0.291367377739849,0.778127063900717,0.931013982390181,-1.03733622806573,0.382154126464088,0.487615709585769,-0.400891862868636
NA,NA,NA,NA,NA,NA,NA
-0.437184180370069,-1.64271269045707,-1.96547396282372,-0.292582013044182,NA,NA,-0.400891862868636
NA,NA,NA,NA,NA,NA,NA
2.26466436774298,0.778127063900717,-0.99997798108575,-1.03733622806573,0.382154126464088,-0.650154279447693,-0.400891862868636
-0.468010829949917,0.778127063900717,0.931013982390181,-1.03733622806573,NA,-0.650154279447693,-0.400891862868636
0.771593242725733,0.778127063900717,-0.0344819993477844,-1.03733622806573,0.382154126464088,-0.650154279447693,-0.400891862868636
0.0571820480812856,1.98854694107961,0.931013982390181,-1.03733622806573,-2.1973862271685,-1.78792426848116,-0.400891862868636
2.13524138882278,-0.432292813278176,0.931013982390181,0.452172201977372,-2.1973862271685,-1.78792426848116,-0.400891862868636
NA,NA,NA,NA,NA,NA,NA
0.0596268494129814,-0.432292813278176,0.931013982390181,-1.03733622806573,-2.1973862271685,-0.650154279447693,-0.400891862868636
0.995595198982258,0.778127063900717,-0.99997798108575,-1.03733622806573,0.382154126464088,-0.650154279447693,-0.400891862868636
0.274432951078247,1.98854694107961,-0.0344819993477844,0.452172201977372,-0.907616050352208,-0.650154279447693,-0.400891862868636
-0.99804011727909,-0.432292813278176,-0.99997798108575,-1.03733622806573,1.67192430328038,-0.650154279447693,-0.400891862868636
NA,NA,NA,NA,NA,NA,NA
1.72526546717271,0.778127063900717,0.931013982390181,-1.03733622806573,-0.907616050352208,-0.650154279447693,-0.400891862868636
-0.67195634989367,-0.432292813278176,-0.99997798108575,1.19692641699892,1.67192430328038,1.62538569861923,-0.400891862868636
