"PROFICIENCIA_LP_SAEB","TX_RESP_Q21b_num","TX_RESP_Q22g_num","TX_RESP_Q23e_num"
NA,NA,NA,NA
-0.129936121260672,1.62243252245385,-0.629261576423789,-0.522228709089993
-0.13038447177175,0.781171214514817,0.917673132284692,1.46560960292998
-0.132332331724862,-0.0600900934242169,0.917673132284692,1.46560960292998
-0.129063447288377,-0.901351401363251,-0.629261576423789,-0.522228709089993
-0.130840344207021,-0.901351401363251,0.917673132284692,-0.522228709089993
NA,NA,NA,NA
-0.129313900194704,1.62243252245385,-0.629261576423789,0.471690446919993
NA,NA,NA,NA
-0.131323436840567,-0.0600900934242169,0.917673132284692,0.471690446919993
-0.129523397149282,-0.0600900934242169,0.917673132284692,-1.51614786509998
-0.130941436836799,-0.0600900934242169,0.917673132284692,0.471690446919993
-0.129443893549695,0.781171214514817,-0.629261576423789,-1.51614786509998
-0.129729568426879,-0.0600900934242169,-0.629261576423789,-1.51614786509998
-0.129863901983598,-0.0600900934242169,0.917673132284692,1.46560960292998
-0.129091701400259,-0.901351401363251,-0.629261576423789,-0.522228709089993
-0.131285987099944,0.781171214514817,-0.629261576423789,0.471690446919993
-0.129872190503957,-0.901351401363251,0.917673132284692,0.471690446919993
-0.129276400167463,1.62243252245385,-2.17619628513227,-1.51614786509998
-0.129034087264893,1.62243252245385,0.917673132284692,-1.51614786509998
-0.132436007448612,-0.901351401363251,0.917673132284692,1.46560960292998
-0.131555931472748,-0.901351401363251,0.917673132284692,0.471690446919993
NA,NA,NA,NA
-0.130710430833674,NA,0.917673132284692,0.471690446919993
-0.129684322539285,1.62243252245385,0.917673132284692,1.46560960292998
-0.131242053910821,-0.901351401363251,0.917673132284692,-0.522228709089993
NA,NA,NA,NA
-0.130188520933068,0.781171214514817,-0.629261576423789,0.471690446919993
-0.129003625933364,1.62243252245385,0.917673132284692,-0.522228709089993
-0.13029195100928,-0.901351401363251,0.917673132284692,0.471690446919993
NA,NA,NA,NA
-0.130977291713996,-0.901351401363251,-0.629261576423789,-0.522228709089993
-0.12933366013988,-0.0600900934242169,-2.17619628513227,-1.51614786509998
NA,NA,NA,NA
-0.132226000950618,-0.901351401363251,0.917673132284692,-0.522228709089993
-0.129425840446393,-0.901351401363251,-0.629261576423789,-0.522228709089993
-0.129186708146503,NA,0.917673132284692,1.46560960292998
NA,NA,NA,NA
NA,NA,NA,NA
-0.130077724271655,-0.901351401363251,0.917673132284692,1.46560960292998
-0.128248513074679,1.62243252245385,-0.629261576423789,-0.522228709089993
-0.129211384070001,1.62243252245385,-2.17619628513227,1.46560960292998
NA,NA,NA,NA
NA,NA,NA,NA
-0.129651030205941,-0.0600900934242169,-0.629261576423789,0.471690446919993
NA,NA,NA,NA
-0.13046333217957,-0.901351401363251,0.917673132284692,-0.522228709089993
-0.129521900536578,-0.901351401363251,0.917673132284692,-0.522228709089993
7.55095252176483,-0.901351401363251,-0.629261576423789,-1.51614786509998
-0.128929538710608,1.62243252245385,-0.629261576423789,-1.51614786509998
-0.129911132295199,-0.0600900934242169,-2.17619628513227,-0.522228709089993
-0.130562698537139,1.62243252245385,0.917673132284692,0.471690446919993
-0.131997799675847,-0.0600900934242169,-0.629261576423789,0.471690446919993
NA,NA,NA,NA
-0.130212456554599,1.62243252245385,0.917673132284692,1.46560960292998
-0.130959243172779,-0.901351401363251,0.917673132284692,0.471690446919993
NA,NA,NA,NA
-0.128658937439045,-0.901351401363251,-0.629261576423789,-0.522228709089993
-0.131203453695321,-0.0600900934242169,-0.629261576423789,1.46560960292998
-0.132014087687745,-0.0600900934242169,0.917673132284692,0.471690446919993
-0.131139353851148,-0.901351401363251,-0.629261576423789,0.471690446919993
-0.129575650855569,-0.0600900934242169,-0.629261576423789,0.471690446919993
-0.129102474763869,0.781171214514817,-2.17619628513227,-0.522228709089993
-0.129384598866653,-0.901351401363251,-0.629261576423789,-0.522228709089993
-0.12823094324133,1.62243252245385,-0.629261576423789,1.46560960292998
NA,NA,NA,NA
-0.130792881975611,-0.901351401363251,-0.629261576423789,-0.522228709089993
-0.132012096379138,-0.901351401363251,0.917673132284692,0.471690446919993
NA,NA,NA,NA
NA,NA,NA,NA
-0.129278308072863,-0.0600900934242169,0.917673132284692,1.46560960292998
-0.129655433219284,-0.901351401363251,-0.629261576423789,-1.51614786509998
-0.130787910008064,-0.901351401363251,0.917673132284692,-0.522228709089993
-0.130756359893489,NA,-0.629261576423789,-1.51614786509998
NA,NA,NA,NA
NA,NA,NA,NA
-0.129197553487371,-0.901351401363251,0.917673132284692,-0.522228709089993
-0.131896761894772,-0.901351401363251,-0.629261576423789,-0.522228709089993
NA,NA,NA,NA
NA,NA,NA,NA
