"Variavel","N_Total","N_NA","Pct_NA"
"TX_RESP_Q21b_num",119,30,25.21
"TX_RESP_Q21d_num",119,30,25.21
"TX_RESP_Q21a_num",119,29,24.37
"TX_RESP_Q21c_num",119,29,24.37
"TX_RESP_Q21e_num",119,29,24.37
"TX_RESP_Q19_num",119,29,24.37
"TX_RESP_Q20_num",119,29,24.37
"TX_RESP_Q22d_num",119,26,21.85
"TX_RESP_Q22e_num",119,26,21.85
"TX_RESP_Q10d_num",119,25,21.01
"TX_RESP_Q22b_num",119,25,21.01
"TX_RESP_Q22c_num",119,25,21.01
"TX_RESP_Q22f_num",119,25,21.01
"TX_RESP_Q22g_num",119,25,21.01
"TX_RESP_Q22h_num",119,25,21.01
"TX_RESP_Q23d_num",119,25,21.01
"TX_RESP_Q23e_num",119,25,21.01
"TX_RESP_Q23f_num",119,25,21.01
"TX_RESP_Q23h_num",119,25,21.01
"TX_RESP_Q10a_num",119,24,20.17
"TX_RESP_Q10b_num",119,24,20.17
"TX_RESP_Q10c_num",119,24,20.17
"TX_RESP_Q10e_num",119,24,20.17
"TX_RESP_Q10f_num",119,24,20.17
"TX_RESP_Q22a_num",119,24,20.17
"TX_RESP_Q23a_num",119,24,20.17
"TX_RESP_Q23b_num",119,24,20.17
"TX_RESP_Q23c_num",119,24,20.17
"TX_RESP_Q23g_num",119,24,20.17
"TX_RESP_Q23i_num",119,24,20.17
"TX_RESP_Q01",119,0,0
"TX_RESP_Q02",119,0,0
"TX_RESP_Q03",119,0,0
"TX_RESP_Q04",119,0,0
"TX_RESP_Q05a",119,0,0
"TX_RESP_Q05b",119,0,0
"TX_RESP_Q05c",119,0,0
"TX_RESP_Q06",119,0,0
"TX_RESP_Q07a",119,0,0
"TX_RESP_Q07b",119,0,0
"TX_RESP_Q07c",119,0,0
"TX_RESP_Q07d",119,0,0
"TX_RESP_Q07e",119,0,0
"TX_RESP_Q08",119,0,0
"TX_RESP_Q09",119,0,0
"TX_RESP_Q10a",119,0,0
"TX_RESP_Q10b",119,0,0
"TX_RESP_Q10c",119,0,0
"TX_RESP_Q10d",119,0,0
"TX_RESP_Q10e",119,0,0
"TX_RESP_Q10f",119,0,0
"TX_RESP_Q11a",119,0,0
"TX_RESP_Q11b",119,0,0
"TX_RESP_Q11c",119,0,0
"TX_RESP_Q12a",119,0,0
"TX_RESP_Q12b",119,0,0
"TX_RESP_Q12c",119,0,0
"TX_RESP_Q12d",119,0,0
"TX_RESP_Q12e",119,0,0
"TX_RESP_Q12f",119,0,0
"TX_RESP_Q12g",119,0,0
"TX_RESP_Q13a",119,0,0
"TX_RESP_Q13b",119,0,0
"TX_RESP_Q13c",119,0,0
"TX_RESP_Q13d",119,0,0
"TX_RESP_Q13e",119,0,0
"TX_RESP_Q13f",119,0,0
"TX_RESP_Q13g",119,0,0
"TX_RESP_Q13h",119,0,0
"TX_RESP_Q13i",119,0,0
"TX_RESP_Q14",119,0,0
"TX_RESP_Q15a",119,0,0
"TX_RESP_Q15b",119,0,0
"TX_RESP_Q16",119,0,0
"TX_RESP_Q17",119,0,0
"TX_RESP_Q18",119,0,0
"TX_RESP_Q19",119,0,0
"TX_RESP_Q20",119,0,0
"TX_RESP_Q21a",119,0,0
"TX_RESP_Q21b",119,0,0
"TX_RESP_Q21c",119,0,0
"TX_RESP_Q21d",119,0,0
"TX_RESP_Q21e",119,0,0
"TX_RESP_Q22a",119,0,0
"TX_RESP_Q22b",119,0,0
"TX_RESP_Q22c",119,0,0
"TX_RESP_Q22d",119,0,0
"TX_RESP_Q22e",119,0,0
"TX_RESP_Q22f",119,0,0
"TX_RESP_Q22g",119,0,0
"TX_RESP_Q22h",119,0,0
"TX_RESP_Q23a",119,0,0
"TX_RESP_Q23b",119,0,0
"TX_RESP_Q23c",119,0,0
"TX_RESP_Q23d",119,0,0
"TX_RESP_Q23e",119,0,0
"TX_RESP_Q23f",119,0,0
"TX_RESP_Q23g",119,0,0
"TX_RESP_Q23h",119,0,0
"TX_RESP_Q23i",119,0,0
"TX_RESP_Q24",119,0,0
"TX_RESP_Q25",119,0,0
