"PROFICIENCIA_MT_SAEB","TX_RESP_Q21a_num","TX_RESP_Q21d_num","TX_RESP_Q21e_num","TX_RESP_Q23g_num","TX_RESP_Q23h_num","TX_RESP_Q23i_num"
0.78709907416316,-0.80847391905205,-0.778450803980037,0.619103484619845,-1.21592003785674,1.22714020555329,1.44707190354077
1.67888718533927,1.10246443507098,-0.778450803980037,-1.27462482127615,0.823687767580373,1.22714020555329,0.103362278824341
0.385937674568071,0.146995258009464,-0.778450803980037,0.619103484619845,0.823687767580373,0.126945538505513,0.103362278824341
-0.13863606584589,-0.80847391905205,0.667243546268603,0.619103484619845,0.823687767580373,0.126945538505513,0.103362278824341
NA,NA,NA,NA,NA,NA,NA
0.856098106371256,1.10246443507098,-0.778450803980037,-0.327760668328153,-1.21592003785674,0.126945538505513,0.103362278824341
-0.918432753998535,-1.76394309611356,-0.778450803980037,-2.22148897422415,-1.21592003785674,-2.07344379559004,-1.24034734589208
-1.44365160813527,0.146995258009464,-0.778450803980037,0.619103484619845,-0.196116135138184,1.22714020555329,0.103362278824341
NA,NA,NA,NA,NA,NA,NA
-1.62507147261537,0.146995258009464,-0.778450803980037,0.619103484619845,-1.21592003785674,0.126945538505513,-1.24034734589208
-0.754030037738249,-1.76394309611356,-0.055603628855717,0.619103484619845,-0.196116135138184,-0.973249128542266,-1.24034734589208
-1.512367296896,-1.76394309611356,1.39009072139292,0.619103484619845,-0.196116135138184,-0.973249128542266,0.103362278824341
1.63187506437741,1.10246443507098,-0.778450803980037,-0.327760668328153,0.823687767580373,0.126945538505513,0.103362278824341
NA,NA,NA,NA,NA,NA,NA
-0.794828266573924,0.146995258009464,1.39009072139292,0.619103484619845,0.823687767580373,0.126945538505513,0.103362278824341
0.979120225043763,1.10246443507098,-0.778450803980037,0.619103484619845,1.84349167029893,1.22714020555329,1.44707190354077
-0.95041406025717,-0.80847391905205,1.39009072139292,-2.22148897422415,-1.21592003785674,-0.973249128542266,0.103362278824341
-0.519395912792523,0.146995258009464,-0.055603628855717,0.619103484619845,0.823687767580373,0.126945538505513,0.103362278824341
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
-0.54812125149007,0.146995258009464,-0.778450803980037,0.619103484619845,-1.21592003785674,0.126945538505513,1.44707190354077
0.383474851148404,1.10246443507098,1.39009072139292,-2.22148897422415,-1.21592003785674,1.22714020555329,1.44707190354077
0.730303351119454,0.146995258009464,-0.778450803980037,-0.327760668328153,-1.21592003785674,0.126945538505513,0.103362278824341
-0.403744582821726,0.146995258009464,-0.778450803980037,0.619103484619845,-0.196116135138184,-2.07344379559004,-2.58405697060851
0.319282834458243,0.146995258009464,1.39009072139292,0.619103484619845,0.823687767580373,0.126945538505513,0.103362278824341
NA,NA,NA,NA,NA,NA,NA
-0.181352971683791,1.10246443507098,-0.778450803980037,0.619103484619845,0.823687767580373,0.126945538505513,0.103362278824341
-0.353346092813749,1.10246443507098,1.39009072139292,0.619103484619845,-0.196116135138184,0.126945538505513,0.103362278824341
1.29165753729885,1.10246443507098,-0.778450803980037,-1.27462482127615,-0.196116135138184,0.126945538505513,-1.24034734589208
-0.764956819155745,-0.80847391905205,1.39009072139292,0.619103484619845,-0.196116135138184,-2.07344379559004,-1.24034734589208
NA,NA,NA,NA,NA,NA,NA
1.7732761444646,0.146995258009464,-0.778450803980037,-0.327760668328153,0.823687767580373,0.126945538505513,0.103362278824341
0.0913371444655244,-1.76394309611356,1.39009072139292,0.619103484619845,1.84349167029893,1.22714020555329,1.44707190354077
