"PROFICIENCIA_MT_SAEB","TX_RESP_Q21e_num"
-0.557810991498161,0.633303109540561
NA,NA
0.790979802021194,0.633303109540561
0.440085069217999,0.633303109540561
2.0237627373046,0.633303109540561
1.17693773401934,0.633303109540561
1.35191526344732,-0.668486615626148
-0.17122661020185,-0.668486615626148
NA,NA
-0.335171825770273,-0.668486615626148
-0.461154520412999,-1.97027634079286
-0.885350742266745,0.633303109540561
0.28321809847394,-0.668486615626148
1.07101049346359,0.633303109540561
-1.03887136541419,-1.97027634079286
NA,NA
NA,NA
-0.431307604882017,-0.668486615626148
NA,NA
1.64469160446641,0.633303109540561
-1.00948088757621,-1.97027634079286
0.293499477850994,0.633303109540561
2.2369049144293,0.633303109540561
0.54286138332069,0.633303109540561
-0.224905014445536,0.633303109540561
-0.726221604145395,0.633303109540561
-0.952215188171539,0.633303109540561
0.205159397806077,0.633303109540561
-0.182104982013517,0.633303109540561
-1.5685999621601,0.633303109540561
NA,NA
-0.481552632063932,0.633303109540561
-1.29664203194259,0.633303109540561
NA,NA
2.2065359657994,0.633303109540561
-1.16745754387267,-1.97027634079286
NA,NA
-1.2367474152351,-0.668486615626148
-0.275247776147897,0.633303109540561
-0.356610004191215,-1.97027634079286
-0.594778996023337,0.633303109540561
NA,NA
-0.250556937325628,0.633303109540561
NA,NA
0.0850261417529585,0.633303109540561
1.31085936472149,NA
-0.290212724983388,0.633303109540561
-0.668084508450372,NA
-0.501135578900626,-1.97027634079286
