"PROFICIENCIA_MT_SAEB","TX_RESP_Q10d_num","TX_RESP_Q10e_num","TX_RESP_Q10f_num","TX_RESP_Q21a_num","TX_RESP_Q21c_num","TX_RESP_Q22c_num","TX_RESP_Q22d_num","TX_RESP_Q22g_num","TX_RESP_Q22h_num","TX_RESP_Q20_num"
1.09430316302439,0.333848930444794,0.354245954216038,0,0.258198889747161,0.439435374402041,-0.804367479609613,-0.145643816250884,-0.370479286817474,-1.06472048309074,-0.356753034006338
-1.48447473724903,0.333848930444794,0.354245954216038,0,-1.03279555898864,0.439435374402041,0.11490963994423,-0.145643816250884,-0.370479286817474,-0.0626306166523962,3.21077730605704
1.49036313711893,-1.55796167540904,-2.65684465662029,-1.36930639376292,NA,NA,-0.804367479609613,-1.23797243813251,-1.4819171472699,-1.06472048309074,NA
-1.60836960763218,0.333848930444794,0.354245954216038,1.36930639376292,-1.03279555898864,-1.75774149760816,-0.804367479609613,-0.145643816250884,-0.370479286817474,-0.0626306166523962,1.42701213602535
0.301784306765733,0.333848930444794,0.354245954216038,-1.36930639376292,1.54919333848297,-0.659153061603062,1.03418675949807,0.946684805630745,0.740958573634948,0.939459249785944,-0.356753034006338
0.311437061810213,0.333848930444794,0.354245954216038,0,0.258198889747161,0.439435374402041,1.03418675949807,-0.145643816250884,-0.370479286817474,-0.0626306166523962,-0.356753034006338
-1.87951511094619,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-0.924978459933883,0.333848930444794,0.354245954216038,0,-1.03279555898864,0.439435374402041,1.03418675949807,0.946684805630745,0.740958573634948,0.939459249785944,-0.356753034006338
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0.777704057217748,0.333848930444794,0.354245954216038,-1.36930639376292,0.258198889747161,0.439435374402041,-1.72364459916346,-2.33030106001414,-2.59335500772232,-2.06681034952908,-0.356753034006338
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0.758082941311799,0.333848930444794,0.354245954216038,1.36930639376292,1.54919333848297,0.439435374402041,0.11490963994423,-0.145643816250884,0.740958573634948,-1.06472048309074,-0.356753034006338
0.185179954723098,0.333848930444794,0.354245954216038,0,-1.03279555898864,0.439435374402041,1.03418675949807,0.946684805630745,0.740958573634948,-1.06472048309074,-0.356753034006338
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-0.677920996034494,0.333848930444794,0.354245954216038,NA,-1.03279555898864,0.439435374402041,1.03418675949807,NA,NA,0.939459249785944,-0.356753034006338
0.345451757697695,0.333848930444794,0.354245954216038,0,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0.714553919123126,-3.44977228126288,-2.65684465662029,-1.36930639376292,1.54919333848297,0.439435374402041,-0.804367479609613,-1.23797243813251,-0.370479286817474,-0.0626306166523962,-0.356753034006338
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0.726415595312679,0.333848930444794,0.354245954216038,0,0.258198889747161,0.439435374402041,-1.72364459916346,0.946684805630745,0.740958573634948,0.939459249785944,-0.356753034006338
0.567027973312676,0.333848930444794,0.354245954216038,1.36930639376292,0.258198889747161,0.439435374402041,0.11490963994423,-0.145643816250884,0.740958573634948,0.939459249785944,-0.356753034006338
-0.988494749777539,0.333848930444794,0.354245954216038,0,-1.03279555898864,0.439435374402041,0.11490963994423,0.946684805630745,0.740958573634948,0.939459249785944,-0.356753034006338
0.291449794155229,0.333848930444794,0.354245954216038,1.36930639376292,0.258198889747161,-2.85632993361327,1.03418675949807,0.946684805630745,0.740958573634948,0.939459249785944,-0.356753034006338
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
