"PROFICIENCIA_MT_SAEB","TX_RESP_Q10a_num","TX_RESP_Q10b_num","TX_RESP_Q10c_num","TX_RESP_Q22g_num","TX_RESP_Q22h_num","TX_RESP_Q23b_num","TX_RESP_Q23e_num","TX_RESP_Q23g_num","TX_RESP_Q23h_num","TX_RESP_Q23i_num","TX_RESP_Q19_num"
0.506804357556747,-1.58113883008419,-0.695379487459148,NA,-0.695379487459148,0.291937104060571,-1.14187534798892,-0.75,-0.828176686086141,-0.201893213271812,-1.91292294501069,-0.258198889747161
-0.852535243477971,0,-0.695379487459148,0.378932373372537,0.894059341018905,1.45968552030286,0.519034249085875,0.25,0.19111769678911,-0.201893213271812,-0.521706257730189,3.61478445646026
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1.7064913943383,1.58113883008419,0.894059341018905,0.378932373372537,-0.695379487459148,-0.875811312181713,-1.14187534798892,-1.75,-1.84747106896139,-1.81703891944631,-0.521706257730189,-0.258198889747161
-0.50105654144892,0,0.894059341018905,0.378932373372537,-0.695379487459148,-0.875811312181713,2.17994384616067,1.25,0.19111769678911,1.41325249290268,0.869510429550315,NA
-0.793896409176422,0,-0.695379487459148,0.378932373372537,-0.695379487459148,0.291937104060571,0.519034249085875,0.25,0.19111769678911,-0.201893213271812,0.869510429550315,-0.258198889747161
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-0.269984578167573,-1.58113883008419,-0.695379487459148,0.378932373372537,0.894059341018905,-0.875811312181713,-1.14187534798892,0.25,0.19111769678911,-0.201893213271812,0.869510429550315,-0.258198889747161
0.546600036159502,0,-0.695379487459148,-2.46306042692149,-0.695379487459148,-0.875811312181713,-1.14187534798892,0.25,-0.828176686086141,-0.201893213271812,-0.521706257730189,-0.258198889747161
0.699076070792026,0,0.894059341018905,-2.46306042692149,0.894059341018905,1.45968552030286,0.519034249085875,1.25,1.21041207966436,1.41325249290268,0.869510429550315,-0.258198889747161
1.75888913152253,1.58113883008419,0.894059341018905,0.378932373372537,-0.695379487459148,-0.875811312181713,-1.14187534798892,-1.75,-1.84747106896139,-1.81703891944631,-0.521706257730189,-0.258198889747161
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-1.97179401899269,-1.58113883008419,0.894059341018905,0.378932373372537,0.894059341018905,1.45968552030286,0.519034249085875,1.25,1.21041207966436,1.41325249290268,0.869510429550315,-0.258198889747161
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0.0544047559261183,0,-0.695379487459148,0.378932373372537,0.894059341018905,0.291937104060571,0.519034249085875,0.25,1.21041207966436,-0.201893213271812,-0.521706257730189,-0.258198889747161
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-1.31876940353431,0,-2.2848183159372,0.378932373372537,-0.695379487459148,0.291937104060571,0.519034249085875,-0.75,0.19111769678911,-0.201893213271812,-0.521706257730189,-0.258198889747161
-0.136267428797722,0,0.894059341018905,0.378932373372537,0.894059341018905,0.291937104060571,0.519034249085875,1.25,1.21041207966436,-0.201893213271812,0.869510429550315,-0.258198889747161
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-0.353433390312127,0,0.894059341018905,0.378932373372537,0.894059341018905,0.291937104060571,0.519034249085875,-0.75,0.19111769678911,-0.201893213271812,0.869510429550315,-0.258198889747161
0.279688403208415,1.58113883008419,-0.695379487459148,0.378932373372537,0.894059341018905,0.291937104060571,0.519034249085875,0.25,0.19111769678911,1.41325249290268,0.869510429550315,-0.258198889747161
0.645782864404083,0,0.894059341018905,0.378932373372537,-2.2848183159372,-2.043559728424,-1.14187534798892,-0.75,-0.828176686086141,-0.201893213271812,-1.91292294501069,-0.258198889747161
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
