ID_ESCOLA,TIPO_ESCOLA,MEDIA_MT,MEDIA_LP,INSE_MEDIO,Cluster_MT,Cluster_LP,Cluster_3D
61399476,Pública,299.9901890925926,288.1663182037037,5.1625,1,1,1
61399477,Pública,249.2178401627907,255.1856996046512,4.31953488372093,2,3,3
61399478,Pública,289.7941343030303,294.9440562666667,5.293881578947368,1,1,1
61399479,Pública,285.4570023076923,286.9750891025641,5.12,1,1,1
61399481,Pública,291.14595824031005,283.63214878294576,5.352561983471074,1,1,1
61399485,Pública,276.1498594285714,274.30216676190474,4.560952380952381,2,3,1
61399489,Pública,5427.828258772277,278.1500894950495,4.1838461538461535,3,3,4
61399490,Pública,273.20333607692305,273.3765851538462,4.577692307692308,2,1,1
61399491,Pública,243.3186725957447,226.10114985106384,3.9225,2,3,3
61399492,Pública,280.2391856585366,282.9238456097561,5.1165,1,1,1
61399505,Pública,248.88828815384616,239.88176146153845,4.9152,1,1,1
61399510,Pública,272.2843030895522,281.92116929850744,5.214,1,1,1
61399515,Pública,281.55795926086955,284.4947610869565,4.39304347826087,2,3,3
61399517,Pública,242.38440420689656,262.89846768965515,4.051785714285714,2,3,3
61399521,Pública,258.23323174,267.84085794,4.322444444444445,2,3,3
61399522,Pública,262.1455041515151,262.60942542424243,3.896551724137931,2,3,3
61399524,Pública,271.2532,273.469858175,4.227297297297297,2,3,3
61399530,Pública,271.07346141666665,282.0471752619048,4.894375,1,1,1
61399531,Pública,258.9499005625,273.39501375,4.989375,1,1,1
61399532,Pública,253.21394837931035,244.74068413793103,4.701272727272728,1,1,1
61399536,Pública,278.5234220909091,280.40744102272726,5.324146341463415,1,1,1
61399541,Pública,266.50186474626867,266.02364723880595,5.123548387096775,1,1,1
61399546,Pública,300.5386839591837,300.7670790204082,4.894222222222222,1,1,1
61399548,Pública,262.09567892391306,264.0585747862319,5.226413502109705,1,1,1
61399559,Pública,276.43874666666665,294.1968051153846,5.305068493150685,1,1,1
61399561,Pública,252.39914579069767,254.6097613255814,4.3989473684210525,2,3,3
61399564,Pública,291.039905,302.2788577142857,5.464578313253012,1,1,1
61399565,Pública,3125.998868974359,268.3814174615385,4.926486486486486,3,1,4
61399566,Pública,249.98761815,266.498998275,5.1190625,1,1,1
61399570,Pública,263.93697977419356,251.06448932258064,4.162068965517241,2,3,3
61399572,Pública,268.2777417142857,269.65155757142855,4.7457142857142856,1,1,1
61399575,Pública,226.0082475,246.6637691,4.51,2,3,1
61399576,Pública,284.0121845625,287.8222164375,4.759375,1,1,1
61399577,Pública,263.2205927826087,276.710488,5.0535,1,1,1
61399584,Pública,247.4838,244.18380684210527,3.971111111111111,2,3,3
61399585,Pública,250.23565888,269.98723254,4.459555555555555,2,3,3
61399587,Pública,238.7818598125,231.458094,3.990625,2,3,3
61399591,Pública,276.3389737708333,268.57369489583334,4.855869565217391,1,1,1
61399595,Pública,284.8558235,278.34976895833336,4.95375,1,1,1
61399596,Pública,265.21304539215686,255.26384911764703,4.424318181818181,2,3,3
61399597,Pública,268.66357131395347,269.38925159302323,4.849166666666667,1,1,1
61399599,Pública,272.1465327407407,272.65589553703705,4.990377358490566,1,1,1
61399604,Pública,236.5954225,228.7382897,4.107142857142857,2,3,3
61399605,Pública,271.58856575657893,275.7853874144737,4.6253496503496505,2,1,1
61399610,Pública,257.22160263157895,261.6408492368421,4.488125,2,3,3
61399617,Pública,237.69784083333337,234.8076041666667,4.804285714285714,1,1,1
61399619,Pública,274.4299248,262.446521,5.512857142857143,1,1,1
61399620,Pública,265.99765931818183,267.2248651818182,4.8805,1,1,1
61399621,Pública,273.47898207142856,276.4710690714286,4.282142857142857,2,3,3
61399626,Pública,273.91885443262413,289.92404183687944,5.462265625,1,1,1
61399627,Pública,265.1654990608696,270.41324771304346,5.055794392523365,1,1,1
61399628,Pública,279.97355275949366,4152.512837670886,5.135,1,2,1
61399629,Pública,267.67667015625,299.49626225000003,4.8825806451612905,1,1,1
61399632,Pública,267.4832014390244,276.9125187804878,5.224857142857143,1,1,1
61399633,Pública,255.42392805555556,258.73199177777775,4.317647058823529,2,3,3
61399634,Pública,238.61590508333333,231.70993866666663,3.719,2,3,3
61399640,Pública,298.7106489583333,298.5877762083333,5.26625,1,1,1
61399642,Pública,257.0438903877551,269.15607593877553,5.00734693877551,1,1,1
61399643,Pública,279.59484560869566,296.6527594347826,4.460952380952381,2,3,3
61399648,Pública,289.9928035,293.17370566666665,5.0808333333333335,1,1,1
61399649,Pública,287.74004523255815,288.3674378139535,5.249047619047619,1,1,1
61399652,Pública,276.3908680705882,277.8413473647059,5.136,1,1,1
61399653,Pública,281.87602686363635,290.7164421818182,5.014,1,1,1
61399662,Pública,233.36818423809524,219.4639333809524,3.966818181818182,2,3,3
61399663,Pública,297.1787202643678,298.79134964367813,5.192439024390244,1,1,1
61399664,Pública,246.76897797530864,243.26331271604937,4.184935064935065,2,3,3
61399665,Pública,267.9807884891304,268.79850867391303,5.284331983805668,1,1,1
61399667,Pública,248.0878385,250.4188579072165,4.614673913043478,2,1,1
61399668,Pública,270.85542713793103,278.258703537931,5.242086330935252,1,1,1
61399679,Pública,264.50791873015874,282.77307993650794,4.942741935483871,1,1,1
61399681,Pública,244.6294857254902,241.05382223529412,5.0252,1,1,1
61399683,Pública,11554.71902848276,261.0816822758621,5.081111111111111,4,1,4
61399686,Pública,277.0376406981132,264.02512803773584,4.872391304347826,1,1,1
61399689,Pública,261.65556714285714,270.7916584065934,4.908705882352941,1,1,1
61399692,Pública,280.8632385485714,292.1642394,5.5216071428571425,1,1,1
61399698,Pública,261.9828710952381,290.0069940952381,5.211904761904762,1,1,1
61399849,Pública,2114.594073039216,292.6436363986928,5.494366197183099,3,1,4
61399850,Pública,263.3642566185567,259.2833722886598,5.1011702127659575,1,1,1
61399853,Pública,259.1390163846154,264.57775553846153,3.9515384615384614,2,3,3
61399854,Pública,289.33827180813955,1486.79648927907,4.823030303030303,1,2,1
61399855,Pública,258.52327423076923,248.76706011538465,4.3403846153846155,2,3,3
61399859,Pública,246.77556346666665,256.7335632666667,4.072666666666667,2,3,3
61399861,Pública,269.33123069565215,268.3945737826087,4.26047619047619,2,3,3
61399864,Pública,273.7746924782609,272.9489,4.877727272727273,1,1,1
61399867,Pública,243.22274155555556,259.7550225185185,4.748461538461538,1,1,1
61399871,Pública,264.0897938433735,274.8776960120482,4.993,1,1,1
61399872,Pública,286.697833009009,288.4387908108108,5.1736,1,1,1
61399874,Pública,260.77707689473687,267.3847120526316,4.811891891891892,1,1,1
61399876,Pública,281.1141559127517,285.3638174697987,4.604642857142857,2,1,1
61399877,Pública,248.9067411923077,264.7157770769231,3.796923076923077,2,3,3
61399878,Pública,251.6878607288136,254.51699518644068,4.231698113207547,2,3,3
61399879,Pública,238.59718108333337,231.28751933333336,4.3375,2,3,3
61399887,Pública,244.9668196086957,274.1921225217391,4.715909090909091,1,1,1
61399891,Pública,298.1515815862069,299.2030161724138,5.036428571428572,1,1,1
61399897,Pública,295.93536473684213,288.12950031578947,5.332631578947368,1,1,1
61399904,Pública,1224.0661388416668,293.11210175,5.60695067264574,3,1,4
61399906,Pública,263.07097906666667,273.7557779333333,4.978,1,1,1
61399907,Pública,274.76385853846153,258.13341292307695,4.69923076923077,1,1,1
61399908,Pública,272.94435367391304,6480.251898913043,4.546279069767442,2,2,1
61399912,Pública,273.15905992,253.28305492,5.162,1,1,1
61399913,Pública,285.4583029245283,292.21739873584903,5.057058823529411,1,1,1
61399916,Pública,251.4501162826087,245.61911045652175,4.0543023255813955,2,3,3
61399918,Pública,258.9845923125,267.6360150625,4.398125,2,3,3
61399921,Pública,244.06927589473685,248.460316,3.782631578947369,2,3,3
61399924,Pública,271.88597847761196,274.0241269402985,4.690727272727273,1,1,1
61399927,Pública,261.75854590566036,257.0621867358491,4.837755102040816,1,1,1
61399928,Pública,292.6945050628931,303.60000037735847,5.286751592356688,1,1,1
61399931,Pública,288.1786292,291.81996015,4.957692307692308,1,1,1
61399933,Pública,285.5048469833333,291.23867415,4.899259259259259,1,1,1
61399936,Pública,276.42885142391304,281.07240742391303,5.26978021978022,1,1,1
61399938,Pública,279.8585549148936,280.23724313829786,5.123444444444444,1,1,1
61399939,Pública,283.98629757042255,288.19161242253523,5.456692913385827,1,1,1
61399943,Pública,4961.840443904762,288.4191357238095,4.974368932038835,3,1,4
61399945,Pública,252.5057238551724,256.68090926206895,4.89288,1,1,1
61399948,Pública,301.50698817391304,296.1478696521739,5.007272727272727,1,1,1
61399952,Pública,4941.609094983333,275.05009915,4.997118644067797,3,1,4
61399954,Pública,260.3639305934959,258.7070204715447,5.0557657657657655,1,1,1
61399955,Pública,273.12358225,280.60148596666664,5.007787610619469,1,1,1
61399956,Pública,268.3616616296296,282.93518290123455,4.98025974025974,1,1,1
61399959,Pública,273.3919274109589,280.86550890410956,5.072622950819672,1,1,1
61399960,Pública,252.60957917857144,250.4575788571429,5.102592592592592,1,1,1
61399963,Pública,263.51792277777776,280.82751255555553,4.838235294117647,1,1,1
61399964,Pública,247.9233063974359,249.5758807948718,4.103243243243243,2,3,3
61399965,Pública,271.5652343333333,268.2100102,5.198,1,1,1
61399966,Pública,282.4993854375,272.7917795,4.53875,2,3,1
61399967,Pública,262.3852437701149,264.93344298850576,4.2943373493975905,2,3,3
61399969,Pública,251.2985954736842,267.833842,4.58235294117647,2,1,1
61399978,Pública,238.98607303225808,248.90766774193548,4.693225806451613,1,1,1
61399982,Pública,260.5025472777778,272.29960466666665,5.037222222222222,1,1,1
61399988,Pública,276.4772592173913,277.82247569565214,4.3113636363636365,2,3,3
61400001,Pública,6682.036732379311,252.49016503448277,4.8612,3,1,4
61400006,Pública,224.08415888888888,227.34879822222223,3.5633333333333335,2,3,3
61400009,Pública,287.51742509090906,285.6674636363636,4.889090909090909,1,1,1
61400015,Pública,262.81915148,274.54552744,4.81625,1,1,1
61400023,Pública,275.32524102564105,277.1328603333333,4.907435897435898,1,1,1
61400033,Pública,288.3707660714286,278.5371254285714,4.505714285714285,2,3,1
61400039,Pública,249.49514214814815,248.7972648888889,4.7736,1,1,1
61400066,Pública,248.441851,232.18179347058825,3.777058823529411,2,3,3
61400070,Pública,218.82609111764705,202.72283105882352,5.042857142857143,1,1,1
61400084,Pública,309.12136378571427,307.8501864285714,5.217142857142857,1,1,1
61400085,Pública,270.21735877027027,286.53999831756755,5.320714285714286,1,1,1
61400087,Pública,266.43739275,262.7590886,3.983,2,3,3
61400149,NA,338.5330536470588,319.0054557647059,6.41235294117647,1,1,1
61400151,Pública,254.9808349,273.820621,4.171,2,3,3
61400152,Pública,284.1713592631579,292.128768,4.868888888888889,1,1,1
61400166,Pública,236.7820391219512,239.86392134146345,4.764571428571428,1,1,1
61400172,Pública,285.3969279444444,287.64005927777777,5.0088888888888885,1,1,1
61400177,Pública,257.9522554,254.3710554,4.411,2,3,3
61400179,Pública,282.1520618,289.4927578,4.830416666666666,1,1,1
61400449,NA,319.91054164444444,311.30712882222224,5.954545454545455,1,1,1
61400454,Pública,271.4663762777778,260.60994703333336,4.639058823529412,2,1,1
61400483,Pública,345.2073232173913,328.1342616521739,5.7975,1,1,1
61400493,Pública,238.4803971923077,241.10885176923077,4.6125,2,1,1
61405112,Pública,2154.159393298387,277.4760204193548,5.329752066115702,3,1,4
61405119,Pública,242.04496908333337,252.9498404375,5.003255813953488,1,1,1
61405124,NA,315.73668395238093,308.9335975238095,6.0895,1,1,1
61405125,Pública,257.69829434615383,261.9731457788462,5.119152542372881,1,1,1
61405126,Pública,267.42778213043476,270.82218489130435,5.141951219512195,1,1,1
61405127,Pública,269.7484958472222,280.177947125,5.091527777777777,1,1,1
61405129,Pública,275.7443779551282,286.32252303846155,5.306858974358974,1,1,1
61405579,Pública,285.8299326,287.6801074666667,5.069333333333334,1,1,1
61405581,Pública,271.2712104819277,280.1832479036145,4.83078947368421,1,1,1
61405582,Pública,269.9840589223301,282.3919945048544,5.310681818181818,1,1,1
61405584,Pública,253.7653324318182,254.10460803409092,4.622125,2,1,1
61405589,Pública,257.01782169924815,255.11443187969925,5.056016260162601,1,1,1
61405590,Pública,258.49558859183674,260.45387581632656,4.242083333333333,2,3,3
61405591,Pública,342.7129418,330.6136077,5.623684210526315,1,1,1
61405592,Pública,309.35477734375,295.4317184375,4.845833333333333,1,1,1
61405597,Pública,270.9212005526316,278.85367,4.560555555555555,2,3,1
61405599,Pública,267.73263580555556,268.84857025,4.603714285714286,2,1,1
61405603,Pública,270.32357939130435,272.91561173913044,5.044761904761905,1,1,1
61405604,Pública,285.74554006349206,281.25165335449736,5.388901098901099,1,1,1
61405610,Pública,260.3325787882353,254.25709917647055,4.258181818181818,2,3,3
61405611,Pública,304.5099189833333,309.10904475,6.0060714285714285,1,1,1
61405613,Pública,270.55571315116276,280.36672913953487,4.975542168674699,1,1,1
61405615,Pública,294.05357833333335,274.1696846666667,4.28,2,3,3
61405616,Pública,6524.113158864865,269.60613083783784,4.264722222222222,3,3,4
61405619,Pública,248.87281985714284,258.9350404285714,4.5,2,3,1
61405620,Pública,269.0830241935484,269.6377806129032,5.087962962962963,1,1,1
61405623,Pública,255.640278375,255.7512508125,5.054166666666666,1,1,1
61405626,Pública,275.4116281641791,284.6084344179105,5.186229508196721,1,1,1
61405627,NA,350.4248811904762,318.66592526190476,6.578536585365853,1,1,1
61405628,Pública,285.5314537272727,273.6404923181818,4.658695652173913,1,1,1
61405629,Pública,254.61792865,240.6068903,4.602941176470589,2,1,1
61405632,Pública,272.9066032857143,285.39889080952383,5.101428571428571,1,1,1
61405637,Pública,260.4706852727273,252.51781718181817,4.431818181818182,2,3,3
61405640,Pública,264.95001689130436,271.99228110869564,5.022235294117647,1,1,1
61405641,Pública,300.95662095454543,290.8126853863636,5.2102272727272725,1,1,1
61405642,Pública,253.80088528220855,257.3961220613497,5.270125,1,1,1
61405646,Pública,280.92986241666665,271.476718,4.403333333333333,2,3,3
61405649,Pública,265.90409973333334,263.0109929,4.733,1,1,1
61405650,Pública,251.499763,263.099414,4.8566666666666665,1,1,1
61405652,Pública,261.6780571666667,266.17633957692306,5.144805194805195,1,1,1
61405653,Pública,287.6157193030303,280.8894348787879,4.8539393939393944,1,1,1
61405654,Pública,4463.170893677419,265.5627831451613,4.5986666666666665,3,1,4
61405655,Pública,261.23290846153844,236.49864126923077,4.457916666666667,2,3,3
61405656,Pública,264.3571529,264.2213436,4.965625,1,1,1
61405661,Pública,259.5311155753425,260.63548642465753,5.00530303030303,1,1,1
61405666,Pública,245.12247945454544,257.35624645454544,4.61,2,1,1
61405673,Pública,269.508201,276.8893159,4.625517241379311,2,1,1
61405675,Pública,250.21557236666663,234.92221126666664,4.615862068965517,2,1,1
61405681,Pública,267.5889345875,270.499098,5.474428571428572,1,1,1
61405684,Pública,275.6602359166667,279.4476530833333,5.179166666666666,1,1,1
61405693,Pública,252.34816905882352,224.5654276470588,4.765625,1,1,1
61405698,Pública,244.45028613333332,233.3436578,4.8,1,1,1
61405699,Pública,407.287361516129,4292.943749827957,5.805747126436781,1,2,1
61405706,Pública,271.9605281147541,272.5866627377049,4.754166666666666,1,1,1
61405709,Pública,3408.054337296703,292.37112673626376,5.159,3,1,4
61405719,Pública,267.59970104545454,257.9814585909091,4.7655,1,1,1
61405725,Pública,285.8235423333333,292.4744897333333,4.859230769230769,1,1,1
61405726,Pública,279.93585854285715,289.6580322,4.809833333333334,1,1,1
61406176,Pública,279.5683142,284.1693639,4.254,2,3,3
61406180,Pública,254.62042715,246.58657515,4.661052631578947,1,1,1
61406181,Pública,309.7847408888889,287.8329243333333,5.056666666666667,1,1,1
61406217,Pública,251.89834206349207,5225.969465198413,4.464700854700855,2,2,1
61406230,Pública,247.1421284772727,259.75299820454546,4.876585365853659,1,1,1
61406232,Pública,306.50506215584414,306.33567206493507,5.365405405405405,1,1,1
61406234,Pública,276.15797565957445,289.42599089361704,5.2515217391304345,1,1,1
61406236,Pública,296.6147969333333,299.19483346666664,4.881428571428572,1,1,1
61406261,NA,330.6790378636364,301.3643014090909,6.131428571428572,1,1,1
61407965,Pública,282.2661695576923,285.0267907307692,4.903921568627451,1,1,1
61407966,Pública,278.7822698,272.18005089999997,4.558,2,3,1
61407967,Pública,243.76773836363637,244.4663604090909,4.2675,2,3,3
61407971,Pública,258.0638826181818,268.62779467272725,3.986923076923077,2,3,3
61407972,Pública,255.40798175,255.61048145833337,3.9491666666666663,2,3,3
61407973,Pública,270.9982002702703,258.25732686486487,4.207567567567567,2,3,3
61407976,Pública,251.014314875,254.8186130625,3.899230769230769,2,3,3
61407981,Pública,3554.875528131579,288.2741906052632,5.294266666666666,3,1,4
61407982,Pública,253.85747723076923,264.2291480769231,4.2056,2,3,3
61407986,Pública,276.9957591785714,282.4310395,5.372142857142857,1,1,1
61407991,Pública,248.43040841052633,253.1994668,4.91875,1,1,1
61407992,Pública,270.430439625,275.030990625,4.21875,2,3,3
61407994,Pública,264.315234625,281.1148541875,5.240333333333333,1,1,1
61407998,Pública,277.01942373972605,276.5807305342466,5.012714285714286,1,1,1
61407999,Pública,249.72280257894735,267.22850210526315,4.412105263157895,2,3,3
61408001,Pública,248.38848324324323,259.67940948648646,4.328805970149253,2,3,3
61408006,Pública,250.73544825,260.6002666666667,4.534318181818182,2,3,1
61408008,Pública,259.468565037037,261.09660714814817,4.28875,2,3,3
61408010,Pública,265.7724938,257.044202,5.105714285714286,1,1,1
61408012,Pública,257.2015545918367,256.2631237755102,4.792340425531915,1,1,1
61408013,Pública,278.2613847865168,290.64594570786517,5.002941176470588,1,1,1
61408016,Pública,265.33568269230767,250.37879323076925,4.5175,2,3,1
61408017,Pública,260.4126686304348,256.13922582608694,5.004482758620689,1,1,1
61408020,Pública,257.0972602753623,257.7961533478261,4.886,1,1,1
61408023,Pública,271.983993575,275.984994125,5.151315789473684,1,1,1
61408024,Pública,265.5567405625,294.200381875,5.0024999999999995,1,1,1
61408026,Pública,267.09476303030306,279.3750786060606,5.056363636363637,1,1,1
61408029,Pública,263.89942954878046,262.7202387317073,5.155857142857143,1,1,1
61408038,Pública,286.70564743478263,288.91824423913044,4.676086956521739,1,1,1
61408039,Pública,259.4667515,268.1096774117647,3.726166666666667,2,3,3
61408042,NA,286.20044375,306.81220525000003,5.57625,1,1,1
61408045,NA,338.56898588235293,309.5767062352941,6.155384615384615,1,1,1
61408051,Pública,281.50450154761904,289.3326907142857,4.91051282051282,1,1,1
61408053,Pública,274.1515685806452,279.8879488064516,5.1087096774193546,1,1,1
61408067,Pública,273.7029194,273.9009463857143,4.516307692307692,2,3,1
61408071,Pública,322.3330513076923,301.83256334615385,5.30304347826087,1,1,1
61408077,Pública,255.6962632242424,276.542631,4.9574522292993635,1,1,1
61408083,Pública,248.43430178260869,250.22107469565216,4.1040909090909095,2,3,3
61408565,Pública,335.8462321,338.02556925,6.087,1,1,1
61408566,NA,329.16900564285714,334.5994642857143,6.0825,1,1,1
61408573,NA,376.8770702272727,328.2736528181818,6.465,1,1,1
61408574,Pública,242.11484545652175,250.0753239347826,4.356578947368421,2,3,3
61412109,Pública,284.1054873539823,294.37988673451326,5.456576576576577,1,1,1
61412116,Pública,263.22298486046515,277.03007318604654,4.967560975609756,1,1,1
61412117,Pública,257.76863218032787,262.18110883606556,5.018518518518518,1,1,1
61412119,Pública,236.5479044117647,230.9255644117647,4.304705882352941,2,3,3
61412121,Pública,263.880714125,266.345475125,4.670833333333333,1,1,1
61412122,Pública,270.63798941758245,275.71074436263734,5.112555555555556,1,1,1
61412123,Pública,260.0000267777778,258.37391474603174,5.127096774193548,1,1,1
61412125,Pública,286.4012615144124,286.93692811308205,5.635837438423645,1,1,1
61412126,Pública,258.41732766233764,277.3536253896104,4.984109589041096,1,1,1
61412127,Pública,275.19690035555556,282.0213756148148,5.1847619047619045,1,1,1
61412133,Pública,240.20444234920635,250.4282467142857,4.865245901639344,1,1,1
61412134,Pública,246.99164924137932,238.84572189655177,4.648,1,1,1
61412137,Pública,273.1849232222222,276.00680955555555,5.127777777777777,1,1,1
61412138,Pública,300.0238570697674,296.4319769147287,5.518548387096774,1,1,1
61412145,Pública,253.20387164102564,245.6176162820513,4.265384615384615,2,3,3
61412146,Pública,263.88096689285715,271.84765275,4.708679245283019,1,1,1
61412147,Pública,281.07917525581394,281.4433373023256,4.620987654320988,2,1,1
61412148,Pública,255.46203324242424,267.788072969697,4.676428571428572,1,1,1
61412150,Pública,259.7653440294118,274.4680218235294,4.85875,1,1,1
61412151,Pública,270.7230772191781,256.2621949863014,4.08,2,3,3
61412153,Pública,277.4768240967742,289.73596551612906,4.981,1,1,1
61412154,Pública,265.0854762,265.7209746909091,4.5,2,3,1
61412157,Pública,295.2181734545455,302.53664063636364,4.9781818181818185,1,1,1
61412162,Pública,267.95155954761907,274.97691083333336,4.528205128205128,2,3,1
61412163,Pública,271.0852590588235,283.1325753235294,5.162539682539682,1,1,1
61412165,Pública,267.5854806666667,272.06162575,4.921818181818182,1,1,1
61412167,Pública,2347.2711817674417,273.1303113604651,4.333023255813954,3,3,4
61412168,Pública,260.440872625,249.31057945833336,4.356739130434782,2,3,3
61412169,Pública,269.233507,274.5172766,4.9185,1,1,1
61412173,Pública,251.1187505909091,245.4388435,4.588181818181818,2,1,1
61412175,Pública,248.94401267857145,248.5877023571429,4.568518518518519,2,3,1
61412178,Pública,276.85127995348836,288.97394139534885,4.6902380952380955,1,1,1
61412181,Pública,282.48259736421727,293.0034938115016,5.148299319727891,1,1,1
61412182,Pública,298.15674233333334,299.1093882857143,5.2299999999999995,1,1,1
61412187,Pública,254.42167868888887,250.93797906666663,4.5975,2,1,1
61412188,Pública,247.3383673125,18049.616617125,4.8275,1,4,2
61412190,Pública,275.48133516883115,266.9539761168831,4.863888888888889,1,1,1
61412193,Pública,255.08645183333337,250.188762,4.5627272727272725,2,3,1
61412194,Pública,252.63449966666667,265.97211893939397,4.255483870967742,2,3,3
61412196,Pública,5441.117574540984,297.233063295082,5.303214285714286,3,1,4
61412200,Pública,253.18520675,262.3530611214286,4.86796992481203,1,1,1
61412201,Pública,268.05507067857144,265.17092853571427,5.123793103448276,1,1,1
61412202,Pública,250.8180855,249.60701954545453,3.896944444444444,2,3,3
61412203,Pública,219.504031,215.952522,4.451111111111111,2,3,3
61412204,Pública,258.76852752325584,269.2262053837209,4.475903614457831,2,3,3
61412207,Pública,267.53520233333336,270.8733998888889,4.091111111111111,2,3,3
61412209,Pública,255.1009385882353,282.40071911764704,4.390588235294118,2,3,3
61412210,Pública,4350.331534439394,285.0493936818182,5.24625,3,1,4
61412808,Pública,251.88806985714285,250.27557466666667,5.16609756097561,1,1,1
61412812,Pública,274.35686918348625,270.5169898440367,5.218073394495413,1,1,1
61412815,Pública,272.5523119545455,281.1103496704545,5.178915662650603,1,1,1
61412817,Pública,290.8295852727273,278.4542385909091,4.879302325581396,1,1,1
61412819,Pública,268.61739776595743,289.531460606383,5.492555555555556,1,1,1
61412820,Pública,260.2346972580645,266.9699743548387,4.985636363636363,1,1,1
61412821,Pública,269.6134611690141,265.01719774647887,4.694857142857143,1,1,1
61412822,Pública,262.13189963157896,274.38422236842104,5.060588235294118,1,1,1
61412823,Pública,279.68913098245616,287.65319880701753,5.205045871559633,1,1,1
61412824,Pública,288.89144370149256,291.9126483880597,4.654545454545454,1,1,1
61412830,Pública,287.4973102631579,290.86329673684213,5.353428571428571,1,1,1
61412831,Pública,262.95228264705884,258.0463335588235,5.153787878787878,1,1,1
61412832,Pública,287.42413984210526,289.0926655263158,3.83578947368421,2,3,3
61412833,Pública,293.31239914925374,284.62045795522386,4.895846153846154,1,1,1
61412835,Pública,294.82581572972975,299.7955514864865,4.619189189189189,2,1,1
61412841,Pública,261.79519127272727,255.14381736363637,4.507,2,3,1
61412853,Pública,290.7366651666667,289.71572008333334,5.125454545454546,1,1,1
61412857,Pública,271.51926476923074,287.7729978076923,4.5426,2,3,1
61412861,Pública,265.6588202105263,277.89725357894736,5.070526315789474,1,1,1
61412864,Pública,256.5046110769231,261.1347826153846,4.8368,1,1,1
61412867,Pública,267.54342839285715,286.091476,5.0667857142857144,1,1,1
61412869,Pública,267.88294523376624,283.0140033506494,5.153013698630137,1,1,1
61412870,Pública,252.03217825,263.91808141666667,4.4738235294117645,2,3,3
