ID_ESCOLA,TIPO_ESCOLA,MEDIA_MT,MEDIA_LP,INSE_MEDIO,Cluster_MT,Cluster_LP,Cluster_3D
61399103,Pública,259.809121925,273.29089055833333,5.3542056074766355,1,1,1
61399357,Pública,252.46871497,252.46974584,4.941931818181819,1,1,1
61399370,Pública,250.03962204065041,250.71828894308945,4.971372549019608,1,1,1
61399373,Pública,272.26271961344537,284.66171416806725,5.12036036036036,1,1,1
61399376,Pública,249.52619988235293,259.8228709117647,5.216470588235294,1,1,1
61399380,Pública,274.5667086078431,280.6555293137255,5.234555555555556,1,1,1
61399383,Pública,269.59602590909094,9253.963166515152,4.8440625,1,2,2
61399385,NA,334.9241422380952,325.4551498571429,5.754705882352941,1,1,1
61399386,Pública,277.32917158888887,284.59166552222223,4.9626582278481015,1,1,1
61399388,Pública,273.9624095612245,282.9918588061225,5.197252747252747,1,1,1
61399389,Pública,249.1732903611111,262.39909172222224,4.050285714285715,2,3,3
61399391,Pública,252.778191,250.8521098,5.442222222222222,1,1,1
61399395,Pública,281.54782360377357,281.1416983018868,4.709411764705882,1,1,1
61399396,Pública,3818.3954398571423,274.88099714285715,5.035113636363636,3,1,4
61399397,Pública,256.4460964642857,260.7868663214286,4.019166666666667,2,3,3
61399398,Pública,262.559272877193,262.7264126842105,4.032678571428572,2,3,3
61399399,Pública,237.9965523846154,237.87022223076923,4.1054545454545455,2,3,3
61399418,Pública,358.2111632149533,346.7233412990654,5.569809523809524,1,1,1
61399423,Pública,270.95215248,295.53566118,5.402564102564103,1,1,1
61399426,Pública,274.35055505945945,281.9128906972973,5.3192405063291135,1,1,1
61399427,Pública,287.4557398190476,3635.0673442666666,5.35,1,2,1
61399428,Pública,269.031339744186,273.05917913023256,5.175837563451776,1,1,1
61399429,Pública,251.62898804081632,255.98381277551024,4.625,2,1,1
61399431,Pública,262.6398206617647,4494.353280205883,4.9349253731343286,1,2,1
61399433,Pública,262.86141881818185,278.3341112727273,4.073,2,3,3
61399435,Pública,238.65305933333337,225.16506883333335,4.325,2,3,3
61399436,Pública,261.31695145454546,1853.120429117647,5.1336,1,2,1
61399443,Pública,271.7995153333333,287.41299891666665,5.122083333333333,1,1,1
61399444,Pública,270.10030196,272.67724204,4.8738947368421055,1,1,1
61399445,Pública,269.35952071428574,271.61036269387756,4.369583333333333,2,3,3
61399447,Pública,283.63180945,284.9685372,5.016842105263158,1,1,1
61399450,Pública,313.27431046478875,328.6752466478873,5.277142857142858,1,1,1
61399451,Pública,277.3420120755814,270.62673087209305,4.903614457831325,1,1,1
61399452,Pública,260.0574380333333,283.9857927333333,4.754074074074074,1,1,1
61399455,Pública,268.94402444444444,237.16638977777777,3.996470588235294,2,3,3
61399456,Pública,270.9925652142857,278.9550451190476,4.543414634146342,2,3,1
61399457,Pública,259.3987905,266.4323743125,4.346046511627907,2,3,3
61399458,Pública,252.7065919230769,259.4874973846154,4.789090909090909,1,1,1
61399459,Pública,271.7767747435897,277.2733598461538,4.124615384615384,2,3,3
61399460,Pública,251.13443225,254.6637425227273,4.50452380952381,2,3,1
61399461,Pública,269.5397746666667,267.28264711111115,4.147777777777778,2,3,3
61399462,Pública,283.226946125,282.223415375,4.28875,2,3,3
61399467,Pública,259.125241125,259.6383367875,4.549350649350649,2,3,1
61399472,Pública,256.3820976727273,6127.714436436364,4.488333333333333,2,2,1
61399474,Pública,267.9942133809524,271.4155813809524,4.786666666666667,1,1,1
61399475,Pública,282.68900833333333,270.7198134166667,4.548333333333333,2,3,1
