"PROFICIENCIA_MT_SAEB","TX_RESP_Q22a_num","TX_RESP_Q23g_num"
-1.09079086632652,-0.567874609822954,-0.388223779989432
1.15373411636764,-0.567874609822954,-0.388223779989432
0.322390497240145,-0.567874609822954,-1.81171097328401
-0.905503595237313,-0.567874609822954,1.03526341330515
-0.882311885420219,-0.567874609822954,-0.388223779989432
0.990063896985117,0.681449531787545,-0.388223779989432
NA,NA,NA
-0.598053769962835,0.681449531787545,1.03526341330515
-0.245393984741367,0.681449531787545,1.03526341330515
0.579605892660499,0.681449531787545,-0.388223779989432
-1.03292654249791,NA,NA
-2.32135799303176,0.681449531787545,1.03526341330515
0.286891480070764,0.681449531787545,-0.388223779989432
-0.774543655364762,0.681449531787545,1.03526341330515
-1.27261778757411,0.681449531787545,-0.388223779989432
-0.118941693569417,0.681449531787545,1.03526341330515
-0.0347287896452066,0.681449531787545,-0.388223779989432
0.900229994541396,-0.567874609822954,1.03526341330515
0.524602406073924,-0.567874609822954,-0.388223779989432
0.693931206085021,0.681449531787545,-1.81171097328401
1.7560049147814,-1.81719875143345,-1.81171097328401
1.4815719132155,-3.06652289304395,1.03526341330515
-0.0603065601462763,0.681449531787545,1.03526341330515
0.648450805496277,0.681449531787545,-0.388223779989432
NA,NA,NA
NA,NA,NA
