Termo,Item,Categoria,Coef,SE,t_value,p_valor,Sig,IC_95_inf,IC_95_sup
(Intercept),NA,NA,293.6807769735741,15.913980630505346,18.454262562731817,9.321871619711478e-71,***,262.4893749377836,324.8721790093646
TX_RESP_Q21a_D,TX_RESP_Q21a,D,50.392121556135656,5.109720263840223,9.862011803805348,1.7893538412420196e-22,***,40.37706983900882,60.407173273262494
TX_RESP_Q23d_C,TX_RESP_Q23d,C,-30.175194479544615,4.267039018924799,-7.071694058974907,2.0552796488284266e-12,***,-38.53859095663722,-21.811798002452008
TX_RESP_Q24_B,TX_RESP_Q24,B,-42.36086119661201,6.491692030468128,-6.525395998115037,8.414180924102671e-11,***,-55.084577576329536,-29.637144816894477
TX_RESP_Q23d_D,TX_RESP_Q23d,D,-36.73465031713503,6.962268313448162,-5.276247433064192,1.449570699304284e-7,***,-50.38069621149343,-23.08860442277663
TX_RESP_Q10a_C,TX_RESP_Q10a,C,-20.100822221634832,4.043266240534692,-4.9714317647745725,7.166154252865401e-7,***,-28.02562405308283,-12.176020390186837
TX_RESP_Q25_B,TX_RESP_Q25,B,-17.425992702482834,3.5154743487297506,-4.956939227498384,7.715204942674859e-7,***,-24.316322425993143,-10.535662978972523
TX_RESP_Q10d_C,TX_RESP_Q10d,C,-24.334455535449894,4.954979362359787,-4.911111380262281,9.731295043025084e-7,***,-34.04621508567508,-14.622695985224711
TX_RESP_Q01_B,TX_RESP_Q01,B,-13.61080872515271,2.794094672912101,-4.871276860124092,1.188821894486424e-6,***,-19.08723428406043,-8.13438316624499
TX_RESP_Q23d_B,TX_RESP_Q23d,B,-16.748326904064974,3.6952537314879446,-4.532388875315751,6.148811194133197e-6,***,-23.991024217781344,-9.505629590348605
TX_RESP_Q21a_C,TX_RESP_Q21a,C,15.43973286915005,3.4145265818086035,4.521778495270038,6.462258403910788e-6,***,8.747260768805187,22.132204969494914
TX_RESP_Q19_B,TX_RESP_Q19,B,-17.82588323717017,4.028132479203022,-4.425346814982876,1.0105098753539489e-5,***,-25.721022896408094,-9.930743577932247
TX_RESP_Q12b_C,TX_RESP_Q12b,C,20.805409010116904,4.816785628576335,4.319355398896217,1.6353005600711925e-5,***,11.364509178107287,30.24630884212652
TX_RESP_Q23b_C,TX_RESP_Q23b,C,24.09529136670135,5.605020861163798,4.2988763045742395,1.7925275587727862e-5,***,13.109450478820307,35.08113225458239
TX_RESP_Q24_C,TX_RESP_Q24,C,-23.116809789491384,5.637243891358554,-4.100729050401316,4.2701559283131854e-5,***,-34.16580781655415,-12.067811762428619
TX_RESP_Q23b_D,TX_RESP_Q23b,D,35.90406637731731,8.898933366731129,4.034648299710334,5.6575696745166946e-5,***,18.462156978524295,53.34597577611032
TX_RESP_Q10f_C,TX_RESP_Q10f,C,10.891623840684161,2.707313261135067,4.023037894077224,5.94176704379274e-5,***,5.58528984885943,16.19795783250889
TX_RESP_Q04_C,TX_RESP_Q04,C,-8.85321568556731,2.2207962692016707,-3.9865051145595873,6.926863894018497e-5,***,-13.205976373202585,-4.500454997932035
TX_RESP_Q21d_C,TX_RESP_Q21d,C,-21.616328764486678,5.5779159802806255,-3.875341407239906,1.0963166455376554e-4,***,-32.549044085836705,-10.683613443136652
TX_RESP_Q16_C,TX_RESP_Q16,C,13.293116559908386,3.4379903586432965,3.866536893126754,1.1363593100741204e-4,***,6.554655456967525,20.031577662849248
TX_RESP_Q10d_B,TX_RESP_Q10d,B,-19.583621567230242,5.080133220288277,-3.854942521786653,1.1911988248820271e-4,***,-29.540682678995267,-9.626560455465219
TX_RESP_Q21d_D,TX_RESP_Q21d,D,-7.979461389576628,2.111150710770352,-3.7796739706304283,1.6126594812641381e-4,***,-12.117316782686519,-3.841605996466738
TX_RESP_Q10b_C,TX_RESP_Q10b,C,17.877909184995328,4.773104191973336,3.74555183921181,1.8468428228348192e-4,***,8.52262496872759,27.233193401263065
TX_RESP_Q09_E,TX_RESP_Q09,E,25.375180537798453,6.855920572620536,3.701206901249048,2.1991645136413987e-4,***,11.937576215462203,38.812784860134705
TX_RESP_Q13a_B,TX_RESP_Q13a,B,-10.214289248815529,2.7979123231107974,-3.6506823907401773,2.6772322258841974e-4,***,-15.698197402112692,-4.730381095518366
TX_RESP_Q23b_B,TX_RESP_Q23b,B,17.632989091896846,5.018986186588008,3.5132571472335634,4.516968199913493e-4,***,7.79577616618435,27.470202017609342
TX_RESP_Q02_D,TX_RESP_Q02,D,22.12331229188435,6.357762224817858,3.4797325709232787,5.118108058756493e-4,***,9.66209833124135,34.584526252527354
TX_RESP_Q10b_B,TX_RESP_Q10b,B,15.067150344320885,4.342042608984803,3.4700604533781116,5.304941828753591e-4,***,6.55674683071067,23.5775538579311
TX_RESP_Q04_B,TX_RESP_Q04,B,-10.084443265831135,3.0316400150549874,-3.326398654112047,8.944145623331942e-4,***,-16.026457695338912,-4.14242883632336
TX_RESP_Q12c_B,TX_RESP_Q12c,B,-21.91520564879836,6.705057976577467,-3.268458785196779,0.0010982210119064601,**,-35.0571192828902,-8.773292014706524
TX_RESP_Q10a_B,TX_RESP_Q10a,B,-9.602479920568634,2.9404472238757573,-3.2656528716443876,0.0011091058791234496,**,-15.365756479365118,-3.8392033617721495
