"PROFICIENCIA_LP_SAEB","TX_RESP_Q21a_num"
-1.62699724335339,-0.31021927137571
-0.0611890114656147,-0.31021927137571
-0.381806725941448,-0.31021927137571
0.151558681448382,-0.31021927137571
NA,NA
0.533002522455288,NA
-0.733079994941771,-0.31021927137571
-0.46911348480535,-0.31021927137571
NA,NA
-1.36337032141443,NA
0.0315023983873078,-1.66538766738539
-0.451189947272802,-0.31021927137571
1.12679263177534,1.04494912463397
0.665837475514556,-0.31021927137571
1.14329269136328,-0.31021927137571
-0.384088390760848,1.04494912463397
-0.813869393819817,NA
-1.69682962541356,-1.66538766738539
0.726377165584712,-0.31021927137571
-1.64685202629073,NA
NA,-0.31021927137571
NA,NA
-0.0261925414232997,2.40011752064365
NA,NA
-0.801142812129574,-0.31021927137571
NA,NA
0.0819508797526227,-0.31021927137571
NA,NA
-1.06534148448241,-0.31021927137571
-1.0212953552699,-0.31021927137571
-0.39072511075974,-0.31021927137571
NA,NA
-0.427790599289041,-1.66538766738539
NA,NA
NA,NA
-0.260778311601126,-0.31021927137571
NA,NA
-2.1686289569026,-0.31021927137571
-0.820097067979611,-0.31021927137571
0.162004681440941,-0.31021927137571
0.143367228846095,-0.31021927137571
0.126671852873191,2.40011752064365
-1.25639866069646,-1.66538766738539
0.513328935934376,-1.66538766738539
NA,NA
-0.380843279329046,-0.31021927137571
-0.450444562601391,-0.31021927137571
0.627874709263102,2.40011752064365
0.841104135329862,-0.31021927137571
0.592270647324696,1.04494912463397
1.23872363112438,-0.31021927137571
-0.136973501828056,-0.31021927137571
0.00625644603753663,NA
-0.648365205422169,1.04494912463397
2.07860444917628,2.40011752064365
0.00471689683127794,-0.31021927137571
0.715301891568632,1.04494912463397
1.69821627767256,1.04494912463397
0.825710711045102,2.40011752064365
1.25578573241699,1.04494912463397
-0.957613607875878,1.04494912463397
-1.36554676588246,-0.31021927137571
0.56996495687665,-0.31021927137571
1.84040465631039,-0.31021927137571
-1.23503688128369,-0.31021927137571
0.856186152274885,1.04494912463397
0.793498237980664,-1.66538766738539
0.813551566974992,-0.31021927137571
0.375877481806643,-0.31021927137571
-0.838467619690662,-0.31021927137571
-1.19935036424306,-1.66538766738539
-0.834382734453233,-0.31021927137571
0.85699878895826,-0.31021927137571
-0.4698631822705,NA
NA,-0.31021927137571
1.36218343709142,-0.31021927137571
NA,NA
2.26563857655629,2.40011752064365
0.617364686930603,1.04494912463397
-0.428388423396571,-0.31021927137571
NA,NA
-0.950896618711315,-0.31021927137571
-0.20150260487971,-0.31021927137571
-0.373098840905262,-0.31021927137571
NA,NA
-1.2843526733453,-1.66538766738539
-0.0115086800208551,-1.66538766738539
2.02829049152801,1.04494912463397
0.109555536415442,1.04494912463397
-1.00863387904131,1.04494912463397
0.11539803280012,-0.31021927137571
NA,NA
-0.721978666925157,-0.31021927137571
1.08279205275424,-0.31021927137571
0.280153606854333,1.04494912463397
1.83887920737955,-0.31021927137571
0.635250275816868,-0.31021927137571
-1.64524301944283,1.04494912463397
1.87553133727602,-0.31021927137571
0.902551934339325,-0.31021927137571
-1.37837750449548,-0.31021927137571
0.869852312513547,-0.31021927137571
0.095086487588843,1.04494912463397
-1.08761680813618,-0.31021927137571
