"ID_SAEB","ID_REGIAO","ID_UF","ID_MUNICIPIO","ID_AREA","ID_ESCOLA","IN_PUBLICA","ID_LOCALIZACAO","ID_TURMA","ID_SERIE","ID_ALUNO","IN_SITUACAO_CENSO","IN_PREENCHIMENTO_LP","IN_PREENCHIMENTO_MT","IN_PRESENCA_LP","IN_PRESENCA_MT","ID_CADERNO_LP","ID_BLOCO_1_LP","ID_BLOCO_2_LP","ID_CADERNO_MT","ID_BLOCO_1_MT","ID_BLOCO_2_MT","TX_RESP_BLOCO1_LP","TX_RESP_BLOCO2_LP","TX_RESP_BLOCO1_MT","TX_RESP_BLOCO2_MT","IN_PROFICIENCIA_LP","IN_PROFICIENCIA_MT","IN_AMOSTRA","ESTRATO","PESO_ALUNO_LP","PROFICIENCIA_LP","ERRO_PADRAO_LP","PROFICIENCIA_LP_SAEB","ERRO_PADRAO_LP_SAEB","PESO_ALUNO_MT","PROFICIENCIA_MT","ERRO_PADRAO_MT","PROFICIENCIA_MT_SAEB","ERRO_PADRAO_MT_SAEB","IN_PREENCHIMENTO_QUESTIONARIO","IN_INSE","INSE_ALUNO","NU_TIPO_NIVEL_INSE","PESO_ALUNO_INSE","TX_RESP_Q01","TX_RESP_Q02","TX_RESP_Q03","TX_RESP_Q04","TX_RESP_Q05a","TX_RESP_Q05b","TX_RESP_Q05c","TX_RESP_Q06","TX_RESP_Q07a","TX_RESP_Q07b","TX_RESP_Q07c","TX_RESP_Q07d","TX_RESP_Q07e","TX_RESP_Q08","TX_RESP_Q09","TX_RESP_Q10a","TX_RESP_Q10b","TX_RESP_Q10c","TX_RESP_Q10d","TX_RESP_Q10e","TX_RESP_Q10f","TX_RESP_Q11a","TX_RESP_Q11b","TX_RESP_Q11c","TX_RESP_Q12a","TX_RESP_Q12b","TX_RESP_Q12c","TX_RESP_Q12d","TX_RESP_Q12e","TX_RESP_Q12f","TX_RESP_Q12g","TX_RESP_Q13a","TX_RESP_Q13b","TX_RESP_Q13c","TX_RESP_Q13d","TX_RESP_Q13e","TX_RESP_Q13f","TX_RESP_Q13g","TX_RESP_Q13h","TX_RESP_Q13i","TX_RESP_Q14","TX_RESP_Q15a","TX_RESP_Q15b","TX_RESP_Q16","TX_RESP_Q17","TX_RESP_Q18","TX_RESP_Q19","TX_RESP_Q20","TX_RESP_Q21a","TX_RESP_Q21b","TX_RESP_Q21c","TX_RESP_Q21d","TX_RESP_Q21e","TX_RESP_Q22a","TX_RESP_Q22b","TX_RESP_Q22c","TX_RESP_Q22d","TX_RESP_Q22e","TX_RESP_Q22f","TX_RESP_Q22g","TX_RESP_Q22h","TX_RESP_Q23a","TX_RESP_Q23b","TX_RESP_Q23c","TX_RESP_Q23d","TX_RESP_Q23e","TX_RESP_Q23f","TX_RESP_Q23g","TX_RESP_Q23h","TX_RESP_Q23i","TX_RESP_Q24","TX_RESP_Q25","TX_RESP_Q10a_num","TX_RESP_Q10b_num","TX_RESP_Q10c_num","TX_RESP_Q10d_num","TX_RESP_Q10e_num","TX_RESP_Q10f_num","TX_RESP_Q21a_num","TX_RESP_Q21b_num","TX_RESP_Q21c_num","TX_RESP_Q21d_num","TX_RESP_Q21e_num","TX_RESP_Q22a_num","TX_RESP_Q22b_num","TX_RESP_Q22c_num","TX_RESP_Q22d_num","TX_RESP_Q22e_num","TX_RESP_Q22f_num","TX_RESP_Q22g_num","TX_RESP_Q22h_num","TX_RESP_Q23a_num","TX_RESP_Q23b_num","TX_RESP_Q23c_num","TX_RESP_Q23d_num","TX_RESP_Q23e_num","TX_RESP_Q23f_num","TX_RESP_Q23g_num","TX_RESP_Q23h_num","TX_RESP_Q23i_num","TX_RESP_Q19_num","TX_RESP_Q20_num","Q01_masculino","Q01_feminino","Q04_Branca","Q04_Preta","Q04_Parda","Q04_Amarela","Q04_Indigena"
2023,3,31,6324924,2,61470145,1,1,1581940,12,52463471,1,1,1,1,1,11,4,6,11,4,6,"EACEDECADCAED","ECECEDDBABDCA","CEDCCBCADCBCD","BDCEBEAABDCCA",1,1,0,"63249242112",1.3461538462,"1.068934",0.341108,308.876159,18.792787,1.3461538462,0.036789,0.593273,252.020604,33.159409,1,1,4.91,4,1.4,"A","C","A","B","A","A","A","B","B","B",".",".",".","C","B","B","B","C","C","C","C","B","B","B","D","A","C","B","B","A","D","B","B","B","A","B","B","B","B","B","A","A","A","B","C","A","A","A","B","A","A","D","A","B","A","B","A","C","B","C","C","B","B","B","A","C","C","C","A","A","B","A",2,2,3,3,3,3,2,1,1,4,1,3,4,3,4,2,3,2,2,3,3,3,4,2,2,2,4,4,1,1,1,0,0,1,0,0,0
2023,3,31,6324924,2,61470145,1,1,1581940,12,52463472,1,1,1,1,1,5,5,6,5,5,6,"EAECCDDBCDACB","CEBBABDBDBEEA","CDDACAABDCBDC","DBCABEAAAACAE",1,1,0,"63249242112",1.3461538462,"0.621422",0.345094,284.221218,19.012389,1.3461538462,0.203286,0.567206,261.326509,31.702464,1,1,4.89,4,1.4,"B","B","A","C","A","A","A","B",".",".","B","B",".","D","D","B","A","C","C","C","B","A","B","B","B","B","C","C","B","A","D","B","B","B","A","B","B","B","A","A","A","A","A","H","A","A","A","A","C","D","D","D","D","B","C","C","C","C","C","B","C","C","C","B","C","C","C","C","B","C","C","A",2,1,3,3,3,2,3,4,4,4,4,3,2,2,2,2,2,3,2,2,2,3,2,2,2,2,3,2,1,1,0,1,0,0,1,0,0
2023,3,31,6324924,2,61470145,1,1,1581940,12,52463473,1,0,0,0,0,2,2,3,2,2,3,".............",".............",".............",".............",0,0,0,"63249242112",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,1,NA,".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2023,3,31,6324924,2,61470145,1,1,1581940,12,52463474,1,1,1,1,1,17,3,6,17,3,6,"BDBEDBDCAADBC","ECEBEDDBACECA","BADAEEDDDECEE","AACECAAABADCC",1,1,0,"63249242112",1.3461538462,"0.998579",0.332917,305.000065,18.341517,1.3461538462,0.533627,0.553788,279.790036,30.9525,1,1,4.67,4,1.4,"B","B","A","C","A","A","A","B","B","B","A","A","A","B","B","B","C","C","C","C","C","B","B","B","B","A","C","B","C","A","D","B","B","B","A","B","B","B","B","A","A","A","A","A","B","A","A","A","C","B","D","D","D","A","D","C","B","B","B","B","D","A","B","B","D","D","D","D","B","B","C","A",2,3,3,3,3,3,3,2,4,4,4,4,1,2,3,3,3,3,1,4,3,3,1,1,1,1,3,3,1,1,0,1,0,0,1,0,0
2023,3,31,6324924,2,61470145,1,1,1581940,12,52463475,1,1,1,1,1,16,2,5,16,2,5,"DECDCCBCBBBBB","EEBDACCBBDADB","BCDECDACCCCCA","EDDEBABBCCCBC",1,1,0,"63249242112",1.3461538462,"0.158613",0.407857,258.723514,22.470214,1.3461538462,1.0997,0.416692,311.429174,23.289886,1,1,5.55,6,1.4,"A","C","A","A","A","A","A","C","B","B","A","A","B","D","D","A","B","C","A","C","A","A","B","B","D","B","D","A","D","B","D","A","B","B","B","B","A","B","B","B","A","A","A","A","B","A","A","A","A","D","A","D","A","B","D","D","C","C","C","C","D","D","D","C","C","B","B","C","B","B","D","A",1,2,3,1,3,1,1,4,1,4,1,3,1,1,2,2,2,2,1,1,1,2,2,3,3,2,3,3,1,1,1,0,1,0,0,0,0
2023,3,31,6324924,2,61470145,1,1,1581940,12,52463476,1,1,1,1,1,4,4,5,4,4,5,"BABEDECACCAEB","EABCCADADDBCA","CBCABCADBDCDE","BBDCCAABACDAD",1,1,0,"63249242112",1.3461538462,"1.128539",0.336906,312.159999,18.561284,1.3461538462,1.664012,0.332111,342.969885,18.562457,1,1,5.61,6,1.4,"A","C","A","B","A","A","A","B","B","B",".",".",".","D","D","C","C","C","B","C","C","B","B","B","B","B","D","B","B","B","D","B","B","B","B","B","B","B","B","B","A","A","A","A","B","A","A","A","C",".","A","D","A","B","A","C","A","A","A","B","C","B","C","B","C","A","B","B","B","B","C","A",3,3,3,2,3,3,3,NA,1,4,1,3,4,2,4,4,4,3,2,3,2,3,2,4,3,3,3,3,1,1,1,0,0,1,0,0,0
2023,3,31,6324924,2,61470145,1,1,1581940,12,52463477,1,1,1,1,1,18,4,7,18,4,7,"EAEECBCADDAAA","CDEAABABDBDCA","ADCBDDCBBDDEC","CDDCDCCDCDBEB",1,1,0,"63249242112",1.3461538462,"0.130432",0.354328,257.170927,19.521121,1.3461538462,-0.266317,0.684549,235.079304,38.261037,1,0,NA,1,NA,"B","C","A","C","A","A","A","A",".",".","B",".",".","D","D","B","B","C","B","C","A","B","B","B",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","B","C","C","D","D","D","A","A","C","C","B","D","D","C","B","B","B","A","A",2,2,3,2,3,1,NA,NA,NA,NA,NA,3,2,2,1,1,1,4,4,2,2,3,1,1,2,3,3,3,NA,NA,0,1,0,0,1,0,0
2023,3,31,6324924,2,61470145,1,1,1581940,12,52463478,1,1,1,1,1,21,7,3,21,7,3,"AEADABCBDAABD","DDEAAEBCAAEEE","CDABDDADCBAAA","BDCDABCBDCAEA",1,1,0,"63249242112",1.3461538462,"-0.688742",0.504187,212.039877,27.777357,1.3461538462,0.640226,0.751931,285.748103,42.027174,1,1,5.41,5,1.4,"B","C","A","C","A","A","A","A","A","B","A","A","B","D","B","A","C","C","C","C","B","A","A","B","B","A","D","C","C","B","D","B","B","B","B","B","A","B","B","B","A","A","A","A","C","A","B","A","C","C","D","D","A","B","B","B","B","A","A","A","A","A","A","A","C","C","C","B","B","B","C",".",1,3,3,3,3,2,3,3,4,4,1,3,3,3,3,4,4,4,4,4,4,4,2,2,2,3,3,3,2,1,0,1,0,0,1,0,0
2023,3,31,6324924,2,61470145,1,1,1581940,12,52463479,1,0,0,0,0,8,1,3,8,1,3,".............",".............",".............",".............",0,0,0,"63249242112",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,1,NA,".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2023,3,31,6324924,2,61470145,1,1,1581940,12,52463480,1,1,1,1,1,9,2,4,9,2,4,"EEABCEBCBCBBB","BADEDECADCAED","AADCBECCADBCD","BCCBAACAADBBB",1,1,0,"63249242112",1.3461538462,"1.629352",0.374325,339.751471,20.622823,1.3461538462,-0.052714,0.506223,247.018073,28.293982,1,1,4.34,3,1.4,"B","B","A","C","A","A","A","D","B","B","A","A","B","D","C","B","B","B","B","C","A","B","B","B","B","B","D","B","C","B","D","A","B","A","A","A","A","A","A","A","B","B","A","D","C","A","A","A","B","A","C","A","D","B","B","B","C","C","C","B","C","B","C","C","B","D","C","D","B","B","C","A",2,2,2,2,3,1,2,1,3,1,4,3,3,3,2,2,2,3,2,3,2,2,3,1,2,1,3,3,1,1,0,1,0,0,1,0,0
