"PROFICIENCIA_LP_SAEB","TX_RESP_Q07e","TX_RESP_Q12a","TX_RESP_Q16"
NA,NA,NA,NA
-0.09474507791642,NA,-0.454239220660526,-0.476521136978279
-0.0950737331163457,NA,-0.454239220660526,-0.476521136978279
-0.0951670533695385,-3.16405372189794,NA,-0.476521136978279
-0.0986000100322173,0.312499133026957,-0.454239220660526,-0.476521136978279
-0.0961047254623146,0.312499133026957,-0.454239220660526,-0.476521136978279
-0.097629379848892,NA,-0.454239220660526,-0.476521136978279
-0.0947406253055005,0.312499133026957,-0.454239220660526,-0.476521136978279
-0.0943034531366979,0.312499133026957,-0.454239220660526,-0.476521136978279
-0.0935263877202009,-3.16405372189794,-0.454239220660526,NA
-0.0963407556938566,0.312499133026957,-0.454239220660526,NA
-0.0982483051720785,-3.16405372189794,1.7756624080366,NA
-0.0977445926533695,NA,1.7756624080366,NA
-0.0937504168808667,0.312499133026957,-0.454239220660526,-0.476521136978279
-0.0955218168625689,0.312499133026957,-0.454239220660526,-0.476521136978279
-0.0953267312696119,0.312499133026957,-0.454239220660526,-0.476521136978279
-0.0971334610727904,0.312499133026957,-0.454239220660526,2.26669513805884
NA,NA,NA,NA
-0.0942746194978686,0.312499133026957,-0.454239220660526,NA
-0.0941224358916785,0.312499133026957,-0.454239220660526,-0.476521136978279
-0.0930710769485209,0.312499133026957,-0.454239220660526,-0.476521136978279
-0.0956105711675535,0.312499133026957,1.7756624080366,1.35228971304647
-0.0985266401817907,NA,-0.454239220660526,2.26669513805884
-0.094404565474353,0.312499133026957,-0.454239220660526,-0.476521136978279
-0.0941270779917362,0.312499133026957,-0.454239220660526,-0.476521136978279
-0.0990260421987573,0.312499133026957,-0.454239220660526,NA
-0.0969056948829388,NA,-0.454239220660526,2.26669513805884
-0.0935991011601091,0.312499133026957,-0.454239220660526,NA
-0.0958327817422179,NA,-0.454239220660526,-0.476521136978279
-0.0949296207157111,-3.16405372189794,-0.454239220660526,-0.476521136978279
-0.0951851107847184,0.312499133026957,1.7756624080366,NA
-0.0961053936947934,0.312499133026957,-0.454239220660526,-0.476521136978279
10.3927276315274,-3.16405372189794,4.00556403673373,NA
-0.0952855345622639,0.312499133026957,4.00556403673373,NA
NA,NA,NA,NA
-0.0966578395588467,NA,1.7756624080366,-0.476521136978279
-0.0938964798435707,0.312499133026957,-0.454239220660526,-0.476521136978279
-0.0986496551731331,0.312499133026957,-0.454239220660526,1.35228971304647
-0.0933815309352381,0.312499133026957,-0.454239220660526,-0.476521136978279
-0.0955217322664619,0.312499133026957,-0.454239220660526,-0.476521136978279
-0.0943736459196832,NA,-0.454239220660526,-0.476521136978279
-0.0968561799985332,NA,-0.454239220660526,NA
-0.0946548873200009,0.312499133026957,-0.454239220660526,NA
NA,NA,NA,NA
-0.0951108375829779,0.312499133026957,1.7756624080366,-0.476521136978279
-0.096264856772956,NA,-0.454239220660526,NA
-0.0958509051454319,0.312499133026957,-0.454239220660526,-0.476521136978279
NA,NA,NA,NA
-0.0954897892370768,0.312499133026957,1.7756624080366,NA
NA,NA,NA,NA
-0.0930286063558398,-3.16405372189794,-0.454239220660526,NA
NA,NA,NA,NA
-0.0933607515827429,0.312499133026957,-0.454239220660526,NA
-0.0945297475385271,0.312499133026957,-0.454239220660526,NA
-0.093309685350056,0.312499133026957,1.7756624080366,NA
-0.0974584875449709,0.312499133026957,-0.454239220660526,-0.476521136978279
-0.0960394606865928,0.312499133026957,-0.454239220660526,-0.476521136978279
-0.0958092753244402,0.312499133026957,1.7756624080366,NA
NA,NA,NA,NA
-0.0972207249816796,0.312499133026957,-0.454239220660526,2.26669513805884
-0.0954473507939871,0.312499133026957,-0.454239220660526,2.26669513805884
NA,NA,NA,NA
-0.0937169766999803,0.312499133026957,-0.454239220660526,NA
-0.0923541131816471,0.312499133026957,1.7756624080366,NA
-0.0942439841922593,0.312499133026957,-0.454239220660526,NA
-0.0940702717826912,0.312499133026957,-0.454239220660526,NA
NA,NA,NA,NA
NA,NA,NA,NA
NA,NA,NA,NA
NA,NA,NA,NA
-0.0943605215783212,NA,1.7756624080366,NA
-0.0974490156059815,0.312499133026957,1.7756624080366,-0.476521136978279
-0.0968309970732248,0.312499133026957,-0.454239220660526,-0.476521136978279
-0.09261381392592,0.312499133026957,1.7756624080366,NA
NA,NA,NA,NA
NA,NA,NA,NA
-0.0945543924878668,0.312499133026957,-0.454239220660526,-0.476521136978279
-0.0934279940035709,0.312499133026957,-0.454239220660526,-0.476521136978279
NA,NA,NA,NA
-0.0952709181052488,-3.16405372189794,-0.454239220660526,NA
-0.0939896140160347,-3.16405372189794,-0.454239220660526,-0.476521136978279
-0.0941979406653454,0.312499133026957,-0.454239220660526,2.26669513805884
-0.0953634195725282,NA,-0.454239220660526,NA
-0.0936474961210257,0.312499133026957,-0.454239220660526,-0.476521136978279
-0.0940399054343598,0.312499133026957,1.7756624080366,-0.476521136978279
NA,NA,NA,NA
-0.0970211563477698,0.312499133026957,-0.454239220660526,2.26669513805884
-0.0945151328010698,0.312499133026957,-0.454239220660526,NA
NA,NA,NA,NA
-0.0946664975906401,0.312499133026957,-0.454239220660526,NA
-0.0937193332619502,0.312499133026957,-0.454239220660526,-0.476521136978279
-0.0952717149053863,0.312499133026957,-0.454239220660526,NA
-0.0929924205015979,0.312499133026957,-0.454239220660526,-0.476521136978279
-0.0956939204414919,0.312499133026957,-0.454239220660526,-0.476521136978279
-0.0953777518111891,0.312499133026957,-0.454239220660526,NA
