"PROFICIENCIA_LP_SAEB","TX_RESP_Q10a_num","TX_RESP_Q10f_num","TX_RESP_Q21c_num","TX_RESP_Q21d_num","TX_RESP_Q22b_num","TX_RESP_Q22c_num","TX_RESP_Q23b_num"
NA,NA,NA,NA,NA,NA,NA,NA
0.0321505672285502,0.419232420458703,-0.354083992045689,0.91350027839114,-1.33177069850755,0.124531206492085,-0.741722504910162,-0.964198768496884
-0.977872659228343,1.86325520203868,-0.354083992045689,-2.69897809524655,-1.33177069850755,1.36984327141294,1.40927275932931,NA
NA,NA,NA,NA,NA,NA,NA,NA
-0.726412989097446,0.419232420458703,-0.354083992045689,-1.49481863736732,-0.58905242433988,1.36984327141294,1.40927275932931,0.367313816570242
1.32629791642361,0.419232420458703,-0.354083992045689,0.91350027839114,0.153665849827795,0.124531206492085,0.333775127209573,0.367313816570242
-0.127150353845609,0.419232420458703,1.01799147713136,-1.49481863736732,0.896384123995469,1.36984327141294,1.40927275932931,0.367313816570242
NA,NA,NA,NA,NA,NA,NA,NA
-1.10358574639409,0.419232420458703,1.01799147713136,-0.29065917948809,-1.33177069850755,-1.12078085842877,-0.741722504910162,0.367313816570242
0.886566349236023,-1.02479036112127,-1.72615946122273,0.91350027839114,0.153665849827795,0.124531206492085,-1.8172201370299,-0.964198768496884
1.50299025004414,1.86325520203868,-0.354083992045689,0.91350027839114,0.896384123995469,-1.12078085842877,-0.741722504910162,0.367313816570242
0.949708603000527,0.419232420458703,1.01799147713136,0.91350027839114,0.896384123995469,-1.12078085842877,0.333775127209573,1.69882640163737
NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA
-1.90448502979437,1.86325520203868,1.01799147713136,NA,NA,1.36984327141294,0.333775127209573,1.69882640163737
0.275702726838766,-1.02479036112127,-0.354083992045689,-0.29065917948809,0.896384123995469,0.124531206492085,0.333775127209573,0.367313816570242
-0.389855018057356,-1.02479036112127,1.01799147713136,0.91350027839114,-1.33177069850755,0.124531206492085,1.40927275932931,0.367313816570242
0.595013834645204,-1.02479036112127,1.01799147713136,-0.29065917948809,0.896384123995469,-1.12078085842877,-0.741722504910162,-0.964198768496884
0.24394023182338,-1.02479036112127,1.01799147713136,0.91350027839114,0.896384123995469,-2.36609292334962,-1.8172201370299,-2.29571135356401
-0.556157459933628,1.86325520203868,1.01799147713136,0.91350027839114,0.153665849827795,1.36984327141294,1.40927275932931,1.69882640163737
0.748890962367851,-1.02479036112127,-0.354083992045689,-0.29065917948809,0.896384123995469,0.124531206492085,-0.741722504910162,-0.964198768496884
1.17450972180364,0.419232420458703,-0.354083992045689,0.91350027839114,0.896384123995469,-1.12078085842877,-0.741722504910162,-0.964198768496884
0.563695626552855,-1.02479036112127,-1.72615946122273,-0.29065917948809,0.896384123995469,0.124531206492085,-0.741722504910162,0.367313816570242
-0.5545663244473,0.419232420458703,1.01799147713136,0.91350027839114,0.896384123995469,1.36984327141294,0.333775127209573,0.367313816570242
-0.565995994788379,-1.02479036112127,1.01799147713136,NA,NA,-1.12078085842877,NA,-0.964198768496884
0.538658986039787,0.419232420458703,-0.354083992045689,-0.29065917948809,0.896384123995469,-1.12078085842877,-0.741722504910162,0.367313816570242
1.20089260683163,-1.02479036112127,-0.354083992045689,0.91350027839114,0.896384123995469,-1.12078085842877,-0.741722504910162,-0.964198768496884
-1.94765982785818,-1.02479036112127,-1.72615946122273,-0.29065917948809,-0.58905242433988,0.124531206492085,-0.741722504910162,0.367313816570242
0.306219343287841,-1.02479036112127,-1.72615946122273,-0.29065917948809,-1.33177069850755,0.124531206492085,-0.741722504910162,0.367313816570242
2.03166348786073,-1.02479036112127,-1.72615946122273,-0.29065917948809,0.896384123995469,0.124531206492085,-0.741722504910162,-2.29571135356401
0.286880826480491,-1.02479036112127,1.01799147713136,0.91350027839114,-1.33177069850755,1.36984327141294,0.333775127209573,0.367313816570242
-0.883817669002687,0.419232420458703,1.01799147713136,-1.49481863736732,0.153665849827795,0.124531206492085,1.40927275932931,0.367313816570242
-1.27800714254289,0.419232420458703,1.01799147713136,-1.49481863736732,-1.33177069850755,0.124531206492085,1.40927275932931,0.367313816570242
-1.21341157429699,0.419232420458703,-0.354083992045689,-0.29065917948809,0.896384123995469,0.124531206492085,0.333775127209573,0.367313816570242
NA,NA,NA,NA,NA,NA,NA,NA
-0.604946047101616,0.419232420458703,-0.354083992045689,0.91350027839114,-1.33177069850755,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA
0.170141795923863,0.419232420458703,-0.354083992045689,-0.29065917948809,-1.33177069850755,0.124531206492085,0.333775127209573,0.367313816570242
