"PROFICIENCIA_LP_SAEB","TX_RESP_Q10f_num","TX_RESP_Q21a_num","TX_RESP_Q21b_num","TX_RESP_Q21c_num","TX_RESP_Q21d_num","TX_RESP_Q23e_num","TX_RESP_Q23f_num","TX_RESP_Q19_num"
NA,NA,NA,NA,NA,NA,NA,NA,NA
-1.28431227802716,1.20626004291746,-1.56702123647242,-0.708776457138535,-0.235702260395516,-0.482160380453053,-0.872296093040459,-1.04197614450346,-0.235702260395516
NA,NA,NA,NA,NA,NA,NA,NA,NA
0.031986814581256,0.109660003901588,NA,NA,NA,NA,0.469697896252555,-1.04197614450346,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA
0.580652704413962,-0.986940035114288,-1.56702123647242,0.567021165710828,-0.235702260395516,1.68756133158568,-0.872296093040459,0.260494036125864,-0.235702260395516
NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA
1.12962389509845,-0.986940035114288,0.602700475566316,0.567021165710828,-0.235702260395516,-0.482160380453053,-0.872296093040459,0.260494036125864,4.00693842672377
0.598503075143557,0.109660003901588,0.602700475566316,0.567021165710828,1.17851130197758,-0.482160380453053,-0.872296093040459,0.260494036125864,-0.235702260395516
-0.42823020801012,1.20626004291746,0.602700475566316,-0.708776457138535,-0.235702260395516,-0.482160380453053,0.469697896252555,0.260494036125864,-0.235702260395516
NA,NA,NA,NA,NA,NA,NA,NA,NA
1.00961575776058,-0.986940035114288,0.602700475566316,-0.708776457138535,1.17851130197758,0.602700475566316,0.469697896252555,1.56296421675518,-0.235702260395516
NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA
-2.53228469820706,1.20626004291746,0.602700475566316,-0.708776457138535,-0.235702260395516,-0.482160380453053,-0.872296093040459,-1.04197614450346,-0.235702260395516
1.1474002904917,1.20626004291746,0.602700475566316,0.567021165710828,-0.235702260395516,-0.482160380453053,1.81169188554557,1.56296421675518,-0.235702260395516
