"PROFICIENCIA_MT_SAEB","TX_RESP_Q21a_num","TX_RESP_Q23c_num","TX_RESP_Q23d_num","TX_RESP_Q23h_num"
0.104581648211614,0.759160811187089,1.60080709724294,1.47174321709413,-0.507554175648076
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
-0.769261898070394,-0.538759285358579,-0.0923542556101697,-0.183967902136766,-0.507554175648076
-0.166320440762633,-0.538759285358579,-1.78551560846328,-1.83967902136766,-0.507554175648076
-0.551135546935678,-0.538759285358579,-0.0923542556101697,-0.183967902136766,-0.507554175648076
NA,NA,NA,NA,NA
-0.661895859008148,-0.538759285358579,-0.0923542556101697,-0.183967902136766,-0.507554175648076
0.842206176414717,-0.538759285358579,-0.0923542556101697,-0.183967902136766,-0.507554175648076
0.529426846404971,0.759160811187089,1.60080709724294,1.47174321709413,1.26888543912019
1.53862087602413,0.759160811187089,-0.0923542556101697,-0.183967902136766,-0.507554175648076
1.99063145521293,0.759160811187089,1.60080709724294,1.47174321709413,-0.507554175648076
-1.33079574144623,-0.538759285358579,-0.0923542556101697,-0.183967902136766,1.26888543912019
-0.55015130405215,0.759160811187089,-0.0923542556101697,-0.183967902136766,-0.507554175648076
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
0.389434950878351,0.759160811187089,-0.0923542556101697,1.47174321709413,-0.507554175648076
1.04637120246096,0.759160811187089,1.60080709724294,1.47174321709413,1.26888543912019
0.00712312883994086,-1.83667938190425,-1.78551560846328,-0.183967902136766,-2.28399379041634
-0.0482749985442351,-0.538759285358579,-0.0923542556101697,-0.183967902136766,-0.507554175648076
-0.625348771015745,0.759160811187089,-0.0923542556101697,-0.183967902136766,-0.507554175648076
1.53258173923325,2.05708090773276,-0.0923542556101697,1.47174321709413,1.26888543912019
1.38510021409471,-0.538759285358579,1.60080709724294,-0.183967902136766,1.26888543912019
0.54257809388795,-0.538759285358579,-1.78551560846328,-0.183967902136766,-0.507554175648076
2.39074715393961,0.759160811187089,1.60080709724294,1.47174321709413,1.26888543912019
1.26680870110434,-0.538759285358579,-0.0923542556101697,-0.183967902136766,1.26888543912019
0.278403862456036,0.759160811187089,-0.0923542556101697,-0.183967902136766,-0.507554175648076
-0.0893118076840891,-0.538759285358579,-0.0923542556101697,-0.183967902136766,-2.28399379041634
-0.772377514676642,-1.83667938190425,-0.0923542556101697,-0.183967902136766,-2.28399379041634
-0.650811959808077,NA,1.60080709724294,-0.183967902136766,-0.507554175648076
-0.803382090208,-1.83667938190425,-1.78551560846328,-0.183967902136766,-0.507554175648076
-1.18923873047445,0.759160811187089,-1.78551560846328,1.47174321709413,1.26888543912019
NA,NA,NA,NA,NA
1.16040105352355,-0.538759285358579,-0.0923542556101697,-0.183967902136766,-0.507554175648076
NA,NA,NA,NA,NA
-1.18185807477437,NA,-0.0923542556101697,-0.183967902136766,-0.507554175648076
-0.55027939513613,-1.83667938190425,1.60080709724294,1.47174321709413,1.26888543912019
0.500874998028301,2.05708090773276,1.60080709724294,1.47174321709413,1.26888543912019
-0.129638547558496,-0.538759285358579,-0.0923542556101697,-1.83967902136766,-0.507554175648076
-0.106406740828934,-0.538759285358579,-0.0923542556101697,-0.183967902136766,-0.507554175648076
-0.641897648572825,-1.83667938190425,-0.0923542556101697,NA,1.26888543912019
-0.25370288367362,0.759160811187089,-0.0923542556101697,-0.183967902136766,-0.507554175648076
-1.79747773509112,-0.538759285358579,-0.0923542556101697,-1.83967902136766,-0.507554175648076
NA,NA,NA,NA,NA
-0.708644842999001,2.05708090773276,-0.0923542556101697,-1.83967902136766,-0.507554175648076
1.82924251902973,0.759160811187089,1.60080709724294,-0.183967902136766,1.26888543912019
NA,NA,NA,NA,NA
-0.99461608814116,-0.538759285358579,-0.0923542556101697,-0.183967902136766,-0.507554175648076
-0.620819709904177,0.759160811187089,-1.78551560846328,-3.49539014059856,-0.507554175648076
-0.178889689961966,-0.538759285358579,-0.0923542556101697,-0.183967902136766,1.26888543912019
-0.675749315804623,-0.538759285358579,-0.0923542556101697,-0.183967902136766,-0.507554175648076
0.0363322581602542,0.759160811187089,-0.0923542556101697,-0.183967902136766,1.26888543912019
-1.03726856970612,NA,NA,NA,-0.507554175648076
-1.59194085594772,-0.538759285358579,-0.0923542556101697,-0.183967902136766,-0.507554175648076
NA,NA,NA,NA,NA
0.186315961813592,-0.538759285358579,-0.0923542556101697,-0.183967902136766,1.26888543912019
-1.20156303462383,-0.538759285358579,-0.0923542556101697,-0.183967902136766,1.26888543912019
2.46164363911349,2.05708090773276,1.60080709724294,1.47174321709413,1.26888543912019
0.139627646198673,0.759160811187089,-0.0923542556101697,-0.183967902136766,1.26888543912019
1.38543053309847,0.759160811187089,-0.0923542556101697,-0.183967902136766,1.26888543912019
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
0.495511133631183,-0.538759285358579,-1.78551560846328,-0.183967902136766,-0.507554175648076
-0.421917434295167,-0.538759285358579,-0.0923542556101697,-0.183967902136766,-0.507554175648076
-0.445143612414635,-0.538759285358579,-0.0923542556101697,-0.183967902136766,-0.507554175648076
0.122890009181679,0.759160811187089,-0.0923542556101697,-0.183967902136766,-0.507554175648076
-0.516091780290478,0.759160811187089,-0.0923542556101697,-0.183967902136766,-0.507554175648076
NA,NA,NA,NA,NA
-0.900673178531578,-0.538759285358579,-1.78551560846328,1.47174321709413,-0.507554175648076
