"PROFICIENCIA_LP_SAEB","TX_RESP_Q22d_num","TX_RESP_Q22f_num","TX_RESP_Q23b_num","TX_RESP_Q23f_num"
-2.37202447249503,0.235702260395516,0.343592135468139,0.636209010280352,0.424345583496044
-0.05740529262171,0.235702260395516,0.343592135468139,0.636209010280352,0.424345583496044
NA,NA,NA,NA,NA
-0.207281443077824,-1.17851130197758,0.343592135468139,-1.90862703084106,-1.75800313162647
0.762297001231844,-1.17851130197758,-1.20257247413848,-0.636209010280352,-0.666828774065213
-0.408155952963,1.64991582276861,0.343592135468139,0.636209010280352,1.5155199410573
-1.31413083052363,0.235702260395516,-1.20257247413848,0.636209010280352,-0.666828774065213
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
0.528858801802155,0.235702260395516,0.343592135468139,0.636209010280352,0.424345583496044
0.130556523915039,-1.17851130197758,-1.20257247413848,-0.636209010280352,-0.666828774065213
1.0799760533781,0.235702260395516,0.343592135468139,0.636209010280352,0.424345583496044
0.333633649883194,0.235702260395516,0.343592135468139,0.636209010280352,1.5155199410573
-0.241476082951329,-1.17851130197758,0.343592135468139,-0.636209010280352,0.424345583496044
0.0293395158690252,0.235702260395516,-1.20257247413848,-0.636209010280352,0.424345583496044
0.709142602550813,-1.17851130197758,-1.20257247413848,-0.636209010280352,-0.666828774065213
0.141519813359247,0.235702260395516,0.343592135468139,-0.636209010280352,-0.666828774065213
-0.751553225622894,0.235702260395516,0.343592135468139,0.636209010280352,1.5155199410573
-0.108489136888319,1.64991582276861,1.88975674507476,1.90862703084106,0.424345583496044
NA,1.64991582276861,1.88975674507476,0.636209010280352,-0.666828774065213
-0.643431738069431,NA,NA,NA,NA
2.38862421322374,-1.17851130197758,-1.20257247413848,-1.90862703084106,-1.75800313162647
