Variável,Grupo1,Grupo2,N1,N2,Mediana1,Mediana2,U,p_valor,r_rank_biserial,Significância
PROFICIÊNCIA_MT,Pública,Privada,NA,NA,NA,NA,NA,NA,NA,NA
PROFICIÊNCIA_LP,Pública,Privada,NA,NA,NA,NA,NA,NA,NA,NA
PROFICIÊNCIA_MT,Urbana,Rural,2143,152,268.50616747826086,260.0812478343653,205338,7.466e-08,-0.2608,***
PROFICIÊNCIA_LP,Urbana,Rural,2143,152,273.3765851538462,261.42314789047623,207401,1.692e-08,-0.2734,***
PROFICIÊNCIA_MT,Capital,Interior,132,2163,265.551570679198,268.1232254375,129062,6.389e-02,0.0959,ns
PROFICIÊNCIA_LP,Capital,Interior,132,2163,277.7588624041218,272.65589553703705,157296,4.92e-02,-0.1018,*
PROFICIÊNCIA_MT,Alto_INSE,Baixo_INSE,769,768,278.15198392903227,259.4676582685185,460559,0e+00,-0.5597,***
PROFICIÊNCIA_LP,Alto_INSE,Baixo_INSE,769,768,285.39889080952383,261.6288569017544,480114,0e+00,-0.6259,***
