ID_ESCOLA,MEDIA_MT,MEDIA_LP,INSE_MEDIO,NIVEL_INSE_MODAL,TIPO_ESCOLA_MODAL,ID_AREA_MODAL,ID_LOCALIZACAO_MODAL,N_ALUNOS,N_ALUNOS_MT_VALIDOS,N_ALUNOS_LP_VALIDOS,FAIXA_MT,FAIXA_LP
61399103,259.809121925,273.29089055833333,5.3542056074766355,1,1,1,1,166,120,120,Q2_Médio-Baixo,Q3_Médio-Alto
61399357,252.46871497,252.46974584,4.941931818181819,1,1,1,1,130,100,100,Q1_Baixo,Q1_Baixo
61399370,250.03962204065041,250.71828894308942,4.971372549019608,1,1,1,1,183,123,123,Q1_Baixo,Q1_Baixo
61399373,272.26271961344537,284.66171416806725,5.12036036036036,4,1,1,1,144,119,119,Q3_Médio-Alto,Q3_Médio-Alto
61399376,249.52619988235293,259.8228709117647,5.216470588235294,1,1,2,1,54,34,34,Q1_Baixo,Q2_Médio-Baixo
61399380,274.5667086078431,280.6555293137255,5.234555555555556,1,1,1,1,126,102,102,Q3_Médio-Alto,Q3_Médio-Alto
61399383,269.59602590909094,9253.963166515152,4.8440625,4,1,1,1,42,33,33,Q3_Médio-Alto,Q4_Alto
61399385,334.9241422380952,325.4551498571429,5.754705882352941,1,0,1,1,24,21,21,Q4_Alto,Q4_Alto
61399386,277.32917158888887,284.59166552222223,4.9626582278481015,1,1,2,1,120,90,90,Q3_Médio-Alto,Q3_Médio-Alto
61399388,273.9624095612245,282.9918588061225,5.197252747252747,6,1,2,1,114,98,98,Q3_Médio-Alto,Q3_Médio-Alto
61399389,249.1732903611111,262.39909172222224,4.050285714285715,1,1,2,1,51,36,36,Q1_Baixo,Q2_Médio-Baixo
61399391,252.778191,250.8521098,5.442222222222222,1,1,2,1,16,10,10,Q1_Baixo,Q1_Baixo
61399395,281.54782360377357,281.1416983018868,4.709411764705882,3,1,2,1,62,53,53,Q3_Médio-Alto,Q3_Médio-Alto
61399396,3818.3954398571427,274.88099714285715,5.035113636363636,4,1,2,1,109,91,91,Q4_Alto,Q3_Médio-Alto
61399397,256.4460964642857,260.7868663214286,4.019166666666667,1,1,2,1,32,28,28,Q1_Baixo,Q2_Médio-Baixo
61399398,262.559272877193,262.7264126842105,4.032678571428572,2,1,2,1,69,57,57,Q2_Médio-Baixo,Q2_Médio-Baixo
61399399,237.9965523846154,237.87022223076923,4.1054545454545455,1,1,2,2,18,13,13,Q1_Baixo,Q1_Baixo
61399418,358.2111632149533,346.7233412990654,5.569809523809524,1,1,2,1,168,107,107,Q4_Alto,Q4_Alto
61399423,270.95215248,295.53566118,5.402564102564103,1,1,1,1,67,50,50,Q3_Médio-Alto,Q4_Alto
61399426,274.35055505945945,281.9128906972973,5.3192405063291135,1,1,1,1,229,185,185,Q3_Médio-Alto,Q3_Médio-Alto
61399427,287.4557398190476,3635.0673442666666,5.35,5,1,1,1,126,105,105,Q4_Alto,Q4_Alto
61399428,269.031339744186,273.05917913023256,5.175837563451776,5,1,1,1,252,215,215,Q3_Médio-Alto,Q3_Médio-Alto
61399429,251.62898804081632,255.98381277551022,4.625,3,1,2,1,60,49,49,Q1_Baixo,Q1_Baixo
61399431,262.6398206617647,4494.353280205883,4.9349253731343286,1,1,2,1,85,68,68,Q2_Médio-Baixo,Q4_Alto
61399433,262.86141881818185,278.3341112727273,4.073,2,1,2,1,13,11,11,Q2_Médio-Baixo,Q3_Médio-Alto
61399435,238.65305933333335,225.16506883333335,4.325,3,1,2,1,22,18,18,Q1_Baixo,Q1_Baixo
61399436,261.31695145454546,1853.120429117647,5.1336,1,1,2,1,231,187,187,Q2_Médio-Baixo,Q4_Alto
61399443,271.7995153333333,287.41299891666665,5.122083333333333,1,1,2,1,35,24,24,Q3_Médio-Alto,Q4_Alto
61399444,270.10030196,272.67724204,4.8738947368421055,1,1,2,1,125,100,100,Q3_Médio-Alto,Q2_Médio-Baixo
61399445,269.35952071428574,271.61036269387756,4.369583333333333,1,1,2,1,65,49,49,Q3_Médio-Alto,Q2_Médio-Baixo
61399447,283.63180945,284.9685372,5.016842105263158,1,1,2,1,26,20,20,Q4_Alto,Q3_Médio-Alto
61399450,313.27431046478875,328.6752466478873,5.277142857142858,5,1,2,1,82,71,71,Q4_Alto,Q4_Alto
61399451,277.3420120755814,270.62673087209305,4.903614457831325,4,1,2,1,195,172,172,Q3_Médio-Alto,Q2_Médio-Baixo
61399452,260.0574380333333,283.9857927333333,4.754074074074074,1,1,2,1,39,30,30,Q2_Médio-Baixo,Q3_Médio-Alto
61399455,268.94402444444444,237.16638977777777,3.996470588235294,1,1,2,1,25,18,18,Q3_Médio-Alto,Q1_Baixo
61399456,270.9925652142857,278.9550451190476,4.543414634146342,2,1,2,1,48,42,42,Q3_Médio-Alto,Q3_Médio-Alto
61399457,259.3987905,266.4323743125,4.346046511627907,1,1,2,1,73,48,48,Q2_Médio-Baixo,Q2_Médio-Baixo
61399458,252.7065919230769,259.4874973846154,4.789090909090909,1,1,2,1,16,13,13,Q1_Baixo,Q2_Médio-Baixo
61399459,271.7767747435897,277.2733598461538,4.124615384615384,2,1,2,1,45,39,39,Q3_Médio-Alto,Q3_Médio-Alto
61399460,251.13443225,254.66374252272726,4.50452380952381,1,1,2,1,54,44,44,Q1_Baixo,Q1_Baixo
61399461,269.5397746666667,267.28264711111115,4.147777777777778,1,1,2,1,12,9,9,Q3_Médio-Alto,Q2_Médio-Baixo
61399462,283.226946125,282.223415375,4.28875,1,1,2,2,12,8,8,Q4_Alto,Q3_Médio-Alto
61399467,259.125241125,259.6383367875,4.549350649350649,2,1,2,1,92,80,80,Q2_Médio-Baixo,Q2_Médio-Baixo
61399472,256.3820976727273,6127.714436436364,4.488333333333333,4,1,2,1,66,55,55,Q1_Baixo,Q4_Alto
61399474,267.9942133809524,271.4155813809524,4.786666666666667,1,1,2,1,31,21,21,Q2_Médio-Baixo,Q2_Médio-Baixo
61399475,282.68900833333333,270.7198134166667,4.548333333333333,1,1,2,2,15,12,12,Q4_Alto,Q2_Médio-Baixo
61399476,299.9901890925926,288.1663182037037,5.1625,5,1,2,1,120,108,108,Q4_Alto,Q4_Alto
61399477,249.2178401627907,255.18569960465118,4.31953488372093,1,1,2,1,58,43,43,Q1_Baixo,Q1_Baixo
61399478,289.7941343030303,294.9440562666667,5.293881578947368,1,1,2,1,203,165,165,Q4_Alto,Q4_Alto
61399479,285.4570023076923,286.9750891025641,5.12,1,1,2,1,48,39,39,Q4_Alto,Q3_Médio-Alto
61399481,291.14595824031005,283.63214878294576,5.352561983471074,1,1,2,1,208,129,129,Q4_Alto,Q3_Médio-Alto
61399485,276.1498594285714,274.30216676190474,4.560952380952381,1,1,2,1,24,21,21,Q3_Médio-Alto,Q3_Médio-Alto
61399489,5427.828258772277,278.1500894950495,4.1838461538461535,2,1,2,1,114,101,101,Q4_Alto,Q3_Médio-Alto
61399490,273.20333607692305,273.3765851538462,4.577692307692308,1,1,2,1,18,13,13,Q3_Médio-Alto,Q3_Médio-Alto
61399491,243.3186725957447,226.10114985106384,3.9225,1,1,2,1,56,47,47,Q1_Baixo,Q1_Baixo
61399492,280.2391856585366,282.9238456097561,5.1165,1,1,2,1,53,41,41,Q3_Médio-Alto,Q3_Médio-Alto
61399505,248.88828815384616,239.88176146153845,4.9152,1,1,2,1,34,26,26,Q1_Baixo,Q1_Baixo
61399510,272.2843030895522,281.92116929850744,5.214,1,1,2,1,82,67,67,Q3_Médio-Alto,Q3_Médio-Alto
61399515,281.55795926086955,284.4947610869565,4.39304347826087,2,1,2,1,31,23,23,Q3_Médio-Alto,Q3_Médio-Alto
61399517,242.38440420689656,262.89846768965515,4.051785714285714,2,1,2,2,34,29,29,Q1_Baixo,Q2_Médio-Baixo
61399521,258.23323174,267.84085794,4.322444444444445,1,1,2,1,64,50,50,Q2_Médio-Baixo,Q2_Médio-Baixo
61399522,262.1455041515151,262.60942542424243,3.896551724137931,2,1,2,1,37,33,33,Q2_Médio-Baixo,Q2_Médio-Baixo
61399524,271.2532,273.469858175,4.227297297297297,1,1,2,1,61,40,40,Q3_Médio-Alto,Q3_Médio-Alto
61399530,271.07346141666665,282.0471752619048,4.894375,5,1,2,1,95,84,84,Q3_Médio-Alto,Q3_Médio-Alto
61399531,258.9499005625,273.39501375,4.989375,5,1,2,1,20,16,16,Q2_Médio-Baixo,Q3_Médio-Alto
61399532,253.21394837931035,244.74068413793103,4.701272727272728,1,1,2,1,78,58,58,Q1_Baixo,Q1_Baixo
61399536,278.5234220909091,280.40744102272726,5.324146341463415,1,1,2,1,56,44,44,Q3_Médio-Alto,Q3_Médio-Alto
61399541,266.50186474626867,266.02364723880595,5.123548387096775,5,1,2,1,81,67,67,Q2_Médio-Baixo,Q2_Médio-Baixo
61399546,300.5386839591837,300.7670790204082,4.894222222222222,5,1,2,1,55,49,49,Q4_Alto,Q4_Alto
61399548,262.09567892391306,264.0585747862319,5.226413502109705,1,1,2,1,358,276,276,Q2_Médio-Baixo,Q2_Médio-Baixo
61399559,276.43874666666665,294.1968051153846,5.305068493150685,1,1,2,1,193,156,156,Q3_Médio-Alto,Q4_Alto
61399561,252.39914579069767,254.6097613255814,4.3989473684210525,1,1,2,1,64,43,43,Q1_Baixo,Q1_Baixo
61399564,291.039905,302.2788577142857,5.464578313253012,1,1,2,1,104,84,84,Q4_Alto,Q4_Alto
61399565,3125.998868974359,268.3814174615385,4.926486486486486,1,1,2,1,99,78,78,Q4_Alto,Q2_Médio-Baixo
61399566,249.98761815,266.498998275,5.1190625,1,1,2,1,53,40,40,Q1_Baixo,Q2_Médio-Baixo
61399570,263.93697977419356,251.06448932258064,4.162068965517241,1,1,2,1,43,31,31,Q2_Médio-Baixo,Q1_Baixo
61399572,268.2777417142857,269.65155757142855,4.7457142857142856,3,1,2,1,14,14,14,Q3_Médio-Alto,Q2_Médio-Baixo
61399575,226.0082475,246.6637691,4.51,1,1,2,1,21,10,10,Q1_Baixo,Q1_Baixo
61399576,284.0121845625,287.8222164375,4.759375,5,1,2,1,18,16,16,Q4_Alto,Q4_Alto
61399577,263.2205927826087,276.710488,5.0535,1,1,2,1,27,23,23,Q2_Médio-Baixo,Q3_Médio-Alto
61399584,247.4838,244.18380684210527,3.971111111111111,2,1,2,1,19,19,19,Q1_Baixo,Q1_Baixo
61399585,250.23565888,269.98723254,4.459555555555555,1,1,2,1,78,50,50,Q1_Baixo,Q2_Médio-Baixo
61399587,238.7818598125,231.458094,3.990625,1,1,2,1,19,16,16,Q1_Baixo,Q1_Baixo
61399591,276.3389737708333,268.57369489583334,4.855869565217391,1,1,2,1,59,48,48,Q3_Médio-Alto,Q2_Médio-Baixo
61399595,284.8558235,278.34976895833336,4.95375,4,1,2,1,31,24,24,Q4_Alto,Q3_Médio-Alto
61399596,265.21304539215686,255.26384911764706,4.424318181818181,1,1,2,1,75,51,51,Q2_Médio-Baixo,Q1_Baixo
61399597,268.66357131395347,269.38925159302323,4.849166666666667,1,1,2,1,107,86,86,Q3_Médio-Alto,Q2_Médio-Baixo
61399599,272.1465327407407,272.65589553703705,4.990377358490566,4,1,2,1,64,54,54,Q3_Médio-Alto,Q2_Médio-Baixo
61399604,236.5954225,228.7382897,4.107142857142857,1,1,2,1,12,10,10,Q1_Baixo,Q1_Baixo
61399605,271.58856575657893,275.7853874144737,4.6253496503496505,1,1,2,1,358,304,304,Q3_Médio-Alto,Q3_Médio-Alto
61399610,257.22160263157895,261.6408492368421,4.488125,1,1,2,1,49,38,38,Q1_Baixo,Q2_Médio-Baixo
61399617,237.69784083333334,234.8076041666667,4.804285714285714,1,1,2,1,15,6,6,Q1_Baixo,Q1_Baixo
61399619,274.4299248,262.446521,5.512857142857143,1,1,2,1,20,15,15,Q3_Médio-Alto,Q2_Médio-Baixo
61399620,265.99765931818183,267.2248651818182,4.8805,4,1,2,1,24,22,22,Q2_Médio-Baixo,Q2_Médio-Baixo
61399621,273.47898207142856,276.4710690714286,4.282142857142857,3,1,2,1,17,14,14,Q3_Médio-Alto,Q3_Médio-Alto
61399626,273.91885443262413,289.92404183687944,5.462265625,1,1,2,1,181,141,141,Q3_Médio-Alto,Q4_Alto
61399627,265.1654990608696,270.41324771304346,5.055794392523365,1,1,2,1,143,115,115,Q2_Médio-Baixo,Q2_Médio-Baixo
61399628,279.97355275949366,4152.512837670886,5.135,1,1,2,1,112,79,79,Q3_Médio-Alto,Q4_Alto
61399629,267.67667015625,299.49626225000003,4.8825806451612905,1,1,2,1,44,32,32,Q2_Médio-Baixo,Q4_Alto
61399632,267.4832014390244,276.9125187804878,5.224857142857143,1,1,2,1,57,41,41,Q2_Médio-Baixo,Q3_Médio-Alto
61399633,255.42392805555556,258.73199177777775,4.317647058823529,1,1,2,2,22,18,18,Q1_Baixo,Q1_Baixo
61399634,238.61590508333333,231.70993866666666,3.719,2,1,2,2,14,12,12,Q1_Baixo,Q1_Baixo
61399640,298.7106489583333,298.5877762083333,5.26625,5,1,2,1,28,24,24,Q4_Alto,Q4_Alto
61399642,257.0438903877551,269.15607593877553,5.00734693877551,4,1,2,1,58,49,49,Q1_Baixo,Q2_Médio-Baixo
61399643,279.59484560869566,296.6527594347826,4.460952380952381,1,1,2,1,31,23,23,Q3_Médio-Alto,Q4_Alto
61399648,289.9928035,293.17370566666665,5.0808333333333335,6,1,2,1,15,12,12,Q4_Alto,Q4_Alto
61399649,287.74004523255815,288.3674378139535,5.249047619047619,5,1,2,1,57,43,43,Q4_Alto,Q4_Alto
61399652,276.3908680705882,277.8413473647059,5.136,5,1,2,1,107,85,85,Q3_Médio-Alto,Q3_Médio-Alto
61399653,281.87602686363635,290.7164421818182,5.014,1,1,2,1,33,22,22,Q4_Alto,Q4_Alto
61399662,233.36818423809524,219.4639333809524,3.966818181818182,1,1,2,1,33,21,21,Q1_Baixo,Q1_Baixo
61399663,297.1787202643678,298.79134964367813,5.192439024390244,1,1,2,1,187,87,87,Q4_Alto,Q4_Alto
61399664,246.76897797530864,243.26331271604937,4.184935064935065,1,1,2,1,104,81,81,Q1_Baixo,Q1_Baixo
61399665,267.9807884891304,268.79850867391303,5.284331983805668,1,1,2,1,342,276,276,Q2_Médio-Baixo,Q2_Médio-Baixo
61399667,248.0878385,250.4188579072165,4.614673913043478,4,1,2,1,226,194,194,Q1_Baixo,Q1_Baixo
61399668,270.85542713793103,278.258703537931,5.242086330935252,1,1,2,1,198,145,145,Q3_Médio-Alto,Q3_Médio-Alto
61399679,264.50791873015874,282.77307993650794,4.942741935483871,1,1,2,1,85,63,63,Q2_Médio-Baixo,Q3_Médio-Alto
61399681,244.6294857254902,241.05382223529412,5.0252,1,1,2,1,86,51,51,Q1_Baixo,Q1_Baixo
61399683,11554.71902848276,261.0816822758621,5.081111111111111,1,1,2,1,48,29,29,Q4_Alto,Q2_Médio-Baixo
61399686,277.0376406981132,264.02512803773584,4.872391304347826,1,1,2,1,58,53,53,Q3_Médio-Alto,Q2_Médio-Baixo
61399689,261.65556714285714,270.7916584065934,4.908705882352941,1,1,2,1,116,91,91,Q2_Médio-Baixo,Q2_Médio-Baixo
61399692,280.8632385485714,292.1642394,5.5216071428571425,6,1,1,1,218,175,175,Q3_Médio-Alto,Q4_Alto
61399698,261.9828710952381,290.0069940952381,5.211904761904762,1,1,2,1,27,21,21,Q2_Médio-Baixo,Q4_Alto
61399849,2114.594073039216,292.6436363986928,5.494366197183099,1,1,2,1,202,153,153,Q4_Alto,Q4_Alto
61399850,263.3642566185567,259.2833722886598,5.1011702127659575,5,1,2,1,108,97,97,Q2_Médio-Baixo,Q1_Baixo
