ID_ESCOLA,TIPO_ESCOLA,AREA,LOCALIZACAO,MEDIA_MT,MEDIA_LP,FAIXA_MT,FAIXA_LP,INSE_MEDIO,GRUPO_INSE,NIVEL_INSE_MODAL,N_ALUNOS,N_ALUNOS_MT_VALIDOS,N_ALUNOS_LP_VALIDOS
61456027,Pública,Interior,Urbana,3800.6845238461538,254.2225476025641,Q4_Alto,Q1_Baixo,4.618356164383561,Baixo_INSE,2,87,78,78
61416177,Pública,Interior,Rural,3706.962992208791,302.89783982417583,Q4_Alto,Q4_Alto,5.679080459770115,Alto_INSE,1,175,91,91
61454627,Pública,Interior,Urbana,3684.2707214269662,275.99945192134834,Q4_Alto,Q3_Médio-Alto,4.624880952380952,Baixo_INSE,1,112,89,89
61458810,Pública,Interior,Urbana,3631.842744283019,273.456359245283,Q4_Alto,Q3_Médio-Alto,4.541132075471698,Baixo_INSE,4,62,53,53
61407981,Pública,Interior,Urbana,3554.875528131579,288.2741906052632,Q4_Alto,Q4_Alto,5.294266666666666,Alto_INSE,5,97,76,76
61433407,Pública,Interior,Urbana,3549.7563099294116,278.34165147058826,Q4_Alto,Q3_Médio-Alto,5.051084337349398,Medio_INSE,5,96,85,85
61466262,Pública,Interior,Rural,3512.1102973703705,311.3475270277778,Q4_Alto,Q4_Alto,5.057452830188679,Medio_INSE,1,177,108,108
61448150,Pública,Interior,Urbana,3433.188047431818,284.01448486363637,Q4_Alto,Q3_Médio-Alto,5.070722891566265,Medio_INSE,1,112,88,88
61425393,Pública,Interior,Urbana,3422.7274299565215,257.01666243478263,Q4_Alto,Q1_Baixo,4.3148888888888886,Baixo_INSE,3,103,92,92
61405709,Pública,Interior,Urbana,3408.054337296703,292.37112673626376,Q4_Alto,Q4_Alto,5.159,Alto_INSE,1,115,91,91
61459162,Pública,Interior,Urbana,3326.110719273973,258.9972574657534,Q4_Alto,Q1_Baixo,4.782424242424242,Medio_INSE,1,129,73,73
61459210,Pública,Interior,Urbana,3321.6842160615383,257.0476107230769,Q4_Alto,Q1_Baixo,4.70728813559322,Medio_INSE,1,70,65,65
61466940,Pública,Interior,Urbana,3311.3797412857143,326.23824042857143,Q4_Alto,Q4_Alto,5.4760526315789475,Alto_INSE,1,103,84,84
61470048,Pública,Capital,Urbana,3177.123568763158,235.21479725,Q4_Alto,Q1_Baixo,4.87,Medio_INSE,1,113,76,76
61399565,Pública,Interior,Urbana,3125.998868974359,268.3814174615385,Q4_Alto,Q2_Médio-Baixo,4.926486486486486,Medio_INSE,1,99,78,78
61441998,Pública,Interior,Urbana,3065.543137147727,276.1557585113636,Q4_Alto,Q3_Médio-Alto,5.321234567901235,Alto_INSE,1,113,88,88
61431552,Pública,Interior,Urbana,3025.407504655914,272.7487180215054,Q4_Alto,Q2_Médio-Baixo,4.9994623655913975,Medio_INSE,4,103,93,93
61425646,Pública,Interior,Urbana,2893.8350314435484,292.9667483064516,Q4_Alto,Q4_Alto,5.323629032258064,Alto_INSE,5,141,124,124
61455436,Pública,Interior,Urbana,2880.1463518256883,278.9912993027523,Q4_Alto,Q3_Médio-Alto,5.211666666666667,Alto_INSE,1,127,109,109
