"PROFICIENCIA_LP_SAEB","TX_RESP_Q22b_num","TX_RESP_Q23b_num","TX_RESP_Q23i_num","TX_RESP_Q19_num"
-0.350431295170795,1.54080842691933,0.854016820293798,1.09713431434064,2.57172519756744
-0.863989773501253,1.54080842691933,0.854016820293798,1.09713431434064,-0.564525043368462
NA,NA,NA,NA,NA
-0.328931094881344,NA,NA,NA,NA
NA,1.54080842691933,0.854016820293798,1.09713431434064,1.00360007709949
NA,NA,NA,NA,NA
-0.20671577311335,-1.11462737266504,-0.587136563951986,1.09713431434064,-0.564525043368462
1.45319600404043,0.655663160391203,-0.587136563951986,0.109713431434064,-0.564525043368462
0.545480374915667,1.54080842691933,0.854016820293798,0.109713431434064,-0.564525043368462
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
-0.0607419748220944,-0.229482106136921,-0.587136563951986,-0.877707451472511,-0.564525043368462
-1.38626145271928,-0.229482106136921,0.854016820293798,0.109713431434064,-0.564525043368462
-0.0157578114883969,0.655663160391203,-0.587136563951986,0.109713431434064,-0.564525043368462
-0.0117327591093523,-0.229482106136921,-0.587136563951986,-1.86512833437909,-0.564525043368462
-1.15683736519711,-0.229482106136921,0.854016820293798,1.09713431434064,-0.564525043368462
1.61872168429446,-1.11462737266504,-0.587136563951986,-0.877707451472511,-0.564525043368462
2.32034663049464,-1.11462737266504,-0.587136563951986,0.109713431434064,1.00360007709949
0.641054547325773,-0.229482106136921,-0.587136563951986,0.109713431434064,-0.564525043368462
0.537346119780612,-1.11462737266504,-0.587136563951986,-0.877707451472511,-0.564525043368462
0.211483268976685,0.655663160391203,0.854016820293798,0.109713431434064,-0.564525043368462
-1.17363169476398,-0.229482106136921,0.854016820293798,0.109713431434064,-0.564525043368462
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
0.162205045325352,-0.229482106136921,-2.02828994819777,1.09713431434064,NA
1.43867877804816,-1.11462737266504,-0.587136563951986,0.109713431434064,-0.564525043368462
-1.42337040262275,-0.229482106136921,0.854016820293798,1.09713431434064,2.57172519756744
NA,NA,NA,NA,NA
-1.55594614680489,1.54080842691933,2.29517020453958,0.109713431434064,1.00360007709949
NA,NA,NA,NA,NA
-0.687431693503363,1.54080842691933,0.854016820293798,1.09713431434064,NA
NA,NA,NA,NA,NA
0.494023564714154,-0.229482106136921,-0.587136563951986,0.109713431434064,-0.564525043368462
0.762075407940685,-1.11462737266504,-0.587136563951986,-1.86512833437909,-0.564525043368462
-0.00545272578346479,-0.229482106136921,0.854016820293798,0.109713431434064,1.00360007709949
NA,NA,NA,NA,NA
-1.14259577790379,-1.11462737266504,-0.587136563951986,-1.86512833437909,1.00360007709949
0.185216315528596,-1.11462737266504,-2.02828994819777,-1.86512833437909,-0.564525043368462
