"PROFICIENCIA_LP_SAEB","TX_RESP_Q10b_num","TX_RESP_Q10e_num","TX_RESP_Q21a_num","TX_RESP_Q23f_num"
0.632947798557491,-0.469690939980904,0.392878985093571,NA,0.341394370999459
0.570744107728686,1.05680461495703,0.392878985093571,-0.346120814630687,-0.990043675898432
-1.53584658463425,-1.99618649491884,0.392878985093571,-0.346120814630687,0.341394370999459
-0.775072771807392,-0.469690939980904,0.392878985093571,NA,0.341394370999459
-0.434981276828872,1.05680461495703,0.392878985093571,-0.346120814630687,-0.990043675898432
-0.8101344403317,1.05680461495703,0.392878985093571,-1.57677259998424,-0.990043675898432
1.20341773770826,1.05680461495703,0.392878985093571,-0.346120814630687,1.67283241789735
1.73124962622152,1.05680461495703,0.392878985093571,0.884530970722868,0.341394370999459
1.21251227602038,1.05680461495703,0.392878985093571,-1.57677259998424,0.341394370999459
0.479832205819019,-1.99618649491884,-3.43769111956875,2.11518275607642,1.67283241789735
NA,NA,NA,NA,NA
0.105963178569865,-0.469690939980904,0.392878985093571,-1.57677259998424,0.341394370999459
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
0.0703974620595736,-0.469690939980904,0.392878985093571,NA,-0.990043675898432
-0.563314281529921,-0.469690939980904,-1.52240606723759,-1.57677259998424,0.341394370999459
NA,NA,NA,NA,NA
-3.06979528486426e-06,1.05680461495703,-1.52240606723759,-0.346120814630687,1.67283241789735
0.755127732064414,1.05680461495703,0.392878985093571,0.884530970722868,0.341394370999459
NA,NA,NA,NA,NA
-0.183354614545556,-0.469690939980904,0.392878985093571,NA,0.341394370999459
0.203166128247546,1.05680461495703,0.392878985093571,-0.346120814630687,-2.32148172279632
NA,NA,NA,NA,NA
0.0241086305688446,-0.469690939980904,0.392878985093571,0.884530970722868,0.341394370999459
0.479502164285865,1.05680461495703,0.392878985093571,0.884530970722868,0.341394370999459
0.944332302330133,-0.469690939980904,0.392878985093571,0.884530970722868,-0.990043675898432
-0.788409773906119,-0.469690939980904,0.392878985093571,-0.346120814630687,0.341394370999459
-0.43178775304266,-0.469690939980904,0.392878985093571,-0.346120814630687,-0.990043675898432
0.111318146556831,1.05680461495703,0.392878985093571,0.884530970722868,1.67283241789735
-2.86592141319358,-0.469690939980904,-1.52240606723759,0.884530970722868,0.341394370999459
-1.30316270744638,1.05680461495703,0.392878985093571,-0.346120814630687,-0.990043675898432
-1.37276276169456,-1.99618649491884,0.392878985093571,NA,-0.990043675898432
-0.792235759303682,-1.99618649491884,-3.43769111956875,-1.57677259998424,-2.32148172279632
NA,-0.469690939980904,0.392878985093571,NA,0.341394370999459
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
-1.00355742542009,-0.469690939980904,0.392878985093571,0.884530970722868,0.341394370999459
0.794557860034212,1.05680461495703,0.392878985093571,0.884530970722868,0.341394370999459
-0.927737119719827,-0.469690939980904,0.392878985093571,-1.57677259998424,-0.990043675898432
-0.31637649192628,NA,NA,NA,NA
1.21031604359915,-0.469690939980904,0.392878985093571,-0.346120814630687,0.341394370999459
-0.366103693538951,-0.469690939980904,0.392878985093571,-0.346120814630687,-0.990043675898432
0.92989719491253,-0.469690939980904,0.392878985093571,0.884530970722868,0.341394370999459
1.28387054043722,1.05680461495703,0.392878985093571,0.884530970722868,0.341394370999459
1.02284088573912,1.05680461495703,0.392878985093571,0.884530970722868,0.341394370999459
0.0391089975563623,-0.469690939980904,0.392878985093571,0.884530970722868,-0.990043675898432
1.7464816169713,1.05680461495703,0.392878985093571,-0.346120814630687,1.67283241789735
-1.08093069732324,-0.469690939980904,-1.52240606723759,NA,0.341394370999459
