"PROFICIENCIA_LP_SAEB","TX_RESP_Q10a_num","TX_RESP_Q10d_num","TX_RESP_Q21c_num","TX_RESP_Q22d_num","TX_RESP_Q22e_num","TX_RESP_Q23d_num","TX_RESP_Q23e_num","TX_RESP_Q23i_num"
-0.0974516190825921,0,0.428174419288837,1.16068658439449,-1.37111031752549,-1.41421356237309,-1.44115338424578,-1.41421356237309,1.08019013019584
0.22908656490681,-1.41421356237309,0.428174419288837,1.16068658439449,0.124646392502317,0,-0.192153784566104,0,-0.792139428810286
NA,NA,NA,NA,NA,NA,NA,NA,NA
-1.00710878379287,0,0.428174419288837,-0.515860704175329,-1.37111031752549,-1.41421356237309,-1.44115338424578,-1.41421356237309,-0.792139428810286
-0.225442586872094,-1.41421356237309,-2.14087209644419,-0.515860704175329,-1.37111031752549,-1.41421356237309,1.05684581511358,0,-0.792139428810286
NA,NA,NA,NA,NA,NA,NA,NA,NA
0.0438773063368368,0,0.428174419288837,-1.35413434846024,0.124646392502317,1.41421356237309,-1.44115338424578,-1.41421356237309,-0.792139428810286
0.36397360510469,1.41421356237309,0.428174419288837,0.32241294010958,1.62040310253013,1.41421356237309,-0.192153784566104,0,-0.792139428810286
1.68534526578072,1.41421356237309,0.428174419288837,1.16068658439449,1.62040310253013,1.41421356237309,1.05684581511358,1.41421356237309,1.08019013019584
-0.91950542045552,0,0.428174419288837,0.32241294010958,0.124646392502317,0,-0.192153784566104,0,0.144025350692779
0.109066184878034,0,NA,-1.35413434846024,NA,0,1.05684581511358,1.41421356237309,0.144025350692779
-0.645917793702454,-1.41421356237309,0.428174419288837,-0.515860704175329,0.124646392502317,0,1.05684581511358,0,-0.792139428810286
2.11089975059765,0,0.428174419288837,0.32241294010958,0.124646392502317,0,1.05684581511358,1.41421356237309,1.08019013019584
-1.46044893709555,0,-2.14087209644419,-1.35413434846024,0.124646392502317,0,-0.192153784566104,0,-0.792139428810286
-0.186373536603663,1.41421356237309,0.428174419288837,1.16068658439449,0.124646392502317,0,-0.192153784566104,0,2.01635490969891
NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA
