"PROFICIENCIA_LP_SAEB","TX_RESP_Q21a_num","TX_RESP_Q23g_num"
-0.111267662944734,-0.089416424018106,0.192048123851535
1.17140266766943,-0.089416424018106,1.57479461558259
1.87926491631973,1.47537099629875,0.192048123851535
-0.00893727220515881,-1.65420384433497,-1.19069836787952
NA,NA,NA
NA,NA,NA
NA,NA,NA
-0.102080893894356,1.47537099629875,1.57479461558259
NA,NA,NA
-0.92251010688296,1.47537099629875,1.57479461558259
0.0256937434610081,-0.089416424018106,-1.19069836787952
1.56774316997042,1.47537099629875,0.192048123851535
0.74980581998816,1.47537099629875,-1.19069836787952
NA,NA,NA
0.155946280836978,-0.089416424018106,0.192048123851535
-0.0821802060710175,-0.089416424018106,-1.19069836787952
0.664478014128963,-0.089416424018106,-1.19069836787952
-1.3890444048403,-0.089416424018106,0.192048123851535
-1.10817150435594,-0.089416424018106,0.192048123851535
1.16096425289069,-0.089416424018106,-1.19069836787952
-0.365770911868928,1.47537099629875,0.192048123851535
-0.673320649599727,-1.65420384433497,0.192048123851535
0.429465411288446,-0.089416424018106,0.192048123851535
NA,-0.089416424018106,1.57479461558259
-0.152912221832827,NA,NA
-0.0462048728470376,-0.089416424018106,0.192048123851535
0.810509416628431,-0.089416424018106,-1.19069836787952
-0.340548828798532,-0.089416424018106,-1.19069836787952
-0.702833355425299,-0.089416424018106,0.192048123851535
-0.580863794829634,-0.089416424018106,0.192048123851535
0.269902009266913,-0.089416424018106,0.192048123851535
-1.37533466526542,-0.089416424018106,0.192048123851535
NA,NA,NA
NA,NA,NA
-1.10414491106215,-1.65420384433497,0.192048123851535
NA,NA,NA
NA,NA,NA
NA,NA,NA
-2.49546736268921,-1.65420384433497,0.192048123851535
NA,NA,NA
0.819289991824657,-1.65420384433497,0.192048123851535
NA,NA,NA
1.12668104460035,-0.089416424018106,0.192048123851535
1.59431210513399,-0.089416424018106,-2.57344485961057
0.687078742477069,1.47537099629875,0.192048123851535
-1.13462239929518,-0.089416424018106,0.192048123851535
1.02045862135366,1.47537099629875,-1.19069836787952
NA,NA,NA
NA,NA,NA
0.0218664568118587,NA,1.57479461558259
-1.45864663994236,-1.65420384433497,1.57479461558259
