"ID_UF","ID_MUNICIPIO","ID_AREA","ID_ESCOLA","IN_PUBLICA","ID_LOCALIZACAO","ID_TURMA","ID_SERIE","ID_ALUNO","IN_SITUACAO_CENSO","IN_PREENCHIMENTO_LP","IN_PREENCHIMENTO_MT","IN_PRESENCA_LP","IN_PRESENCA_MT","ID_CADERNO_LP","ID_BLOCO_1_LP","ID_BLOCO_2_LP","ID_CADERNO_MT","ID_BLOCO_1_MT","ID_BLOCO_2_MT","IN_PROFICIENCIA_LP","IN_PROFICIENCIA_MT","IN_AMOSTRA","ESTRATO","PESO_ALUNO_LP","PROFICIENCIA_LP","ERRO_PADRAO_LP","PROFICIENCIA_LP_SAEB","ERRO_PADRAO_LP_SAEB","PESO_ALUNO_MT","PROFICIENCIA_MT","ERRO_PADRAO_MT","PROFICIENCIA_MT_SAEB","ERRO_PADRAO_MT_SAEB","IN_PREENCHIMENTO_QUESTIONARIO","IN_INSE","INSE_ALUNO","NU_TIPO_NIVEL_INSE","PESO_ALUNO_INSE","TX_RESP_Q01","TX_RESP_Q02","TX_RESP_Q03","TX_RESP_Q04","TX_RESP_Q05a","TX_RESP_Q05b","TX_RESP_Q05c","TX_RESP_Q06","TX_RESP_Q07a","TX_RESP_Q07b","TX_RESP_Q07c","TX_RESP_Q07d","TX_RESP_Q07e","TX_RESP_Q08","TX_RESP_Q09","TX_RESP_Q10a","TX_RESP_Q10b","TX_RESP_Q10c","TX_RESP_Q10d","TX_RESP_Q10e","TX_RESP_Q10f","TX_RESP_Q11a","TX_RESP_Q11b","TX_RESP_Q11c","TX_RESP_Q12a","TX_RESP_Q12b","TX_RESP_Q12c","TX_RESP_Q12d","TX_RESP_Q12e","TX_RESP_Q12f","TX_RESP_Q12g","TX_RESP_Q13a","TX_RESP_Q13b","TX_RESP_Q13c","TX_RESP_Q13d","TX_RESP_Q13e","TX_RESP_Q13f","TX_RESP_Q13g","TX_RESP_Q13h","TX_RESP_Q13i","TX_RESP_Q14","TX_RESP_Q15a","TX_RESP_Q15b","TX_RESP_Q16","TX_RESP_Q17","TX_RESP_Q18","TX_RESP_Q19","TX_RESP_Q20","TX_RESP_Q21a","TX_RESP_Q21b","TX_RESP_Q21c","TX_RESP_Q21d","TX_RESP_Q21e","TX_RESP_Q22a","TX_RESP_Q22b","TX_RESP_Q22c","TX_RESP_Q22d","TX_RESP_Q22e","TX_RESP_Q22f","TX_RESP_Q22g","TX_RESP_Q22h","TX_RESP_Q23a","TX_RESP_Q23b","TX_RESP_Q23c","TX_RESP_Q23d","TX_RESP_Q23e","TX_RESP_Q23f","TX_RESP_Q23g","TX_RESP_Q23h","TX_RESP_Q23i","TX_RESP_Q24","TX_RESP_Q25"
31,6324414,2,61425385,1,1,1526491,12,52573242,1,1,1,1,1,1,1,2,1,1,2,1,1,0,63244142112,1.1666666667,1.241884,0.345899,318.404556,19.056739,1.1666666667,-0.893161,0.700025,200.043534,39.126027,1,1,4.47,3,1.3333333333,2,1,1,1,1,1,1,4,2,2,1,1,2,2,2,2,2,3,2,3,3,2,2,2,1,2,3,3,3,1,4,1,2,2,1,2,1,1,2,1,1,2,1,4,2,1,1,1,2,2,2,1,4,2,2,2,2,3,2,1,2,2,2,2,2,2,2,2,2,2,3,1
31,6324414,2,61425385,1,1,1526491,12,52573243,1,1,1,1,1,7,7,1,7,7,1,1,1,0,63244142112,1.1666666667,0.659617,0.370751,286.325509,20.425919,1.1666666667,0.19023,0.683595,260.596779,38.207716,1,1,4.78,4,1.3333333333,2,2,1,1,1,1,1,2,2,2,1,1,1,NA,NA,1,3,3,3,3,3,2,2,2,1,1,NA,2,3,2,4,1,2,2,2,1,1,2,2,2,1,1,1,1,3,1,2,1,2,1,3,3,3,1,3,3,3,3,2,2,3,2,3,2,2,2,3,3,2,2,2,1
31,6324414,2,61425385,1,1,1526491,12,52573244,1,1,1,1,1,20,6,2,20,6,2,1,1,0,63244142112,1.1666666667,0.674957,0.358298,287.170641,19.739842,1.1666666667,-0.036804,0.510801,247.90732,28.549857,1,1,4.57,4,1.3333333333,2,2,1,1,1,1,1,4,2,2,NA,NA,2,2,1,3,3,3,3,3,3,2,2,2,1,1,3,2,2,2,2,1,2,2,1,2,2,2,2,2,2,2,1,4,2,1,1,1,2,2,3,1,1,3,3,3,3,3,3,2,3,2,2,2,2,2,2,4,2,2,1,1
31,6324414,2,61425385,1,1,1526491,12,52573245,1,0,0,0,0,19,5,1,19,5,1,0,0,0,63244142112,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
31,6324414,2,61425385,1,1,1526491,12,52573246,1,1,1,1,1,17,3,6,17,3,6,1,1,0,63244142112,1.1666666667,1.460862,0.382783,330.46879,21.088803,1.1666666667,0.958605,0.524355,303.543046,29.307422,1,1,4.43,3,1.3333333333,2,1,1,3,1,1,1,2,2,2,1,1,1,4,3,3,3,3,3,3,3,1,1,NA,1,1,3,2,2,2,4,1,2,2,2,2,1,1,2,1,3,2,1,3,2,1,1,1,3,2,3,1,3,2,2,2,3,3,1,1,3,2,2,2,2,2,2,2,1,2,3,2
31,6324414,2,61425385,1,1,1526491,12,52573247,1,1,1,1,1,4,4,5,4,4,5,1,1,0,63244142112,1.1666666667,-0.288451,0.416557,234.093254,22.949526,1.1666666667,-0.222309,0.681348,237.539013,38.082126,1,1,4.18,3,1.3333333333,2,2,1,1,1,1,1,2,2,2,1,1,1,2,2,1,2,3,3,3,2,1,2,2,1,1,2,2,2,2,3,1,2,2,1,2,1,1,2,2,1,2,1,3,3,1,1,1,2,1,3,1,4,1,2,2,2,2,2,1,1,2,2,2,2,3,3,2,2,2,3,NA
31,6324414,2,61425385,1,1,1526491,12,52573248,1,1,1,1,1,6,6,7,6,6,7,1,1,0,63244142112,1.1666666667,0.16511,0.379546,259.081455,20.910465,1.1666666667,0.759284,0.462309,292.402531,25.839526,1,1,5.59,6,1.3333333333,1,2,1,3,1,NA,NA,4,1,1,NA,NA,1,4,4,3,3,3,3,3,3,2,2,2,1,2,1,3,2,2,4,2,2,2,2,2,2,2,2,2,1,2,NA,4,2,1,1,1,3,3,3,3,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2
31,6324414,2,61425385,1,1,1526491,12,52573249,1,1,1,1,1,2,2,3,2,2,3,1,1,0,63244142112,1.1666666667,0.00345,0.447564,250.175062,24.657806,1.1666666667,0.258232,0.514735,264.397569,28.769737,1,0,NA,1,NA,1,2,1,2,1,1,1,3,2,2,1,1,1,4,3,3,2,3,3,3,3,1,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,3,3,2,3,3,2,2,2,1,2,2,2,3,2,2,2,3,2
31,6324414,2,61425385,1,1,1526491,12,52573250,1,1,1,1,1,3,3,4,3,3,4,1,1,0,63244142112,1.1666666667,0.525422,0.314363,278.932255,17.319315,1.1666666667,-0.646329,0.768838,213.839549,42.972146,1,1,4.54,4,1.3333333333,1,2,1,3,1,1,1,2,1,1,2,2,1,1,3,1,2,3,2,3,3,2,2,2,1,1,NA,3,2,2,4,1,2,2,1,1,1,2,2,2,1,2,1,4,2,1,1,1,1,1,2,3,4,2,1,2,2,2,2,2,2,2,3,2,2,3,3,2,2,3,2,2
31,6324414,2,61425385,1,1,1526491,12,52573251,1,1,1,1,1,15,1,4,15,1,4,1,1,0,63244142112,1.1666666667,-0.881747,0.468958,201.406583,25.836473,1.1666666667,-0.440699,0.73848,225.332688,41.275366,1,1,4.41,3,1.3333333333,1,1,1,3,1,1,1,3,2,2,1,1,2,4,4,2,1,1,1,2,2,1,2,2,3,4,3,3,3,4,1,1,1,2,1,1,1,1,1,1,3,2,1,1,2,1,1,1,1,1,1,3,1,3,3,3,3,3,3,2,3,3,3,3,3,3,2,3,2,2,4,1
