"Variavel","Correlacao_Matematica"
"PROFICIENCIA_LP_SAEB",0.573639270459603
"TX_RESP_Q10b",0.303433310040611
"TX_RESP_Q21a",0.345624189809558
"TX_RESP_Q21b",0.325435482269421
