"PROFICIENCIA_MT_SAEB","TX_RESP_Q10c_num","TX_RESP_Q10d_num","TX_RESP_Q10e_num","TX_RESP_Q10f_num","TX_RESP_Q21a_num","TX_RESP_Q22a_num","TX_RESP_Q22e_num","TX_RESP_Q22h_num","TX_RESP_Q23c_num"
0.962831994412711,-0.947514248563855,-1.67192430328038,0.383135921831943,-1.28389670489001,1.05056854489173,-0.120344333562863,-2.12132034355964,-0.729963161317497,0.147937560766432
0.42353605828136,0.526396804757697,0.907616050352208,0.383135921831943,1.19218979739787,-0.331758487860546,-0.120344333562863,0,1.67462137008132,0.147937560766432
0.601820587404543,0.526396804757697,-0.382154126464088,0.383135921831943,-0.0458534537460721,-1.71408552061282,-0.120344333562863,-2.12132034355964,-0.729963161317497,0.147937560766432
0.656557954938344,0.526396804757697,0.907616050352208,0.383135921831943,1.19218979739787,1.05056854489173,-1.28367289133721,0,-0.729963161317497,-1.18350048613146
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-0.472750603217706,0.526396804757697,0.907616050352208,0.383135921831943,-0.0458534537460721,-0.331758487860546,1.04298422421148,2.12132034355964,0.47232910438191,0.147937560766432
-1.0566022974998,0.526396804757697,-1.67192430328038,0.383135921831943,-1.28389670489001,1.05056854489173,1.04298422421148,0,-0.729963161317497,1.47937560766432
-1.80993813641564,0.526396804757697,NA,NA,NA,NA,-0.120344333562863,0,1.67462137008132,0.147937560766432
1.19551884106302,-2.42142530188541,-1.67192430328038,0.383135921831943,1.19218979739787,1.05056854489173,-1.28367289133721,0,-0.729963161317497,0.147937560766432
0.496515809847579,-0.947514248563855,-0.382154126464088,-1.68579805606055,-0.0458534537460721,-0.331758487860546,-0.120344333562863,2.12132034355964,0.47232910438191,0.147937560766432
-1.28339830357817,-2.42142530188541,NA,NA,NA,-1.71408552061282,1.04298422421148,NA,NA,NA
1.800948657017,-0.947514248563855,-0.382154126464088,-1.68579805606055,1.19218979739787,1.05056854489173,-2.44700144911155,-2.12132034355964,-1.9322554270169,0.147937560766432
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0.519335015304533,0.526396804757697,-0.382154126464088,0.383135921831943,-0.0458534537460721,1.05056854489173,-1.28367289133721,0,0.47232910438191,0.147937560766432
0.0205843915101092,0.526396804757697,-0.382154126464088,0.383135921831943,-0.0458534537460721,-1.71408552061282,-0.120344333562863,0,0.47232910438191,-1.18350048613146
-0.303887561204043,0.526396804757697,0.907616050352208,0.383135921831943,1.19218979739787,-0.331758487860546,1.04298422421148,0,0.47232910438191,-1.18350048613146
-0.951465044946173,0.526396804757697,0.907616050352208,0.383135921831943,-0.0458534537460721,-0.331758487860546,1.04298422421148,0,1.67462137008132,1.47937560766432
0.031796271507652,0.526396804757697,0.907616050352208,0.383135921831943,1.19218979739787,-0.331758487860546,-1.28367289133721,0,-0.729963161317497,0.147937560766432
-0.387590279120043,NA,0.907616050352208,0.383135921831943,-1.28389670489001,NA,-0.120344333562863,0,1.67462137008132,NA
0.774245044605988,-2.42142530188541,-1.67192430328038,0.383135921831943,-1.28389670489001,-0.331758487860546,-1.28367289133721,0,-0.729963161317497,-2.51493853302935
-0.0399800159949172,0.526396804757697,-0.382154126464088,0.383135921831943,-0.0458534537460721,-0.331758487860546,-1.28367289133721,0,-0.729963161317497,0.147937560766432
0.575377287614205,0.526396804757697,0.907616050352208,0.383135921831943,1.19218979739787,-0.331758487860546,-0.120344333562863,0,-0.729963161317497,0.147937560766432
2.19683678780287,0.526396804757697,-0.382154126464088,-3.75473203395304,1.19218979739787,1.05056854489173,-0.120344333562863,0,-0.729963161317497,-1.18350048613146
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0.646123324892383,-0.947514248563855,-0.382154126464088,0.383135921831943,-0.0458534537460721,-0.331758487860546,1.04298422421148,0,-0.729963161317497,-1.18350048613146
-0.962299708224907,0.526396804757697,0.907616050352208,0.383135921831943,-1.28389670489001,NA,-0.120344333562863,0,1.67462137008132,1.47937560766432
-0.0636129288895741,0.526396804757697,0.907616050352208,0.383135921831943,-1.28389670489001,1.05056854489173,1.04298422421148,0,-0.729963161317497,-1.18350048613146
0.1451971189648,0.526396804757697,0.907616050352208,0.383135921831943,-1.28389670489001,1.05056854489173,1.04298422421148,0,0.47232910438191,0.147937560766432
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0.158030704611732,0.526396804757697,-0.382154126464088,-1.68579805606055,-1.28389670489001,1.05056854489173,1.04298422421148,0,-0.729963161317497,1.47937560766432
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-0.879730944545831,0.526396804757697,0.907616050352208,0.383135921831943,-0.0458534537460721,-0.331758487860546,1.04298422421148,0,0.47232910438191,0.147937560766432
-0.758262512148293,0.526396804757697,-1.67192430328038,0.383135921831943,1.19218979739787,-1.71408552061282,-0.120344333562863,0,-0.729963161317497,0.147937560766432
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-2.23573751399373,0.526396804757697,0.907616050352208,0.383135921831943,-0.0458534537460721,NA,1.04298422421148,2.12132034355964,0.47232910438191,1.47937560766432
