"PROFICIENCIA_MT_SAEB","TX_RESP_Q19_num"
1.02795118520224,-0.629469140734553
0.857241604003551,-0.629469140734553
-0.584296251786975,-0.629469140734553
-1.26210128362447,1.09107984393989
0.407088280242271,-0.629469140734553
-0.0962934341921846,-0.629469140734553
-0.888531614441022,-0.629469140734553
0.21421028663163,1.09107984393989
-0.184850284406089,1.09107984393989
-0.2168051416932,2.81162882861434
-0.835368884272503,-0.629469140734553
0.076865696493703,-0.629469140734553
-0.146389134503136,-0.629469140734553
NA,NA
-0.608496692275044,1.09107984393989
0.153782171998676,-0.629469140734553
0.405378860978218,-0.629469140734553
0.52791677225442,-0.629469140734553
-2.18365955158027,-0.629469140734553
0.157290046588986,-0.629469140734553
-1.03832090741096,-0.629469140734553
0.948175004058462,1.09107984393989
0.738442214858082,-0.629469140734553
-1.53334096290903,1.09107984393989
NA,NA
NA,NA
1.03056859469876,-0.629469140734553
2.08891237213906,-0.629469140734553
NA,NA
0.0205162379422206,-0.629469140734553
0.810363268420813,-0.629469140734553
-0.955150699783401,2.81162882861434
0.29925633704579,-0.629469140734553
-1.29070298900608,1.09107984393989
1.54467979451819,-0.629469140734553
-1.25226811375217,1.09107984393989
0.644554196565351,-0.629469140734553
-0.697692935812146,1.09107984393989
-0.945794887525899,1.09107984393989
0.0950123899364154,-0.629469140734553
NA,NA
-0.105412748490389,-0.629469140734553
3.06168016613438,-0.629469140734553
0.0126975971252973,-0.629469140734553
-0.0649049705820826,1.09107984393989
NA,NA
-0.232201589789479,-0.629469140734553
