"PROFICIENCIA_MT_SAEB","TX_RESP_Q21c_num","TX_RESP_Q22a_num","TX_RESP_Q22g_num","TX_RESP_Q22h_num","TX_RESP_Q23b_num","TX_RESP_Q23c_num"
-0.185708629670658,0,1.19361914405715,0.998131353135015,1.11227219028768,-0.41615690493855,1.61245154965971
-0.185860996831563,NA,1.19361914405715,0.998131353135015,0.0717594961475925,-0.41615690493855,-1.61245154965971
NA,NA,NA,NA,NA,NA,NA
-0.185264877619238,1.04083299973307,-0.90425692731602,-0.609969160249176,0.0717594961475925,-0.41615690493855,0
-0.185700688946268,1.04083299973307,0.144681108370563,-0.609969160249176,-0.968753197992497,-0.41615690493855,0
-0.186915172399902,0,-0.90425692731602,-0.609969160249176,-0.968753197992497,0.878553465981382,NA
-0.18609697498097,0,0.144681108370563,-0.609969160249176,0.0717594961475925,0.878553465981382,0
NA,NA,NA,NA,NA,NA,NA
5.1994681504134,NA,-1.9531949630026,0.998131353135015,-2.00926589213259,-0.41615690493855,0
-0.185190835013702,-1.04083299973307,-0.90425692731602,-0.609969160249176,-0.968753197992497,-0.41615690493855,1.61245154965971
-0.185641336672631,1.04083299973307,0.144681108370563,0.998131353135015,0.0717594961475925,0.878553465981382,0
-0.184398207809286,1.04083299973307,-1.9531949630026,-2.21806967363337,-2.00926589213259,-1.71086727585848,-1.61245154965971
-0.185040294033595,0,-0.90425692731602,-0.609969160249176,-0.968753197992497,-1.71086727585848,0
NA,NA,NA,NA,NA,NA,NA
-0.186669694782182,1.04083299973307,-0.90425692731602,-0.609969160249176,0.0717594961475925,-1.71086727585848,0
-0.185565831813556,-2.08166599946613,0.144681108370563,-0.609969160249176,0.0717594961475925,-0.41615690493855,-1.61245154965971
-0.18680371556625,1.04083299973307,0.144681108370563,0.998131353135015,1.11227219028768,0.878553465981382,1.61245154965971
NA,NA,NA,NA,NA,NA,NA
-0.185541928787761,-1.04083299973307,0.144681108370563,0.998131353135015,1.11227219028768,-0.41615690493855,0
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
-0.185978767618974,1.04083299973307,1.19361914405715,0.998131353135015,1.11227219028768,0.878553465981382,0
NA,NA,NA,NA,NA,NA,NA
-0.185698125686158,0,1.19361914405715,-0.609969160249176,-0.968753197992497,0.878553465981382,0
-0.185804478017417,-1.04083299973307,1.19361914405715,0.998131353135015,-0.968753197992497,-0.41615690493855,0
-0.186901423178104,1.04083299973307,-0.90425692731602,0.998131353135015,1.11227219028768,-0.41615690493855,0
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
-0.18395857041166,0,-0.90425692731602,-0.609969160249176,0.0717594961475925,-0.41615690493855,0
-0.185030717379554,-1.04083299973307,0.144681108370563,-2.21806967363337,-0.968753197992497,-0.41615690493855,-1.61245154965971
-0.186225973989831,1.04083299973307,1.19361914405715,0.998131353135015,-0.968753197992497,2.17326383690131,1.61245154965971
-0.186770520786273,1.04083299973307,1.19361914405715,0.998131353135015,1.11227219028768,-0.41615690493855,0
NA,NA,NA,NA,NA,NA,NA
-0.185758948467966,-2.08166599946613,1.19361914405715,0.998131353135015,1.11227219028768,2.17326383690131,1.61245154965971
-0.185604686195165,-1.04083299973307,0.144681108370563,-0.609969160249176,1.11227219028768,-0.41615690493855,0
-0.185256720926088,0,-0.90425692731602,-0.609969160249176,0.0717594961475925,0.878553465981382,-1.61245154965971
NA,NA,NA,NA,NA,NA,NA
-0.185186761715278,0,0.144681108370563,-0.609969160249176,1.11227219028768,0.878553465981382,0
NA,NA,NA,NA,NA,NA,NA
-0.184845769389153,-1.04083299973307,-0.90425692731602,-0.609969160249176,0.0717594961475925,-0.41615690493855,0
NA,NA,NA,NA,NA,NA,NA
-0.186047501724216,0,1.19361914405715,0.998131353135015,1.11227219028768,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
