"PROFICIENCIA_LP_SAEB","TX_RESP_Q10c_num","TX_RESP_Q10f_num","TX_RESP_Q21d_num","TX_RESP_Q22a_num","TX_RESP_Q23a_num","TX_RESP_Q23d_num","TX_RESP_Q23h_num","TX_RESP_Q23i_num"
NA,NA,NA,NA,NA,NA,NA,NA,NA
-1.55062055462673,0.277350098112615,0.277350098112614,-0.640512615220349,1.41421356237309,-0.318297535060383,-1.22474487139159,-0.889499179993322,-0.699062073642556
0.930386307404346,0.277350098112615,0.277350098112614,1.44115338424578,-1.41421356237309,-0.318297535060383,0,-0.889499179993322,-0.699062073642556
-1.08746413956164,-3.32820117735137,-3.32820117735137,1.44115338424578,-1.41421356237309,-1.69758685365538,-2.44948974278318,-0.889499179993322,-2.21369656653476
0.298615362205693,0.277350098112615,0.277350098112614,-0.640512615220349,0,1.06099178353461,0,-0.889499179993322,0.815572419249648
-0.0651558975316572,0.277350098112615,0.277350098112614,-0.640512615220349,0,1.06099178353461,0,1.03774904332554,0.815572419249648
1.28810352528142,0.277350098112615,0.277350098112614,-0.640512615220349,0,1.06099178353461,0,1.03774904332554,0.815572419249648
0.0599224446348124,0.277350098112615,0.277350098112614,-0.640512615220349,1.41421356237309,-0.318297535060383,0,-0.889499179993322,-0.699062073642556
0.563426947497229,0.277350098112615,0.277350098112614,-0.640512615220349,0,1.06099178353461,1.22474487139159,1.03774904332554,0.815572419249648
1.15220773760787,0.277350098112615,0.277350098112614,-0.640512615220349,0,-0.318297535060383,1.22474487139159,1.03774904332554,0.815572419249648
1.17440182733849,0.277350098112615,0.277350098112614,-0.640512615220349,-1.41421356237309,-0.318297535060383,1.22474487139159,1.03774904332554,0.815572419249648
-0.799577088955712,0.277350098112615,0.277350098112614,-0.640512615220349,1.41421356237309,1.06099178353461,0,1.03774904332554,0.815572419249648
-0.667120637256842,0.277350098112615,0.277350098112614,1.44115338424578,0,-0.318297535060383,0,-0.889499179993322,-0.699062073642556
-1.29712583403728,0.277350098112615,0.277350098112614,1.44115338424578,0,-1.69758685365538,0,-0.889499179993322,-0.699062073642556
NA,NA,NA,NA,NA,NA,NA,NA,NA
