"PROFICIENCIA_MT_SAEB","TX_RESP_Q10c_num","TX_RESP_Q21b_num","TX_RESP_Q22b_num","TX_RESP_Q23a_num","TX_RESP_Q23b_num","TX_RESP_Q23c_num","TX_RESP_Q23f_num","TX_RESP_Q20_num"
NA,NA,NA,NA,NA,NA,NA,NA,NA
-1.58492946106847,0.449466574975494,1.2721562869324,1.96812544990437,-0.301511344577763,0.16854996561581,NA,0.661107356684931,3.01511344577764
-0.306521601539761,0.449466574975494,-0.282701397096088,0.42174116783665,-0.301511344577763,0.16854996561581,0.135526185435788,0.661107356684931,-0.301511344577763
0.336643823054702,-2.02259958738973,-1.06013023911033,-1.12464311423107,-0.301511344577763,-1.68549965615811,0.135526185435788,-0.793328828021918,-0.301511344577763
2.43747447137652,0.449466574975494,0.494727444918154,-1.12464311423107,-0.301511344577763,0.16854996561581,0.135526185435788,-0.793328828021918,-0.301511344577763
0.163197794589495,-2.02259958738973,-1.06013023911033,0.42174116783665,-0.301511344577763,0.16854996561581,0.135526185435788,0.661107356684931,-0.301511344577763
-0.331918762119172,0.449466574975494,1.2721562869324,-1.12464311423107,-0.301511344577763,0.16854996561581,0.135526185435788,-0.793328828021918,-0.301511344577763
0.151829753506209,0.449466574975494,-1.06013023911033,0.42174116783665,-0.301511344577763,0.16854996561581,0.135526185435788,0.661107356684931,-0.301511344577763
-0.103449303684291,0.449466574975494,0.494727444918154,-1.12464311423107,-0.301511344577763,-1.68549965615811,-2.57499752327997,-2.24776501272877,-0.301511344577763
NA,NA,NA,NA,NA,NA,NA,NA,NA
-0.517892980937583,0.449466574975494,1.2721562869324,0.42174116783665,-0.301511344577763,0.16854996561581,0.135526185435788,0.661107356684931,-0.301511344577763
-0.782060623497793,0.449466574975494,-0.282701397096088,0.42174116783665,3.01511344577764,2.02259958738973,1.49078803979366,0.661107356684931,-0.301511344577763
0.537626890320132,0.449466574975494,-1.06013023911033,0.42174116783665,-0.301511344577763,0.16854996561581,0.135526185435788,0.661107356684931,-0.301511344577763
NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA
