"PROFICIENCIA_MT_SAEB","TX_RESP_Q10a_num","TX_RESP_Q21b_num","TX_RESP_Q22d_num","TX_RESP_Q23c_num","TX_RESP_Q23h_num","TX_RESP_Q20_num"
2.77605188191811,0,-0.833410849107961,0.637022057270606,0.948683298050514,-1.36626010212795,-0.258198889747161
-0.655213661641675,-1.3228756555323,-0.833410849107961,-1.27404411454121,-0.632455532033676,0.683130051063974,-0.258198889747161
-0.544206524238689,NA,1.51055716400818,-1.27404411454121,0.948683298050514,0.683130051063974,-0.258198889747161
NA,NA,NA,NA,NA,NA,NA
-0.437830014290863,-1.3228756555323,-0.833410849107961,0.637022057270606,-0.632455532033676,-1.36626010212795,-0.258198889747161
0.510429548770622,0,-0.0520881780692477,NA,NA,NA,-0.258198889747161
0.315388111364456,0,-0.833410849107961,-0.318511028635303,0.948683298050514,-1.36626010212795,-0.258198889747161
0.699481345846876,1.3228756555323,NA,0.637022057270606,0.948683298050514,0.683130051063974,NA
NA,NA,NA,NA,NA,NA,NA
1.4794783180242,1.3228756555323,-0.0520881780692477,-0.318511028635303,-0.632455532033676,-1.36626010212795,-0.258198889747161
0.032442336697691,1.3228756555323,-0.0520881780692477,1.59255514317652,0.948683298050514,0.683130051063974,-0.258198889747161
-1.15381116325067,-1.3228756555323,1.51055716400818,-0.318511028635303,-0.632455532033676,-1.36626010212795,-0.258198889747161
-0.0946213891719039,0,-0.833410849107961,1.59255514317652,-0.632455532033676,0.683130051063974,-0.258198889747161
-0.780968442587404,1.3228756555323,1.51055716400818,0.637022057270606,0.948683298050514,0.683130051063974,-0.258198889747161
NA,NA,NA,NA,NA,NA,NA
-0.232937273865017,0,1.51055716400818,-1.27404411454121,0.948683298050514,0.683130051063974,-0.258198889747161
-0.559830177466906,0,-0.833410849107961,-1.27404411454121,-0.632455532033676,0.683130051063974,-0.258198889747161
NA,NA,NA,NA,NA,NA,NA
-0.903764339236152,0,-0.0520881780692477,-0.318511028635303,-0.632455532033676,0.683130051063974,3.61478445646026
NA,NA,NA,NA,NA,NA,NA
-0.450088556872681,-1.3228756555323,-0.833410849107961,0.637022057270606,-2.21359436211787,0.683130051063974,-0.258198889747161
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
