"PROFICIENCIA_LP_SAEB","TX_RESP_Q10c_num","TX_RESP_Q23b_num","TX_RESP_Q23f_num","TX_RESP_Q23g_num","TX_RESP_Q20_num"
1.54751080646452,0.408870146559966,-2.325450660358,-0.995127991908438,-0.995127991908438,-0.208563702419436
1.19222321317815,0.408870146559966,-0.889987289766642,-0.995127991908438,-0.995127991908438,-0.208563702419436
-1.07100322605492,0.408870146559966,0.545476080824716,0.468295525603971,-0.995127991908438,-0.208563702419436
-0.484871531634241,0.408870146559966,-0.889987289766642,0.468295525603971,0.468295525603971,-0.208563702419436
1.92322218157069,-2.39481085842265,-0.889987289766642,0.468295525603971,0.468295525603971,-0.208563702419436
0.0124734268736632,0.408870146559966,0.545476080824716,0.468295525603971,0.468295525603971,-0.208563702419436
NA,NA,NA,NA,NA,NA
-0.551337385240487,0.408870146559966,1.98093945141607,1.93171904311638,1.93171904311638,NA
1.49704066389058,0.408870146559966,0.545476080824716,0.468295525603971,0.468295525603971,-0.208563702419436
0.118223767906539,0.408870146559966,0.545476080824716,1.93171904311638,-0.995127991908438,-0.208563702419436
0.556415845634093,-2.39481085842265,-2.325450660358,-0.995127991908438,-0.995127991908438,-0.208563702419436
0.523360437684882,0.408870146559966,0.545476080824716,-0.995127991908438,0.468295525603971,-0.208563702419436
0.85384650000874,0.408870146559966,0.545476080824716,0.468295525603971,0.468295525603971,-0.208563702419436
-0.399477040327554,0.408870146559966,0.545476080824716,-0.995127991908438,-0.995127991908438,-0.208563702419436
2.73001071532172,-2.39481085842265,0.545476080824716,-0.995127991908438,-0.995127991908438,-0.208563702419436
1.4726551266097,-2.39481085842265,-0.889987289766642,-0.995127991908438,-0.995127991908438,-0.208563702419436
NA,NA,NA,NA,NA,NA
0.499873650084674,0.408870146559966,0.545476080824716,0.468295525603971,0.468295525603971,-0.208563702419436
-0.714909486824764,0.408870146559966,0.545476080824716,0.468295525603971,0.468295525603971,-0.208563702419436
1.14915745612215,0.408870146559966,-0.889987289766642,0.468295525603971,-0.995127991908438,-0.208563702419436
