"PROFICIENCIA_MT_SAEB","TX_RESP_Q10e_num","TX_RESP_Q21a_num","TX_RESP_Q21b_num","TX_RESP_Q21d_num","TX_RESP_Q22a_num","TX_RESP_Q22c_num","TX_RESP_Q23c_num"
-1.04897397127685,0.428174419288838,0.105091277976944,-0.781735959970572,1.6583123951777,1.13284303119776,-0.751067616198811,0
-0.354427247886324,0.428174419288838,0.105091277976944,-0.781735959970572,1.6583123951777,1.13284303119776,1.50213523239762,1.6583123951777
0.6833548507012,-2.14087209644419,-1.15600405774638,1.56347191994114,-0.552770798392567,-1.78018190616791,-1.87766904049703,1.6583123951777
NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA
0.51952583445938,0.428174419288838,1.36618661370027,0,-0.552770798392567,-1.78018190616791,-0.751067616198811,0
-0.221806854074983,0.428174419288838,-1.15600405774638,-0.781735959970572,-0.552770798392567,0.161834718742537,0.375533808099406,0
-0.922026623588753,0.428174419288838,-1.15600405774638,1.56347191994114,-0.552770798392567,0.161834718742537,0.375533808099406,-1.6583123951777
0.302271116491298,0.428174419288838,1.36618661370027,0,1.6583123951777,0.161834718742537,0.375533808099406,0
-0.236490764788234,0.428174419288838,0.105091277976944,0,-0.552770798392567,-0.809173593712687,0.375533808099406,0
1.67889019192507,-2.14087209644419,1.36618661370027,1.56347191994114,-0.552770798392567,0.161834718742537,-0.751067616198811,0
NA,NA,NA,NA,NA,NA,NA,NA
-1.66485766380405,0.428174419288838,-1.15600405774638,-0.781735959970572,-0.552770798392567,1.13284303119776,1.50213523239762,-1.6583123951777
-0.262316335879356,0.428174419288838,0.105091277976944,-0.781735959970572,-0.552770798392567,0.161834718742537,-0.751067616198811,0
1.5268574677216,0.428174419288838,0.105091277976944,-0.781735959970572,-0.552770798392567,0.161834718742537,0.375533808099406,0
NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA
