ID_ESCOLA,TIPO_ESCOLA,AREA,LOCALIZACAO,AREA_LOCAL,CLUSTER,MEDIA_MT,MEDIA_LP,INSE_MEDIO,FAIXA_MT,FAIXA_LP,GRUPO_INSE
61408573,Privada,Interior,Urbana,Urbana_Interior,1,376.88,328.27,6.46,Q4_Alto,Q4_Alto,Alto_INSE
61450177,Privada,Interior,Urbana,Urbana_Interior,1,371.35,345.32,6.52,Q4_Alto,Q4_Alto,Alto_INSE
61417201,Privada,Interior,Urbana,Urbana_Interior,1,366.07,344.5,6.17,Q4_Alto,Q4_Alto,Alto_INSE
61470062,Privada,Capital,Urbana,Urbana_Capital,1,363.68,372.29,5.79,Q4_Alto,Q4_Alto,Alto_INSE
61421759,Privada,Capital,Urbana,Urbana_Capital,1,363.02,4995.63,6.31,Q4_Alto,Q4_Alto,Alto_INSE
61466141,Privada,Interior,Urbana,Urbana_Interior,1,361.57,331.62,6.8,Q4_Alto,Q4_Alto,Alto_INSE
61442056,Privada,Interior,Urbana,Urbana_Interior,1,359.32,346.11,6.2,Q4_Alto,Q4_Alto,Alto_INSE
61451129,Privada,Capital,Urbana,Urbana_Capital,1,358.24,337.22,6.37,Q4_Alto,Q4_Alto,Alto_INSE
61422357,Privada,Capital,Urbana,Urbana_Capital,1,356.11,319.61,6.8,Q4_Alto,Q4_Alto,Alto_INSE
61405627,Privada,Interior,Urbana,Urbana_Interior,1,350.42,318.67,6.58,Q4_Alto,Q4_Alto,Alto_INSE
61425743,Privada,Interior,Urbana,Urbana_Interior,1,312.12,305.18,5.71,Q4_Alto,Q4_Alto,Alto_INSE
61466246,Privada,Interior,Rural,Rural_Interior,1,292.36,319.94,5.35,Q4_Alto,Q4_Alto,Alto_INSE
61448101,Privada,Interior,Urbana,Urbana_Interior,1,290.66,290.3,5.93,Q4_Alto,Q4_Alto,Alto_INSE
61408042,Privada,Interior,Urbana,Urbana_Interior,1,286.2,306.81,5.58,Q4_Alto,Q4_Alto,Alto_INSE
61432588,Privada,Interior,Rural,Rural_Interior,1,277.15,274.06,5.07,Q3_Medio-Alto,Q3_Medio-Alto,Medio_INSE
61449856,Privada,Interior,Rural,Rural_Interior,1,266.94,268.33,4.69,Q2_Medio-Baixo,Q2_Medio-Baixo,Baixo_INSE
61466976,Privada,Interior,Urbana,Urbana_Interior,1,265.5,274.66,4.61,Q2_Medio-Baixo,Q3_Medio-Alto,Baixo_INSE
61442463,Privada,Interior,Rural,Rural_Interior,1,241.4,241.11,4.75,Q1_Baixo,Q1_Baixo,Medio_INSE
61438217,Privada,Interior,Urbana,Urbana_Interior,1,240.94,195.25,5.43,Q1_Baixo,Q1_Baixo,Alto_INSE
61428719,Privada,Interior,Rural,Rural_Interior,1,239.25,255.83,5.52,Q1_Baixo,Q1_Baixo,Alto_INSE
61466270,Publica,Interior,Urbana,Urbana_Interior,1,291.34,27507.65,4.37,Q4_Alto,Q4_Alto,Baixo_INSE
61455951,Publica,Interior,Rural,Rural_Interior,1,276,28765.5,4.25,Q3_Medio-Alto,Q4_Alto,Baixo_INSE
61432993,Publica,Interior,Urbana,Urbana_Interior,1,259.22,19346.1,5.19,Q2_Medio-Baixo,Q4_Alto,Alto_INSE
61412188,Publica,Interior,Urbana,Urbana_Interior,1,247.34,18049.62,4.83,Q1_Baixo,Q4_Alto,Medio_INSE
61459766,Publica,Interior,Rural,Rural_Interior,1,228.7,221.61,4.04,Q1_Baixo,Q1_Baixo,Baixo_INSE
61426084,Publica,Interior,Rural,Rural_Interior,1,226.45,218.28,4.27,Q1_Baixo,Q1_Baixo,Baixo_INSE
61438237,Publica,Interior,Rural,Rural_Interior,1,226.07,220.49,3.89,Q1_Baixo,Q1_Baixo,Baixo_INSE
61470491,Publica,Interior,Urbana,Urbana_Interior,1,226.03,210.95,4.15,Q1_Baixo,Q1_Baixo,Baixo_INSE
61425004,Publica,Interior,Urbana,Urbana_Interior,1,225.86,219.04,4.28,Q1_Baixo,Q1_Baixo,Baixo_INSE
61459394,Publica,Interior,Rural,Rural_Interior,1,224.71,206.69,3.99,Q1_Baixo,Q1_Baixo,Baixo_INSE
61428646,Publica,Interior,Urbana,Urbana_Interior,1,221.21,222.31,4.39,Q1_Baixo,Q1_Baixo,Baixo_INSE
61412203,Publica,Interior,Urbana,Urbana_Interior,1,219.5,215.95,4.45,Q1_Baixo,Q1_Baixo,Baixo_INSE
61425129,Publica,Interior,Urbana,Urbana_Interior,1,219.02,214.28,4.44,Q1_Baixo,Q1_Baixo,Baixo_INSE
61400070,Publica,Interior,Urbana,Urbana_Interior,1,218.83,202.72,5.04,Q1_Baixo,Q1_Baixo,Medio_INSE
61432493,Publica,Interior,Urbana,Urbana_Interior,2,22195.53,283.44,4.4,Q4_Alto,Q3_Medio-Alto,Baixo_INSE
61421870,Publica,Interior,Urbana,Urbana_Interior,2,19851.56,273.67,4.73,Q4_Alto,Q3_Medio-Alto,Medio_INSE
61465816,Publica,Interior,Rural,Rural_Interior,2,18564.84,289.18,5.44,Q4_Alto,Q4_Alto,Alto_INSE
61428659,Publica,Interior,Urbana,Urbana_Interior,2,16537.67,261.56,4.92,Q4_Alto,Q2_Medio-Baixo,Medio_INSE
61455987,Publica,Interior,Urbana,Urbana_Interior,2,14408.93,265.08,4.36,Q4_Alto,Q2_Medio-Baixo,Baixo_INSE
61428657,Publica,Interior,Urbana,Urbana_Interior,2,13947.83,277.1,5.47,Q4_Alto,Q3_Medio-Alto,Alto_INSE
