ID_ESCOLA,TIPO_ESCOLA,AREA,LOCALIZACAO,CLUSTER,MEDIA_MT,MEDIA_LP,INSE_MEDIO,FAIXA_MT,FAIXA_LP,GRUPO_INSE
61449095,Publica,Interior,Urbana,1,4085,270.59,4.57,Q4_Alto,Q2_Médio-Baixo,Baixo_INSE
61415627,Publica,Capital,Urbana,1,3950.57,280.46,5.12,Q4_Alto,Q3_Médio-Alto,Alto_INSE
61416619,Publica,Interior,Urbana,1,3894.32,278.43,4.52,Q4_Alto,Q3_Médio-Alto,Baixo_INSE
61437757,Publica,Interior,Urbana,1,3857.49,290.53,4.88,Q4_Alto,Q4_Alto,Medio_INSE
61425394,Publica,Interior,Urbana,1,3819.73,283.88,4.97,Q4_Alto,Q3_Médio-Alto,Medio_INSE
61399396,Publica,Interior,Urbana,1,3818.4,274.88,5.04,Q4_Alto,Q3_Médio-Alto,Medio_INSE
61456027,Publica,Interior,Urbana,1,3800.68,254.22,4.62,Q4_Alto,Q1_Baixo,Baixo_INSE
61416177,Publica,Interior,Rural,1,3706.96,302.9,5.68,Q4_Alto,Q4_Alto,Alto_INSE
61454627,Publica,Interior,Urbana,1,3684.27,276,4.62,Q4_Alto,Q3_Médio-Alto,Baixo_INSE
61458810,Publica,Interior,Urbana,1,3631.84,273.46,4.54,Q4_Alto,Q3_Médio-Alto,Baixo_INSE
61407981,Publica,Interior,Urbana,1,3554.88,288.27,5.29,Q4_Alto,Q4_Alto,Alto_INSE
61433407,Publica,Interior,Urbana,1,3549.76,278.34,5.05,Q4_Alto,Q3_Médio-Alto,Medio_INSE
61466262,Publica,Interior,Rural,1,3512.11,311.35,5.06,Q4_Alto,Q4_Alto,Medio_INSE
61448150,Publica,Interior,Urbana,1,3433.19,284.01,5.07,Q4_Alto,Q3_Médio-Alto,Medio_INSE
61425393,Publica,Interior,Urbana,1,3422.73,257.02,4.31,Q4_Alto,Q1_Baixo,Baixo_INSE
61405709,Publica,Interior,Urbana,1,3408.05,292.37,5.16,Q4_Alto,Q4_Alto,Alto_INSE
61459162,Publica,Interior,Urbana,1,3326.11,259,4.78,Q4_Alto,Q1_Baixo,Medio_INSE
61459210,Publica,Interior,Urbana,1,3321.68,257.05,4.71,Q4_Alto,Q1_Baixo,Medio_INSE
61466940,Publica,Interior,Urbana,1,3311.38,326.24,5.48,Q4_Alto,Q4_Alto,Alto_INSE
61470048,Publica,Capital,Urbana,1,3177.12,235.21,4.87,Q4_Alto,Q1_Baixo,Medio_INSE
61399565,Publica,Interior,Urbana,1,3126,268.38,4.93,Q4_Alto,Q2_Médio-Baixo,Medio_INSE
61441998,Publica,Interior,Urbana,1,3065.54,276.16,5.32,Q4_Alto,Q3_Médio-Alto,Alto_INSE
61431552,Publica,Interior,Urbana,1,3025.41,272.75,5,Q4_Alto,Q2_Médio-Baixo,Medio_INSE
61425646,Publica,Interior,Urbana,1,2893.84,292.97,5.32,Q4_Alto,Q4_Alto,Alto_INSE
61455436,Publica,Interior,Urbana,1,2880.15,278.99,5.21,Q4_Alto,Q3_Médio-Alto,Alto_INSE
61425666,Publica,Interior,Urbana,1,2687.07,306,5.31,Q4_Alto,Q4_Alto,Alto_INSE
61451133,Publica,Capital,Urbana,1,2648.64,306.36,5.54,Q4_Alto,Q4_Alto,Alto_INSE
61424801,Publica,Capital,Urbana,1,2613.21,290.48,5.52,Q4_Alto,Q4_Alto,Alto_INSE
61449645,Publica,Interior,Urbana,1,2612.37,279.04,5.21,Q4_Alto,Q3_Médio-Alto,Alto_INSE
61416608,Publica,Interior,Urbana,1,2549.91,265.51,4.31,Q4_Alto,Q2_Médio-Baixo,Baixo_INSE
61465842,Publica,Interior,Urbana,1,2460.84,276.85,5.07,Q4_Alto,Q3_Médio-Alto,Medio_INSE
61424817,Publica,Interior,Urbana,1,2443.74,273.23,5.4,Q4_Alto,Q3_Médio-Alto,Alto_INSE
