"Variavel","Metodo","Correlacao_Matematica","Correlacao_Portugues","Status_Calculo"
"TX_RESP_Q10e_num","Spearman",-0.307338926653501,-0.407402763238362,"OK"
"TX_RESP_Q21d_num","Spearman",-0.32842251050931,-0.0743009101722585,"OK"
"TX_RESP_Q22b_num","Spearman",-0.300436316424074,-0.146336923502252,"OK"
"TX_RESP_Q22d_num","Spearman",-0.33416876404726,-0.211883425937389,"OK"
"TX_RESP_Q22f_num","Spearman",-0.303450703203086,-0.259334098022284,"OK"
"TX_RESP_Q22g_num","Spearman",-0.308305766941909,-0.255686273064805,"OK"
