"ID_SAEB","ID_REGIAO","ID_UF","ID_MUNICIPIO","ID_AREA","ID_ESCOLA","IN_PUBLICA","ID_LOCALIZACAO","ID_TURMA","ID_SERIE","ID_ALUNO","IN_SITUACAO_CENSO","IN_PREENCHIMENTO_LP","IN_PREENCHIMENTO_MT","IN_PRESENCA_LP","IN_PRESENCA_MT","ID_CADERNO_LP","ID_BLOCO_1_LP","ID_BLOCO_2_LP","ID_CADERNO_MT","ID_BLOCO_1_MT","ID_BLOCO_2_MT","TX_RESP_BLOCO1_LP","TX_RESP_BLOCO2_LP","TX_RESP_BLOCO1_MT","TX_RESP_BLOCO2_MT","IN_PROFICIENCIA_LP","IN_PROFICIENCIA_MT","IN_AMOSTRA","ESTRATO","PESO_ALUNO_LP","PROFICIENCIA_LP","ERRO_PADRAO_LP","PROFICIENCIA_LP_SAEB","ERRO_PADRAO_LP_SAEB","PESO_ALUNO_MT","PROFICIENCIA_MT","ERRO_PADRAO_MT","PROFICIENCIA_MT_SAEB","ERRO_PADRAO_MT_SAEB","IN_PREENCHIMENTO_QUESTIONARIO","IN_INSE","INSE_ALUNO","NU_TIPO_NIVEL_INSE","PESO_ALUNO_INSE","TX_RESP_Q01","TX_RESP_Q02","TX_RESP_Q03","TX_RESP_Q04","TX_RESP_Q05a","TX_RESP_Q05b","TX_RESP_Q05c","TX_RESP_Q06","TX_RESP_Q07a","TX_RESP_Q07b","TX_RESP_Q07c","TX_RESP_Q07d","TX_RESP_Q07e","TX_RESP_Q08","TX_RESP_Q09","TX_RESP_Q10a","TX_RESP_Q10b","TX_RESP_Q10c","TX_RESP_Q10d","TX_RESP_Q10e","TX_RESP_Q10f","TX_RESP_Q11a","TX_RESP_Q11b","TX_RESP_Q11c","TX_RESP_Q12a","TX_RESP_Q12b","TX_RESP_Q12c","TX_RESP_Q12d","TX_RESP_Q12e","TX_RESP_Q12f","TX_RESP_Q12g","TX_RESP_Q13a","TX_RESP_Q13b","TX_RESP_Q13c","TX_RESP_Q13d","TX_RESP_Q13e","TX_RESP_Q13f","TX_RESP_Q13g","TX_RESP_Q13h","TX_RESP_Q13i","TX_RESP_Q14","TX_RESP_Q15a","TX_RESP_Q15b","TX_RESP_Q16","TX_RESP_Q17","TX_RESP_Q18","TX_RESP_Q19","TX_RESP_Q20","TX_RESP_Q21a","TX_RESP_Q21b","TX_RESP_Q21c","TX_RESP_Q21d","TX_RESP_Q21e","TX_RESP_Q22a","TX_RESP_Q22b","TX_RESP_Q22c","TX_RESP_Q22d","TX_RESP_Q22e","TX_RESP_Q22f","TX_RESP_Q22g","TX_RESP_Q22h","TX_RESP_Q23a","TX_RESP_Q23b","TX_RESP_Q23c","TX_RESP_Q23d","TX_RESP_Q23e","TX_RESP_Q23f","TX_RESP_Q23g","TX_RESP_Q23h","TX_RESP_Q23i","TX_RESP_Q24","TX_RESP_Q25","TX_RESP_Q10a_num","TX_RESP_Q10b_num","TX_RESP_Q10c_num","TX_RESP_Q10d_num","TX_RESP_Q10e_num","TX_RESP_Q10f_num","TX_RESP_Q21a_num","TX_RESP_Q21b_num","TX_RESP_Q21c_num","TX_RESP_Q21d_num","TX_RESP_Q21e_num","TX_RESP_Q22a_num","TX_RESP_Q22b_num","TX_RESP_Q22c_num","TX_RESP_Q22d_num","TX_RESP_Q22e_num","TX_RESP_Q22f_num","TX_RESP_Q22g_num","TX_RESP_Q22h_num","TX_RESP_Q23a_num","TX_RESP_Q23b_num","TX_RESP_Q23c_num","TX_RESP_Q23d_num","TX_RESP_Q23e_num","TX_RESP_Q23f_num","TX_RESP_Q23g_num","TX_RESP_Q23h_num","TX_RESP_Q23i_num","TX_RESP_Q19_num","TX_RESP_Q20_num","Q01_masculino","Q01_feminino","Q04_Branca","Q04_Preta","Q04_Parda","Q04_Amarela","Q04_Indigena"
2023,3,31,6325126,2,61450156,1,1,1526654,12,52702456,1,1,1,1,1,15,1,4,15,1,4,"AACEBADAC.CAE","CACADAAABBDDA","ABBBBABBCAAED","AAADCDCDCAEAC",1,1,0,"63251262112",1.3125,"-0.768582",0.528811,207.641223,29.133976,1.3125,-0.673741,0.805611,212.307428,45.027474,1,1,3.36,2,1.5,"A","C","A","C","A","A","B","B","B","B","A","A","A","F","F","C","C","C","C","C","C","B","B","B","B","B","C","B","B","A","D","A","A","A","A","A","A","A","A","A","C","A","A","B",".","A","A","A","B","C","C","B","D","A","A","A","A","A","D","A","D","A","A","B","A","B","C","C","B","B","B","B",3,3,3,3,3,3,2,3,3,2,4,4,4,4,4,4,1,4,1,4,4,3,4,3,2,2,3,3,1,1,1,0,0,0,1,0,0
2023,3,31,6325126,2,61450156,1,1,1526654,12,52702457,0,1,1,1,1,7,7,1,7,7,1,"BDCDABDCCBBBD","ABDCBBBACEDCC","CBBCEDCACEBEA","CDAEBAAAAEBBB",1,1,0,"63251262112",NA,"-0.13074",0.392467,242.782084,21.622327,NA,0.206302,0.684982,261.49508,38.285239,1,1,NA,1,NA,"B","C","A","A","A","A","A","D","B","B","A","A","B","F","F","B","C","C","C","C","B","B","B","B","B","A","C","B","C","B","A","A","A","A","B","A","A","B","A","A","A","A","A","A","B","A","A","A","C","B","B","A","C","B","C","C","B","B","B","A","A","B","C","B","B","B","B","C","B","B","C","A",2,3,3,3,3,2,3,2,2,1,3,3,2,2,3,3,3,4,4,3,2,3,3,3,3,2,3,3,1,1,0,1,1,0,0,0,0
2023,3,31,6325126,2,61450156,1,1,1526654,12,52702458,1,1,1,1,1,17,3,6,17,3,6,"ADEBBBDCAADDC","BCBCDDCCDBEBB","DCCBBCCAAAAEE","DE*CCBBDDBCAB",1,1,0,"63251262112",1.3125,"-0.445329",0.464114,225.450318,25.569601,1.3125,-0.969831,0.743579,195.758269,41.560361,1,1,3.67,2,1.5,".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","B","A","C","B","B","A","D","B","B","A","A","A","A","A","A","A","A","A","A","A","C","A","A","A","A","D","A","A","C","D","D","D","C","D","D","B","C","D","D","D","D","D","D","D","B","D","D","A",NA,NA,NA,NA,NA,NA,1,4,1,1,3,1,1,1,2,1,1,3,2,1,1,1,1,1,1,1,3,1,1,1,NA,NA,NA,NA,NA,NA,NA
2023,3,31,6325126,2,61450156,1,1,1526654,12,52702459,1,1,1,1,1,18,4,7,18,4,7,"EBCABADCAEAAC","DAABCDBDABEDE","DBEEBCDAABDEA","EABCDCADBBECE",1,1,0,"63251262112",1.3125,"-1.318403",0.533996,177.349735,29.419635,1.3125,-0.804627,0.669095,204.991905,37.397277,1,1,4.65,4,1.5,"A","C","A","C","A","A","A","C","A","A","B","B","A","F","F","C","B","C","C","C","B","A","B","B","C","B","D","B","C","A","D","A","B","B","B","A","A","B","B","A","B","A","A","A","B","A","A","A","B","D","D","A","D","A","A",".","B","C","B","B","B","B","B",".","B","B","B","B","B","B","C","B",3,2,3,3,3,2,2,4,4,1,4,4,4,NA,3,2,3,3,3,3,3,NA,3,3,3,3,3,3,1,1,1,0,0,0,1,0,0
2023,3,31,6325126,2,61450156,1,1,1526654,12,52703703,1,1,0,1,1,19,5,1,19,5,1,"EABCABDBCDACA","AEECD........",".............",".............",1,1,0,"63251262112",1.3125,"0.539115",0.369195,279.686648,20.340194,1.3125,-1.03723,0.689406,191.991182,38.532506,0,0,NA,1,NA,".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2023,3,31,6325126,2,61450156,1,1,1526654,12,52703704,1,1,1,1,1,19,5,1,19,5,1,"DCADABADCAEBD","ACBDADBCAEECA","CBDBDBADABACA","BACABCADBDCBD",1,1,0,"63251262112",1.3125,"-1.509523",0.590125,166.820292,32.511971,1.3125,-0.29852,0.683891,233.279403,38.22426,1,1,6.01,7,1.5,"A","D","A","B","A","A","A","B","A","A","A","A","B","F","F","A","B","B","B","B","A","B","B","B","B","C","D","B","C","C","D","B","B","B","B","B","A","B","B","B","A","A","A","A","A","A","C","B","C","A","C","D","D","A","A","A","A","A","A","A","A","A","A","A","A","A","A","A","A","A","C","A",1,2,2,2,2,1,3,1,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,2,1,0,0,1,0,0,0
2023,3,31,6325126,2,61450156,1,1,1526654,12,52703705,1,1,1,1,1,4,4,5,4,4,5,"AEBEDBABCAAAA","BACEBACCDADDD","DEAAAABDABCDA","BAACEACDAACCA",1,1,0,"63251262112",1.3125,"-0.985677",0.503808,195.680729,27.756477,1.3125,-0.489202,0.739184,222.621742,41.314715,1,1,4.09,3,1.5,"B","C","A","C","A","A","A","B","B",".",".",".",".","F","F","A","B","C","C","C","B","B","B","B","B","A","C","A","B","A","D","A","B","A","B","B","A","A","A","B","C","A","A","A","B","A","A","A","B","B","D","D","A","A","B","B","B","B","C","A","A","B","B","C","D","C","C","B","C","B","C","A",1,2,3,3,3,2,2,2,4,4,1,4,3,3,3,3,2,4,4,3,3,2,1,2,2,3,2,3,1,1,0,1,0,0,1,0,0
2023,3,31,6325126,2,61450156,1,1,1526654,12,52703706,1,1,1,1,1,6,6,7,6,6,7,"EBBBCADBDBECA","CDAAADCBAEEED","C*CE.EDDBACDA","BDAAECDBDBDBA",1,1,0,"63251262112",1.3125,"1.127048",0.3892,312.077854,21.442337,1.3125,1.455775,0.39307,331.331035,21.969597,1,1,3.95,2,1.5,"A","C","A","A","A","A","A","C","B","B","A","A","B","E","D","A","B","C","A","C","A","B","B","B","B","A","C","B","B","A","D","A","A","A","B","B","A","A","B","A","B","A","A","A","B","A","A","A","C","B","C","A","C","A","B","B","B","B","C","B","B","B","B","B","B","A","B",".","A","A","C","A",1,2,3,1,3,1,3,2,3,1,3,4,3,3,3,3,2,3,3,3,3,3,3,4,3,NA,4,4,1,1,1,0,1,0,0,0,0
2023,3,31,6325126,2,61450156,1,1,1526654,12,52703707,1,1,1,1,1,11,4,6,11,4,6,"BBAEBBBBDDAAD","CDDDEACDACDAA","BDCDAEAAABBCE","BCEEAABBBCCDE",1,1,0,"63251262112",1.3125,"-0.958785",0.505239,197.1623,27.835316,1.3125,0.541967,0.63767,280.256178,35.640861,0,0,NA,1,NA,".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2023,3,31,6325126,2,61450156,1,1,1526654,12,52703708,1,0,0,0,0,18,4,7,18,4,7,".............",".............",".............",".............",0,0,0,"63251262112",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,1,NA,".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
