"PROFICIENCIA_LP_SAEB","TX_RESP_Q22c_num","TX_RESP_Q22d_num","TX_RESP_Q22f_num","TX_RESP_Q23a_num","TX_RESP_Q23b_num","TX_RESP_Q23g_num"
1.46875947683274,-0.591298727852834,-0.611088639989533,-0.752710293213244,0.0857848363209966,-0.720263974690332,-0.651124514697883
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
-1.09234186096131,-0.591298727852834,-0.611088639989533,0.309939532499571,-1.45834221745695,0.458349802075666,0.488343386023412
0.824828280235088,-0.591298727852834,0.462042630235988,0.309939532499571,0.0857848363209966,-0.720263974690332,0.488343386023412
0.924862176624121,-0.591298727852834,-0.611088639989533,-0.752710293213244,-1.45834221745695,-0.720263974690332,-1.79059241541918
0.904503414754712,-0.591298727852834,-1.68421991021505,-0.752710293213244,-1.45834221745695,-1.89887775145633,-0.651124514697883
0.702980769694536,-0.591298727852834,-0.611088639989533,-0.752710293213244,0.0857848363209966,-0.720263974690332,1.62781128674471
-0.63337188377417,1.8414731810274,-0.611088639989533,-0.752710293213244,0.0857848363209966,1.63696357884166,-0.651124514697883
0.429928288746891,0.625087226587281,0.462042630235988,0.309939532499571,0.0857848363209966,-0.720263974690332,-0.651124514697883
0.651846175338961,-0.591298727852834,-0.611088639989533,-0.752710293213244,0.0857848363209966,-0.720263974690332,-0.651124514697883
1.70223086181104,-0.591298727852834,0.462042630235988,-0.752710293213244,1.62991189009894,0.458349802075666,0.488343386023412
1.06238225714374,-0.591298727852834,-1.68421991021505,-0.752710293213244,0.0857848363209966,0.458349802075666,0.488343386023412
0.476067175923986,-0.591298727852834,-0.611088639989533,-0.752710293213244,0.0857848363209966,0.458349802075666,-0.651124514697883
0.291503921940363,-0.591298727852834,-0.611088639989533,-0.752710293213244,-1.45834221745695,-0.720263974690332,-0.651124514697883
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
-0.0828073533703459,-0.591298727852834,0.462042630235988,0.309939532499571,0.0857848363209966,0.458349802075666,0.488343386023412
-0.585278505373323,-0.591298727852834,-0.611088639989533,0.309939532499571,0.0857848363209966,-0.720263974690332,0.488343386023412
0.791217949881613,-0.591298727852834,-0.611088639989533,0.309939532499571,0.0857848363209966,0.458349802075666,-0.651124514697883
