"PROFICIENCIA_MT_SAEB","TX_RESP_Q22a_num","TX_RESP_Q22c_num","TX_RESP_Q20_num"
2.44840938120634,-1.3228756555323,-0.391940509955339,-0.214341802681986
0.0974495670342286,0,-0.391940509955339,-0.214341802681986
0.0275811094315311,0,-0.391940509955339,-0.214341802681986
0.312725067695683,-1.3228756555323,-0.391940509955339,-0.214341802681986
-1.74572821376511,1.3228756555323,1.84771954693231,-0.214341802681986
-0.864067093062539,0,-0.391940509955339,-0.214341802681986
2.22576106744748,0,-0.391940509955339,-0.214341802681986
1.05162795516236,0,-0.391940509955339,-0.214341802681986
NA,NA,NA,NA
-0.349560030188287,1.3228756555323,-0.391940509955339,-0.214341802681986
-0.0824749665654087,-1.3228756555323,-1.51177053839917,-0.214341802681986
-1.42619863052925,1.3228756555323,1.84771954693231,-0.214341802681986
-1.44239864897352,0,0.727889518488487,-0.214341802681986
1.67796934372308,-1.3228756555323,-0.391940509955339,-0.214341802681986
0.70340204650893,-1.3228756555323,0.727889518488487,-0.214341802681986
1.09932668860062,-1.3228756555323,-1.51177053839917,-0.214341802681986
-0.86998940780431,1.3228756555323,1.84771954693231,-0.214341802681986
0.196284471759765,0,-1.51177053839917,-0.214341802681986
-0.675662300055978,-1.3228756555323,-1.51177053839917,-0.214341802681986
0.106349725627197,-1.3228756555323,-0.391940509955339,-0.214341802681986
0.204293570013679,0,0.727889518488487,-0.214341802681986
-1.67752535779408,1.3228756555323,-0.391940509955339,2.64354889974449
NA,NA,NA,NA
1.06826837299841,1.3228756555323,-0.391940509955339,-0.214341802681986
0.18528859660411,1.3228756555323,1.84771954693231,-0.214341802681986
0.141796665719207,0,NA,-0.214341802681986
-0.689711537697803,1.3228756555323,1.84771954693231,-0.214341802681986
-1.03818963323964,1.3228756555323,NA,5.50143960217097
NA,NA,NA,NA
-0.513337044194539,1.3228756555323,1.84771954693231,-0.214341802681986
0.0420515289538384,0,-0.391940509955339,-0.214341802681986
-0.775118120510038,0,-0.391940509955339,-0.214341802681986
1.22368166954944,-1.3228756555323,-0.391940509955339,-0.214341802681986
1.88194939136208,0,0.727889518488487,NA
0.0424624950893401,0,0.727889518488487,-0.214341802681986
NA,NA,NA,NA
NA,NA,NA,NA
-1.59184223980439,0,0.727889518488487,-0.214341802681986
0.129530808544666,1.3228756555323,-0.391940509955339,-0.214341802681986
0.961369305779198,0,-1.51177053839917,-0.214341802681986
-0.264020299112445,0,-0.391940509955339,NA
-0.619936533546943,-1.3228756555323,-0.391940509955339,-0.214341802681986
-0.288592990967736,-1.3228756555323,-0.391940509955339,-0.214341802681986
0.0399942016032294,-1.3228756555323,-0.391940509955339,-0.214341802681986
-0.0937922024880377,0,-0.391940509955339,-0.214341802681986
0.0419567928075648,0,-0.391940509955339,NA
-0.257373353634816,1.3228756555323,NA,-0.214341802681986
-0.644011219287081,0,0.727889518488487,-0.214341802681986
