"PROFICIENCIA_LP_SAEB","TX_RESP_Q22a_num","TX_RESP_Q22b_num","TX_RESP_Q22c_num","TX_RESP_Q22e_num"
2.04610302066686,-1.3228756555323,-1.73956913175845,-0.391940509955339,0.0293529887571365
1.20096250146578,0,0.527142161138925,-0.391940509955339,0.0293529887571365
0.0175969277119403,0,0.527142161138925,-0.391940509955339,1.26217851655688
-0.818451961614017,-1.3228756555323,-0.606213485309764,-0.391940509955339,0.0293529887571365
-1.22078631781638,1.3228756555323,1.66049780758761,1.84771954693231,2.49500404435661
0.21731704359061,0,-0.606213485309764,-0.391940509955339,0.0293529887571365
2.34426200296211,0,-0.606213485309764,-0.391940509955339,-1.2034725390426
-0.107154788364395,0,0.527142161138925,-0.391940509955339,0.0293529887571365
NA,NA,NA,NA,NA
-0.838493237091043,1.3228756555323,-0.606213485309764,-0.391940509955339,0.0293529887571365
-1.86555519360672,-1.3228756555323,-1.73956913175845,-1.51177053839917,0.0293529887571365
-0.0396504269710694,1.3228756555323,1.66049780758761,1.84771954693231,1.26217851655688
-0.98829126984822,0,0.527142161138925,0.727889518488487,1.26217851655688
1.31626748456365,-1.3228756555323,-1.73956913175845,-0.391940509955339,0.0293529887571365
-0.426877959457875,-1.3228756555323,0.527142161138925,0.727889518488487,-1.2034725390426
0.413452744133474,-1.3228756555323,-0.606213485309764,-1.51177053839917,-1.2034725390426
-0.885055523171784,1.3228756555323,-0.606213485309764,1.84771954693231,0.0293529887571365
0.812919999245516,0,-0.606213485309764,-1.51177053839917,0.0293529887571365
-0.215931816937256,-1.3228756555323,-0.606213485309764,-1.51177053839917,0.0293529887571365
0.468473937909157,-1.3228756555323,-0.606213485309764,-0.391940509955339,0.0293529887571365
-1.47556995552158,0,0.527142161138925,0.727889518488487,0.0293529887571365
-0.635955456211704,1.3228756555323,-0.606213485309764,-0.391940509955339,-1.2034725390426
NA,NA,NA,NA,NA
-0.570509074831783,1.3228756555323,0.527142161138925,-0.391940509955339,0.0293529887571365
-0.0608712099790374,1.3228756555323,1.66049780758761,1.84771954693231,2.49500404435661
0.510379284577944,0,1.66049780758761,NA,0.0293529887571365
-0.866199646573172,1.3228756555323,1.66049780758761,1.84771954693231,0.0293529887571365
-2.01886355160161,1.3228756555323,0.527142161138925,NA,NA
NA,NA,NA,NA,NA
-1.08576581233478,1.3228756555323,0.527142161138925,1.84771954693231,1.26217851655688
1.16526522623071,0,-0.606213485309764,-0.391940509955339,1.26217851655688
-0.122160455936237,0,-0.606213485309764,-0.391940509955339,-1.2034725390426
0.560493049946857,-1.3228756555323,-0.606213485309764,-0.391940509955339,-1.2034725390426
0.208461814705487,0,0.527142161138925,0.727889518488487,1.26217851655688
1.56556158177195,0,-0.606213485309764,0.727889518488487,0.0293529887571365
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
-1.25346481110922,0,0.527142161138925,0.727889518488487,0.0293529887571365
-0.974466283807722,1.3228756555323,0.527142161138925,-0.391940509955339,1.26217851655688
0.81957730726934,0,-1.73956913175845,-1.51177053839917,-1.2034725390426
0.65536748037993,0,-0.606213485309764,-0.391940509955339,0.0293529887571365
-0.497223529896293,-1.3228756555323,-0.606213485309764,-0.391940509955339,-1.2034725390426
0.734012038313104,-1.3228756555323,-0.606213485309764,-0.391940509955339,-1.2034725390426
0.739990795450159,-1.3228756555323,1.66049780758761,-0.391940509955339,-1.2034725390426
0.756454699593789,0,1.66049780758761,-0.391940509955339,-1.2034725390426
-0.139681579459867,0,-0.606213485309764,-0.391940509955339,0.0293529887571365
-0.2887328412342,1.3228756555323,0.527142161138925,NA,0.0293529887571365
0.842793762887572,0,-0.606213485309764,0.727889518488487,-1.2034725390426
