"PROFICIENCIA_MT_SAEB","TX_RESP_Q10b_num","TX_RESP_Q22a_num","TX_RESP_Q22h_num","TX_RESP_Q23a_num","TX_RESP_Q23b_num","TX_RESP_Q23i_num"
-0.91650764049726,0.788810637746615,0.605679639815436,-0.423699512149524,0.968245836551854,0.729234492969466,0.433012701892219
0.656793288801107,0.788810637746615,-1.00946606635906,-0.423699512149524,-0.968245836551854,-0.833410849107961,0.433012701892219
NA,NA,NA,NA,NA,NA,NA
-0.54816054570078,-1.18321595661992,0.605679639815436,0.70616585358254,0.968245836551854,0.729234492969466,0.433012701892219
1.04658981544,-1.18321595661992,0.605679639815436,0.70616585358254,-0.968245836551854,-0.833410849107961,-1.29903810567666
-1.3498913704862,0.788810637746615,0.605679639815436,-2.68343024361365,0.968245836551854,0.729234492969466,0.433012701892219
0.625425509460067,0.788810637746615,-1.00946606635906,0.70616585358254,0.968245836551854,0.729234492969466,0.433012701892219
-0.0826899355058522,-1.18321595661992,0.605679639815436,0.70616585358254,-0.968245836551854,-0.833410849107961,-1.29903810567666
-0.497220981957319,0.788810637746615,0.605679639815436,0.70616585358254,-0.968245836551854,NA,0.433012701892219
0.585561307512473,0.788810637746615,-1.00946606635906,-0.423699512149524,-0.968245836551854,-2.39605619118539,-3.03108891324554
0.963808998513768,-1.18321595661992,-2.62461177253356,0.70616585358254,0.968245836551854,-0.833410849107961,0.433012701892219
-1.01633941354958,NA,0.605679639815436,-0.423699512149524,0.968245836551854,0.729234492969466,0.433012701892219
-1.19415279379946,0.788810637746615,0.605679639815436,0.70616585358254,-0.968245836551854,0.729234492969466,0.433012701892219
-0.435362811328525,0.788810637746615,0.605679639815436,0.70616585358254,-0.968245836551854,0.729234492969466,0.433012701892219
2.37749156590149,-1.18321595661992,-1.00946606635906,0.70616585358254,-0.968245836551854,0.729234492969466,0.433012701892219
0.25936006304784,0.788810637746615,0.605679639815436,-1.55356487788159,0.968245836551854,0.729234492969466,0.433012701892219
-0.474705055851775,-1.18321595661992,0.605679639815436,-0.423699512149524,0.968245836551854,-0.833410849107961,0.433012701892219
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
