"PROFICIENCIA_MT_SAEB","TX_RESP_Q21a_num","TX_RESP_Q22c_num","TX_RESP_Q23d_num","TX_RESP_Q19_num"
1.38729540046914,-0.378932373372537,0,-1.03279555898864,-0.540061724867322
-0.915689177792328,-0.378932373372537,-1.47196014438797,0.903696114115064,2.70030862433661
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
-0.587775792096498,-0.378932373372537,0,-0.0645497224367905,-0.540061724867322
NA,NA,NA,NA,NA
-0.676856234865172,-1.79992877351955,0,0.903696114115064,1.08012344973464
0.651285262752476,1.04206402677448,0,0.903696114115064,-0.540061724867322
-0.0357793898019148,-0.378932373372537,0,-0.0645497224367905,-0.540061724867322
-0.12273093511125,-0.378932373372537,0,-1.03279555898864,-0.540061724867322
-1.29210291876714,-0.378932373372537,-1.47196014438797,-1.03279555898864,1.08012344973464
-0.441588770365401,-0.378932373372537,1.47196014438797,-1.03279555898864,-0.540061724867322
0.0262479970569601,1.04206402677448,1.47196014438797,-0.0645497224367905,-0.540061724867322
2.54462074888763,2.46306042692149,1.47196014438797,0.903696114115064,-0.540061724867322
-1.0660046747354,-0.378932373372537,0,-1.03279555898864,1.08012344973464
0.680374399900559,-0.378932373372537,-1.47196014438797,0.903696114115064,-0.540061724867322
0.0688506425212179,1.04206402677448,0,1.87194195066692,-0.540061724867322
-0.220146558052884,-0.378932373372537,NA,-1.03279555898864,-0.540061724867322
