"PROFICIENCIA_LP_SAEB","TX_RESP_Q23h_num"
-0.159731521614497,-1.18917137499297
NA,NA
NA,NA
-0.157186544948477,1.13116301523722
NA,NA
NA,NA
NA,NA
NA,NA
-0.16112930539473,-2.34933857010807
NA,NA
NA,NA
-0.160556650788855,-0.0290041798778773
-0.154869589351275,1.13116301523722
NA,NA
-0.158413660228166,1.13116301523722
NA,NA
NA,NA
-0.15667280821747,1.13116301523722
-0.160490862370066,-0.0290041798778773
NA,NA
-0.157469837527976,1.13116301523722
NA,NA
-0.160314544620851,-0.0290041798778773
-0.160840404532959,-0.0290041798778773
-0.156961574191609,1.13116301523722
NA,NA
NA,NA
-0.157421460076993,-0.0290041798778773
NA,NA
-0.15977682530869,-1.18917137499297
NA,NA
-0.159546617591827,-0.0290041798778773
-0.161573996222066,-1.18917137499297
-0.158396518929219,1.13116301523722
-0.160895210977473,-1.18917137499297
NA,NA
NA,NA
-0.1559068391695,-0.0290041798778773
-0.156555113207708,-0.0290041798778773
-0.158853211811896,-1.18917137499297
-0.159356558648366,-2.34933857010807
-0.157259065228398,1.13116301523722
NA,NA
NA,NA
NA,NA
-0.158329206312111,1.13116301523722
-0.156818239571929,1.13116301523722
NA,NA
NA,NA
-0.155763713638063,-0.0290041798778773
NA,NA
-0.156404610993379,1.13116301523722
NA,NA
6.16642948292801,-1.18917137499297
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
-0.15638751463333,-0.0290041798778773
NA,NA
-0.155009955733677,1.13116301523722
-0.154384976395809,-0.0290041798778773
-0.155527704227869,-0.0290041798778773
NA,NA
-0.159705887821453,1.13116301523722
NA,NA
NA,NA
NA,NA
-0.155260388295651,-0.0290041798778773
-0.160888881686581,-1.18917137499297
-0.158922781411566,-0.0290041798778773
-0.158025974162605,-1.18917137499297
-0.158199714469159,-0.0290041798778773
NA,NA
-0.159451715151402,-0.0290041798778773
NA,NA
-0.157169497464357,-0.0290041798778773
NA,NA
NA,NA
