"Variavel","N_Total","N_NA","Pct_NA"
"TX_RESP_Q10d_num",35,9,25.71
"TX_RESP_Q21a_num",35,9,25.71
"TX_RESP_Q21b_num",35,9,25.71
"TX_RESP_Q21c_num",35,9,25.71
"TX_RESP_Q21d_num",35,9,25.71
"TX_RESP_Q21e_num",35,9,25.71
"TX_RESP_Q19_num",35,9,25.71
"TX_RESP_Q20_num",35,9,25.71
"TX_RESP_Q10a_num",35,8,22.86
"TX_RESP_Q10b_num",35,8,22.86
"TX_RESP_Q10c_num",35,8,22.86
"TX_RESP_Q10e_num",35,8,22.86
"TX_RESP_Q10f_num",35,8,22.86
"TX_RESP_Q22g_num",35,8,22.86
"TX_RESP_Q22a_num",35,7,20
"TX_RESP_Q22b_num",35,7,20
"TX_RESP_Q22c_num",35,7,20
"TX_RESP_Q22d_num",35,7,20
"TX_RESP_Q22e_num",35,7,20
"TX_RESP_Q22f_num",35,7,20
"TX_RESP_Q22h_num",35,7,20
"TX_RESP_Q23a_num",35,7,20
"TX_RESP_Q23b_num",35,7,20
"TX_RESP_Q23c_num",35,7,20
"TX_RESP_Q23d_num",35,7,20
"TX_RESP_Q23e_num",35,7,20
"TX_RESP_Q23f_num",35,7,20
"TX_RESP_Q23g_num",35,7,20
"TX_RESP_Q23h_num",35,7,20
"TX_RESP_Q23i_num",35,7,20
"TX_RESP_Q01",35,0,0
"TX_RESP_Q02",35,0,0
"TX_RESP_Q03",35,0,0
"TX_RESP_Q04",35,0,0
"TX_RESP_Q05a",35,0,0
"TX_RESP_Q05b",35,0,0
"TX_RESP_Q05c",35,0,0
"TX_RESP_Q06",35,0,0
"TX_RESP_Q07a",35,0,0
"TX_RESP_Q07b",35,0,0
"TX_RESP_Q07c",35,0,0
"TX_RESP_Q07d",35,0,0
"TX_RESP_Q07e",35,0,0
"TX_RESP_Q08",35,0,0
"TX_RESP_Q09",35,0,0
"TX_RESP_Q10a",35,0,0
"TX_RESP_Q10b",35,0,0
"TX_RESP_Q10c",35,0,0
"TX_RESP_Q10d",35,0,0
"TX_RESP_Q10e",35,0,0
"TX_RESP_Q10f",35,0,0
"TX_RESP_Q11a",35,0,0
"TX_RESP_Q11b",35,0,0
"TX_RESP_Q11c",35,0,0
"TX_RESP_Q12a",35,0,0
"TX_RESP_Q12b",35,0,0
"TX_RESP_Q12c",35,0,0
"TX_RESP_Q12d",35,0,0
"TX_RESP_Q12e",35,0,0
"TX_RESP_Q12f",35,0,0
"TX_RESP_Q12g",35,0,0
"TX_RESP_Q13a",35,0,0
"TX_RESP_Q13b",35,0,0
"TX_RESP_Q13c",35,0,0
"TX_RESP_Q13d",35,0,0
"TX_RESP_Q13e",35,0,0
"TX_RESP_Q13f",35,0,0
"TX_RESP_Q13g",35,0,0
"TX_RESP_Q13h",35,0,0
"TX_RESP_Q13i",35,0,0
"TX_RESP_Q14",35,0,0
"TX_RESP_Q15a",35,0,0
"TX_RESP_Q15b",35,0,0
"TX_RESP_Q16",35,0,0
"TX_RESP_Q17",35,0,0
"TX_RESP_Q18",35,0,0
"TX_RESP_Q19",35,0,0
"TX_RESP_Q20",35,0,0
"TX_RESP_Q21a",35,0,0
"TX_RESP_Q21b",35,0,0
"TX_RESP_Q21c",35,0,0
"TX_RESP_Q21d",35,0,0
"TX_RESP_Q21e",35,0,0
"TX_RESP_Q22a",35,0,0
"TX_RESP_Q22b",35,0,0
"TX_RESP_Q22c",35,0,0
"TX_RESP_Q22d",35,0,0
"TX_RESP_Q22e",35,0,0
"TX_RESP_Q22f",35,0,0
"TX_RESP_Q22g",35,0,0
"TX_RESP_Q22h",35,0,0
"TX_RESP_Q23a",35,0,0
"TX_RESP_Q23b",35,0,0
"TX_RESP_Q23c",35,0,0
"TX_RESP_Q23d",35,0,0
"TX_RESP_Q23e",35,0,0
"TX_RESP_Q23f",35,0,0
"TX_RESP_Q23g",35,0,0
"TX_RESP_Q23h",35,0,0
"TX_RESP_Q23i",35,0,0
"TX_RESP_Q24",35,0,0
"TX_RESP_Q25",35,0,0
