"PROFICIENCIA_MT_SAEB","TX_RESP_Q10b_num","TX_RESP_Q10c_num","TX_RESP_Q10e_num","TX_RESP_Q10f_num","TX_RESP_Q21a_num","TX_RESP_Q21e_num","TX_RESP_Q22a_num","TX_RESP_Q22d_num","TX_RESP_Q22e_num","TX_RESP_Q22g_num","TX_RESP_Q23c_num","TX_RESP_Q23i_num","TX_RESP_Q19_num"
0.720487121506232,-0.428174419288838,0.511766315719159,0.288675134594813,0.623231962511588,-0.588348405414552,-0.217642875033004,1.15600405774638,0.52545638988472,-0.338501600193165,1.78018190616791,1.02353263143832,0.741619848709566,-0.316227766016838
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0.437369987607762,0.856348838577675,0.511766315719159,0.288675134594813,0.623231962511588,1.76504521624366,-0.217642875033004,-1.36618661370027,-0.735638945838608,-0.338501600193165,-0.161834718742538,1.02353263143832,0.741619848709566,-0.316227766016838
-2.17003399202989,-1.71269767715535,-2.55883157859579,-3.17542648054294,-2.36828145754403,-1.76504521624366,-2.39407162536304,1.15600405774638,1.78655172560805,1.69250800096583,1.78018190616791,-0.511766315719159,-0.741619848709566,2.84604989415154
0.133474915344841,-0.428174419288838,0.511766315719159,0.288675134594813,0.623231962511588,NA,NA,-1.36618661370027,0.52545638988472,-0.338501600193165,-0.161834718742538,-2.04706526287664,0.741619848709566,NA
-1.01151999804784,-1.71269767715535,-1.02353263143832,0.288675134594813,0.623231962511588,NA,NA,1.15600405774638,0.52545638988472,1.69250800096583,-0.161834718742538,1.02353263143832,0.741619848709566,NA
0.294035194700417,0.856348838577675,0.511766315719159,0.288675134594813,0.623231962511588,-0.588348405414552,-0.217642875033004,1.15600405774638,0.52545638988472,0.67700320038633,-0.161834718742538,-0.511766315719159,-0.741619848709566,-0.316227766016838
0.105295040908134,-0.428174419288838,-1.02353263143832,0.288675134594813,-0.872524747516223,0.588348405414552,0.870571500132014,-0.105091277976944,-0.735638945838608,-0.338501600193165,-0.161834718742538,-0.511766315719159,-0.741619848709566,-0.316227766016838
-1.42304469534707,-0.428174419288838,0.511766315719159,0.288675134594813,-0.872524747516223,-0.588348405414552,0.870571500132014,-0.105091277976944,0.52545638988472,-1.35400640077266,-0.161834718742538,-0.511766315719159,-2.2248595461287,-0.316227766016838
0.458578167214019,0.856348838577675,0.511766315719159,0.288675134594813,0.623231962511588,0.588348405414552,-0.217642875033004,-0.105091277976944,-0.735638945838608,-0.338501600193165,-0.161834718742538,-0.511766315719159,0.741619848709566,-0.316227766016838
1.00123892609745,0.856348838577675,0.511766315719159,0.288675134594813,0.623231962511588,0.588348405414552,0.870571500132014,-1.36618661370027,-1.99673428156194,-1.35400640077266,-2.10385134365299,-0.511766315719159,0.741619848709566,-0.316227766016838
0.998136436358119,0.856348838577675,0.511766315719159,0.288675134594813,-0.872524747516223,-0.588348405414552,0.870571500132014,-0.105091277976944,-0.735638945838608,-0.338501600193165,-0.161834718742538,1.02353263143832,0.741619848709566,-0.316227766016838
0.455982895687826,0.856348838577675,0.511766315719159,0.288675134594813,0.623231962511588,0.588348405414552,-0.217642875033004,-0.105091277976944,0.52545638988472,0.67700320038633,-0.161834718742538,1.02353263143832,-0.741619848709566,-0.316227766016838
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
