"PROFICIENCIA_MT_SAEB","TX_RESP_Q22e_num","TX_RESP_Q23a_num","TX_RESP_Q19_num"
0.268395223671261,-0.34947761702961,-0.0756806063636292,-0.32241294010958
1.41299393888698,0.757201503564155,-0.0756806063636292,-0.32241294010958
-0.992855126102422,1.86388062415792,-1.51361212727258,-0.32241294010958
-1.4862669358,-0.34947761702961,-0.0756806063636292,-0.32241294010958
-0.673698883416404,1.86388062415792,-0.0756806063636292,-0.32241294010958
-0.441433187908158,-0.34947761702961,1.36225091454532,4.44929857351221
NA,NA,NA,NA
-0.805410084030217,1.86388062415792,-0.0756806063636292,-0.32241294010958
1.1732591758269,-1.45615673762337,-0.0756806063636292,-0.32241294010958
1.44834257056599,-0.34947761702961,-0.0756806063636292,-0.32241294010958
0.54112389023684,-0.34947761702961,-1.51361212727258,-0.32241294010958
NA,NA,NA,NA
0.176762326937383,-1.45615673762337,-0.0756806063636292,-0.32241294010958
1.05055564356011,0.757201503564155,-0.0756806063636292,-0.32241294010958
-0.325579955069385,0.757201503564155,-0.0756806063636292,-0.32241294010958
-1.75188842802808,1.86388062415792,1.36225091454532,2.06344281670132
-0.471080382834872,-0.34947761702961,1.36225091454532,-0.32241294010958
-1.22485382745517,-0.34947761702961,-0.0756806063636292,-0.32241294010958
-0.854540336447792,1.86388062415792,1.36225091454532,-0.32241294010958
0.151401957029134,-1.45615673762337,-0.0756806063636292,-0.32241294010958
NA,NA,NA,NA
NA,NA,NA,NA
2.39669356366824,-0.34947761702961,1.36225091454532,-0.32241294010958
-0.357609723074755,-0.34947761702961,-0.0756806063636292,-0.32241294010958
-0.121555716902651,-0.34947761702961,-0.0756806063636292,-0.32241294010958
0.166300860246116,-1.45615673762337,-2.95154364818153,-0.32241294010958
1.27090349328555,0.757201503564155,-0.0756806063636292,-0.32241294010958
NA,NA,NA,NA
NA,NA,NA,NA
-0.791481677629093,-0.34947761702961,-1.51361212727258,-0.32241294010958
NA,NA,NA,NA
1.45562562056858,-0.34947761702961,-0.0756806063636292,-0.32241294010958
0.276118585385269,-0.34947761702961,-0.0756806063636292,-0.32241294010958
-1.15653786944028,1.86388062415792,1.36225091454532,2.06344281670132
-0.505391463544338,-0.34947761702961,1.36225091454532,-0.32241294010958
0.36545242111779,-0.34947761702961,-0.0756806063636292,-0.32241294010958
-0.436555462309157,-0.34947761702961,-0.0756806063636292,NA
-0.283422768681936,-0.34947761702961,-1.51361212727258,-0.32241294010958
0.735526808151081,-0.34947761702961,-0.0756806063636292,-0.32241294010958
-0.51653999761049,-0.34947761702961,-0.0756806063636292,-0.32241294010958
-1.15962265480564,0.757201503564155,1.36225091454532,2.06344281670132
-0.37538715561583,-0.34947761702961,-0.0756806063636292,-0.32241294010958
1.89729308457083,-0.34947761702961,-1.51361212727258,-0.32241294010958
-0.934018750981404,-1.45615673762337,1.36225091454532,-0.32241294010958
0.878981223980001,-0.34947761702961,-0.0756806063636292,-0.32241294010958
