Fold,RMSE,MAE,R2,Disciplina
1,852.8911973114642,404.81048680656227,0.020811088224967498,Matematica
2,1414.568181251281,454.21801481187686,0.004951760455450466,Matematica
3,1097.9382823336075,428.22714348428724,0.011221239605862774,Matematica
4,1285.8261981011872,480.1931483222061,2.8273223905445212e-5,Matematica
5,1703.179083370836,518.5750086388562,0.0037321908217586857,Matematica
6,1706.0332161805156,513.1698334562617,1.8403119034487387e-4,Matematica
7,1873.4409411491204,527.5215133870832,0.0018866441726735595,Matematica
8,911.4583837287288,393.5133864587897,6.71820332524604e-5,Matematica
9,845.882401238053,388.658782122463,0.0017310867677261413,Matematica
10,1239.9622505182133,410.6465134360201,0.0021295147517611914,Matematica
1,1120.2798811556233,454.1059474304133,0.0012272967495783888,Lingua Portuguesa
2,1196.6779137428125,441.1561023527619,6.883084322124941e-4,Lingua Portuguesa
3,833.501321309307,401.1569759789275,3.8061159295245174e-5,Lingua Portuguesa
4,1250.3768676011944,435.2745843822888,9.474232864157879e-6,Lingua Portuguesa
5,1015.1595534432968,447.9451973244767,0.0022534035398199307,Lingua Portuguesa
6,1948.8334925722202,633.6946798859052,7.802443599563037e-4,Lingua Portuguesa
7,558.9104763934937,340.23830798384694,6.28511503249165e-4,Lingua Portuguesa
8,678.1827174480827,349.3237932591153,3.469952092416875e-4,Lingua Portuguesa
9,1717.2607336733352,518.7217098902984,0.001007928756348131,Lingua Portuguesa
10,2722.8634930237977,604.5812301468796,0.001306442392498203,Lingua Portuguesa
