"PROFICIENCIA_LP_SAEB","TX_RESP_Q10a_num","TX_RESP_Q22a_num","TX_RESP_Q22b_num","TX_RESP_Q22e_num","TX_RESP_Q22f_num","TX_RESP_Q22g_num","TX_RESP_Q22h_num","TX_RESP_Q23e_num","TX_RESP_Q23g_num","TX_RESP_Q19_num","TX_RESP_Q20_num"
-1.45192425077919,-1.17315096464211,1.21593695305176,1.41804024988327,1.61693168844772,1.5920130321406,1.30983803413845,1.39658431940002,1.87472031812386,1.61693168844772,1.08424776704358,-0.288926047405846
0.692661019675883,-1.17315096464211,-1.31726503247274,-1.67586574986205,-0.909524074751841,-0.975749922924881,-0.1138989594903,-0.71945252817577,-0.729057901492614,-2.17275195635162,-0.510234243314625,-0.288926047405846
-0.673660656937169,-1.17315096464211,1.21593695305176,0.386738249968166,0.353703806847938,0.308131554607858,-0.1138989594903,1.39658431940002,0.572831208315625,-0.909524074751841,-0.510234243314625,-0.288926047405846
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-0.0169936896218701,0.456225375138597,1.21593695305176,1.41804024988327,1.61693168844772,1.5920130321406,1.30983803413845,1.39658431940002,0.572831208315625,0.353703806847938,1.08424776704358,-0.288926047405846
-1.62108771156834,0.456225375138597,1.21593695305176,1.41804024988327,1.61693168844772,1.5920130321406,1.30983803413845,1.39658431940002,0.572831208315625,0.353703806847938,1.08424776704358,3.32264954516723
-0.520464959020962,-1.17315096464211,-0.0506640397104899,-0.644563749946943,-2.17275195635162,-0.975749922924881,-1.53763595311905,-0.71945252817577,-0.729057901492614,0.353703806847938,2.67872977740178,-0.288926047405846
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-1.9231855321048,2.0856017149193,1.21593695305176,NA,0.353703806847938,-0.975749922924881,1.30983803413845,1.39658431940002,1.87472031812386,1.61693168844772,1.08424776704358,-0.288926047405846
-0.424276116055578,0.456225375138597,1.21593695305176,1.41804024988327,0.353703806847938,1.5920130321406,1.30983803413845,1.39658431940002,-0.729057901492614,0.353703806847938,2.67872977740178,3.32264954516723
0.675856696514043,0.456225375138597,-0.0506640397104899,0.386738249968166,-0.909524074751841,0.308131554607858,-0.1138989594903,-0.71945252817577,0.572831208315625,0.353703806847938,-0.510234243314625,-0.288926047405846
0.844481435502761,0.456225375138597,-1.31726503247274,-1.67586574986205,0.353703806847938,0.308131554607858,-0.1138989594903,-0.71945252817577,-0.729057901492614,-0.909524074751841,-0.510234243314625,-0.288926047405846
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
