"PROFICIENCIA_MT_SAEB","TX_RESP_Q10c_num","TX_RESP_Q10d_num","TX_RESP_Q21a_num","TX_RESP_Q21b_num","TX_RESP_Q23e_num","TX_RESP_Q20_num"
-0.684184095458693,0.468292905790847,0.83005735663929,NA,NA,0.229415733870562,NA
1.22663217931921,-1.31122013621437,-1.14132886537902,1.493825319275,NA,-1.223550580643,-0.25
-1.3159786241724,0.468292905790847,0.83005735663929,NA,NA,1.68238204838412,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
-0.631508387525269,0.468292905790847,0.83005735663929,-0.344728919832691,0.378932373372537,-1.223550580643,-0.25
NA,NA,NA,NA,NA,NA,NA
0.81701337354621,0.468292905790847,-1.14132886537902,-0.344728919832691,2.27359424023522,-1.223550580643,-0.25
0.0486446379654954,0.468292905790847,0.83005735663929,-0.344728919832691,-0.568398560058805,0.229415733870562,-0.25
NA,NA,NA,NA,NA,NA,NA
-0.908522940656274,0.468292905790847,0.83005735663929,-0.344728919832691,-0.568398560058805,0.229415733870562,-0.25
0.0932317768161968,0.468292905790847,-1.14132886537902,-0.344728919832691,0.378932373372537,0.229415733870562,-0.25
-1.24095296857553,0.468292905790847,0.83005735663929,-0.344728919832691,-0.568398560058805,0.229415733870562,-0.25
1.34925383837701,0.468292905790847,0.83005735663929,-0.344728919832691,-0.568398560058805,-1.223550580643,-0.25
0.435040814140666,0.468292905790847,0.83005735663929,NA,NA,0.229415733870562,NA
0.546630382319086,0.468292905790847,0.83005735663929,-0.344728919832691,-0.568398560058805,0.229415733870562,-0.25
0.209722927250046,-1.31122013621437,-1.14132886537902,1.493825319275,0.378932373372537,-1.223550580643,-0.25
0.848666739296854,0.468292905790847,-1.14132886537902,1.493825319275,2.27359424023522,1.68238204838412,-0.25
-0.898646729758033,0.468292905790847,0.83005735663929,-0.344728919832691,-0.568398560058805,0.229415733870562,-0.25
2.22993105064926,-3.09073317821959,-1.14132886537902,-0.344728919832691,-0.568398560058805,-1.223550580643,-0.25
-1.25260400492691,0.468292905790847,-1.14132886537902,-2.18328315894038,-0.568398560058805,1.68238204838412,3.75
-0.594702270914745,-1.31122013621437,-1.14132886537902,1.493825319275,-0.568398560058805,0.229415733870562,-0.25
-0.277667697692191,0.468292905790847,0.83005735663929,-0.344728919832691,-0.568398560058805,0.229415733870562,-0.25
NA,NA,NA,NA,NA,NA,NA
