"Variavel","N_Total","N_NA","Pct_NA"
"TX_RESP_Q23c_num",114,31,27.19
"TX_RESP_Q23f_num",114,31,27.19
"TX_RESP_Q22d_num",114,30,26.32
"TX_RESP_Q23e_num",114,30,26.32
"TX_RESP_Q23g_num",114,30,26.32
"TX_RESP_Q22c_num",114,29,25.44
"TX_RESP_Q22e_num",114,29,25.44
"TX_RESP_Q22f_num",114,29,25.44
"TX_RESP_Q23i_num",114,29,25.44
"TX_RESP_Q10a_num",114,28,24.56
"TX_RESP_Q10c_num",114,28,24.56
"TX_RESP_Q10d_num",114,28,24.56
"TX_RESP_Q10f_num",114,28,24.56
"TX_RESP_Q22a_num",114,28,24.56
"TX_RESP_Q22b_num",114,28,24.56
"TX_RESP_Q22g_num",114,28,24.56
"TX_RESP_Q22h_num",114,28,24.56
"TX_RESP_Q23a_num",114,28,24.56
"TX_RESP_Q23b_num",114,28,24.56
"TX_RESP_Q23d_num",114,28,24.56
"TX_RESP_Q23h_num",114,28,24.56
"TX_RESP_Q10e_num",114,27,23.68
"TX_RESP_Q20_num",114,27,23.68
"TX_RESP_Q10b_num",114,26,22.81
"TX_RESP_Q21b_num",114,26,22.81
"TX_RESP_Q21d_num",114,26,22.81
"TX_RESP_Q21a_num",114,25,21.93
"TX_RESP_Q21c_num",114,25,21.93
"TX_RESP_Q21e_num",114,25,21.93
"TX_RESP_Q19_num",114,25,21.93
"TX_RESP_Q01",114,0,0
"TX_RESP_Q02",114,0,0
"TX_RESP_Q03",114,0,0
"TX_RESP_Q04",114,0,0
"TX_RESP_Q05a",114,0,0
"TX_RESP_Q05b",114,0,0
"TX_RESP_Q05c",114,0,0
"TX_RESP_Q06",114,0,0
"TX_RESP_Q07a",114,0,0
"TX_RESP_Q07b",114,0,0
"TX_RESP_Q07c",114,0,0
"TX_RESP_Q07d",114,0,0
"TX_RESP_Q07e",114,0,0
"TX_RESP_Q08",114,0,0
"TX_RESP_Q09",114,0,0
"TX_RESP_Q10a",114,0,0
"TX_RESP_Q10b",114,0,0
"TX_RESP_Q10c",114,0,0
"TX_RESP_Q10d",114,0,0
"TX_RESP_Q10e",114,0,0
"TX_RESP_Q10f",114,0,0
"TX_RESP_Q11a",114,0,0
"TX_RESP_Q11b",114,0,0
"TX_RESP_Q11c",114,0,0
"TX_RESP_Q12a",114,0,0
"TX_RESP_Q12b",114,0,0
"TX_RESP_Q12c",114,0,0
"TX_RESP_Q12d",114,0,0
"TX_RESP_Q12e",114,0,0
"TX_RESP_Q12f",114,0,0
"TX_RESP_Q12g",114,0,0
"TX_RESP_Q13a",114,0,0
"TX_RESP_Q13b",114,0,0
"TX_RESP_Q13c",114,0,0
"TX_RESP_Q13d",114,0,0
"TX_RESP_Q13e",114,0,0
"TX_RESP_Q13f",114,0,0
"TX_RESP_Q13g",114,0,0
"TX_RESP_Q13h",114,0,0
"TX_RESP_Q13i",114,0,0
"TX_RESP_Q14",114,0,0
"TX_RESP_Q15a",114,0,0
"TX_RESP_Q15b",114,0,0
"TX_RESP_Q16",114,0,0
"TX_RESP_Q17",114,0,0
"TX_RESP_Q18",114,0,0
"TX_RESP_Q19",114,0,0
"TX_RESP_Q20",114,0,0
"TX_RESP_Q21a",114,0,0
"TX_RESP_Q21b",114,0,0
"TX_RESP_Q21c",114,0,0
"TX_RESP_Q21d",114,0,0
"TX_RESP_Q21e",114,0,0
"TX_RESP_Q22a",114,0,0
"TX_RESP_Q22b",114,0,0
"TX_RESP_Q22c",114,0,0
"TX_RESP_Q22d",114,0,0
"TX_RESP_Q22e",114,0,0
"TX_RESP_Q22f",114,0,0
"TX_RESP_Q22g",114,0,0
"TX_RESP_Q22h",114,0,0
"TX_RESP_Q23a",114,0,0
"TX_RESP_Q23b",114,0,0
"TX_RESP_Q23c",114,0,0
"TX_RESP_Q23d",114,0,0
"TX_RESP_Q23e",114,0,0
"TX_RESP_Q23f",114,0,0
"TX_RESP_Q23g",114,0,0
"TX_RESP_Q23h",114,0,0
"TX_RESP_Q23i",114,0,0
"TX_RESP_Q24",114,0,0
"TX_RESP_Q25",114,0,0
