"PROFICIENCIA_MT_SAEB","TX_RESP_Q10e_num","TX_RESP_Q21a_num","TX_RESP_Q21c_num","TX_RESP_Q22a_num","TX_RESP_Q22g_num","TX_RESP_Q23a_num","TX_RESP_Q23f_num","TX_RESP_Q23g_num","TX_RESP_Q19_num"
-0.575937452775806,0.521706257730189,NA,NA,1.11803398874989,-2.2848183159372,0.344728919832691,-0.291937104060571,1.66341619605424,NA
-0.708994524968174,0.521706257730189,-1.41421356237309,-0.248993381013931,1.11803398874989,0.894059341018905,0.344728919832691,-1.45968552030286,-1.29376815248663,-0.385164443259822
0.822189193623781,0.521706257730189,1.41421356237309,0.829977936713103,0,-0.695379487459148,0.344728919832691,0.875811312181713,0.677688079873948,-0.385164443259822
-0.254128406549609,0.521706257730189,0,0.829977936713103,1.11803398874989,0.894059341018905,0.344728919832691,-1.45968552030286,-0.30804003630634,-0.385164443259822
-0.00874921031229683,0.521706257730189,-1.41421356237309,-0.248993381013931,1.11803398874989,-0.695379487459148,-1.493825319275,-0.291937104060571,-1.29376815248663,-0.385164443259822
-1.01203334715279,-2.26072711683082,0,-0.248993381013931,1.11803398874989,0.894059341018905,0.344728919832691,-0.291937104060571,-0.30804003630634,-0.385164443259822
-1.14099700902946,0.521706257730189,0,0.829977936713103,-1.11803398874989,0.894059341018905,2.18328315894038,-0.291937104060571,0.677688079873948,1.28388147753274
-1.07561352085917,-0.869510429550315,-1.41421356237309,0.829977936713103,1.11803398874989,0.894059341018905,0.344728919832691,-1.45968552030286,0.677688079873948,2.9529273983253
1.75282031832233,0.521706257730189,NA,NA,-1.11803398874989,-0.695379487459148,-1.493825319275,2.043559728424,0.677688079873948,NA
1.08261934079278,0.521706257730189,1.41421356237309,-1.32796469874096,-1.11803398874989,-0.695379487459148,0.344728919832691,-0.291937104060571,-1.29376815248663,-0.385164443259822
1.20675246817128,0.521706257730189,0,-2.406936016468,-1.11803398874989,0.894059341018905,-1.493825319275,0.875811312181713,-1.29376815248663,-0.385164443259822
-0.689303265133794,0.521706257730189,0,0.829977936713103,-1.11803398874989,-0.695379487459148,0.344728919832691,-0.291937104060571,0.677688079873948,-0.385164443259822
-0.263815739037416,-0.869510429550315,NA,NA,-1.11803398874989,0.894059341018905,-1.493825319275,-0.291937104060571,0.677688079873948,NA
1.71874011322734,0.521706257730189,0,-0.248993381013931,0,-0.695379487459148,0.344728919832691,0.875811312181713,-1.29376815248663,-0.385164443259822
-0.861611449977519,-2.26072711683082,0,-0.248993381013931,0,0.894059341018905,0.344728919832691,0.875811312181713,0.677688079873948,-0.385164443259822
0.00806249165851649,0.521706257730189,1.41421356237309,0.829977936713103,0,-0.695379487459148,0.344728919832691,0.875811312181713,0.677688079873948,-0.385164443259822
