"Variavel","Metodo","Correlacao_Matematica","Correlacao_Portugues","Status_Calculo"
"TX_RESP_Q10a_num","Spearman",-0.025064817887251,-0.0142643145458391,"OK"
"TX_RESP_Q10b_num","Spearman",-0.0739941206811165,-0.0831084951401931,"OK"
"TX_RESP_Q10c_num","Spearman",0.00656347268935885,-0.108735676028998,"OK"
"TX_RESP_Q10d_num","Spearman",-0.0301612914849999,-0.164469264678888,"OK"
"TX_RESP_Q10e_num","Spearman",-0.0886518861911873,-0.252672520344362,"OK"
"TX_RESP_Q10f_num","Spearman",0.0129523766470132,-0.0539236341812636,"OK"
"TX_RESP_Q21a_num","Spearman",0.133009467184834,0.147444010071731,"OK"
"TX_RESP_Q21b_num","Spearman",-0.00814447194999325,0.209027136650316,"OK"
"TX_RESP_Q21c_num","Spearman",-0.0170564447107142,0.0313661061311657,"OK"
"TX_RESP_Q21d_num","Spearman",-0.11553088622818,-0.144437543233701,"OK"
"TX_RESP_Q21e_num","Spearman",-0.0216070396056917,0.0698969783105718,"OK"
"TX_RESP_Q22a_num","Spearman",-0.14774266783054,-0.303420660724187,"OK"
"TX_RESP_Q22b_num","Spearman",0.0823846232263423,-0.19781299648675,"OK"
"TX_RESP_Q22c_num","Spearman",-0.0551073160128322,-0.148749594972952,"OK"
"TX_RESP_Q22d_num","Spearman",-0.140334376480362,-0.165294604569225,"OK"
"TX_RESP_Q22e_num","Spearman",-0.192295134735307,-0.210874883826627,"OK"
"TX_RESP_Q22f_num","Spearman",-0.182143225261367,-0.20595176382033,"OK"
"TX_RESP_Q22g_num","Spearman",-0.0721278279123478,-0.123086745840926,"OK"
"TX_RESP_Q22h_num","Spearman",-0.0128414440518083,-0.266408350553914,"OK"
"TX_RESP_Q23a_num","Spearman",-0.124711467287669,-0.143172637581217,"OK"
"TX_RESP_Q23b_num","Spearman",-0.102232696939262,-0.242257348486145,"OK"
"TX_RESP_Q23c_num","Spearman",-0.0544408254051953,-0.105800740548516,"OK"
"TX_RESP_Q23d_num","Spearman",-0.123277574843194,-0.126938228793996,"OK"
"TX_RESP_Q23e_num","Spearman",0.0325702786412891,-0.0859538360301412,"OK"
"TX_RESP_Q23f_num","Spearman",0.0189671267014773,-0.0270443207144075,"OK"
"TX_RESP_Q23g_num","Spearman",-0.148031366186127,-0.30156097931144,"OK"
"TX_RESP_Q23h_num","Spearman",-0.0665906364954291,-0.177871143869341,"OK"
"TX_RESP_Q23i_num","Spearman",-0.0607818150407096,-0.0857965125230915,"OK"
"TX_RESP_Q19_num","Spearman",-0.254099671058099,-0.117704974875333,"OK"
"TX_RESP_Q20_num","Spearman",0.142379145660817,-0.0154387025415344,"OK"
